island,country,province
Мадагаскар,РМ,Толияра
Воссоединение,ВРЕМЯ,Воссоединение
Южный Андаман,СИН,Андаман и Никобар тоже.
Питкэрн,ОМТС,Острова Питкэрн
Куба,C,Сантьяго-де-Куба
Великобритании,ГБ,Дурхем
Великобритании,ГБ,Гвинедд
Лангеланд,ДК,Дания
Боркум,D,Нидераксен
Великобритании,ГБ,Кембриджшир
Великобритании,ГБ,Северный Йоркшир
Кракатау,РИ,Индонезия
Амеланд,Нл,Фризленд
Новое Провидение,BS,Багамские Острова
Лесбос,ГР,Верион &lt; &lt; Айяон &gt; &gt;
Великобритании,ГБ,Херефорд и Ворстер
Корфу,ГР,Иониои Нисои
Лонг-Айленд,США,Нью-Йорк
Тимор,ТЛ,Тимор-Лешти
Тонгатапу,К,Тонга
Великобритании,ГБ,Суррей
Сарденья,I,Сарденья
Остров Виктория,КН,Северо-западные территории
Кюсю,J,Кагосима
Маленький Кайман,Кейм,Каймановы острова
Саваи,WS,Самоа
Бишоп Рок,ГБ,Корнуолл
Лузон,РП,Филиппины
Самосир,РИ,Индонезия
Новая Гвинея,РИ,Индонезия
Хонсю,J,Тояма
Нантакет,США,Массачусетс
Великобритании,ГБ,Аберконви и Колвин
Пемба,ЕАТ,Мджини Магариби
Рота,НМИС,Северные Марианские острова
Гавайи,США,Гавайи
Остров Мэн,GBM,Мужчина
Великобритании,ГБ,Лестершир
Ла-Пальма,E,Канарские острова
Борнео,ТЗА,Саравак
Великобритании,ГБ,Блейно Гвент
Мартиника,МАРТ,Мартиника
Принсипи,ПДТ,Сан-Томе и Принсипи
Великобритании,ГБ,Свонси
Сент-Люсия,WL,Сент-Люсия
Хой,ГБ,Оркни
Салина,I,Калабрия
Хонсю,J,Фукусима
Оаху,США,Гавайи
Хонсю,J,Ниигата
Фуэн,ДК,Дания
Мужской,МВ,Мальдивские Острова
Великобритании,ГБ,Камбриа
Гран Канариа,E,Канарские острова
Мадагаскар,РМ,Фианарантсоа
Сулавеси,РИ,Индонезия
Мауи,США,Гавайи
Великобритании,ГБ,Тэйсайд
Великобритании,ГБ,Кардифф
Великобритании,ГБ,Западный Йоркшир
Великобритании,ГБ,Гэмпшир
Лампедуза,I,Сицилия
Анжуан,COM,Коморские Острова
Хонсю,J,Киото
Великобритании,ГБ,Эйвон
Шри-Ланка,Кл,Шри-Ланка
Сан Мигель,Р,Азоры
Сайпан,НМИС,Северные Марианские острова
Гран-Терре,ГРАД,Гваделупа
Аликуди,I,Калабрия
Хонсю,J,Тоттори
Те Вака-а-Мауи (Южный остров),Новой Зеландии,Новая Зеландия
Остров Баффин,КН,Северо-западные территории
Бенбекула,ГБ,Внешние гебриды
Великобритании,ГБ,Чешир
Негры,РП,Филиппины
Остров Уайт,ГБ,Остров Уайт
Стромболи,I,Калабрия
Бугенвиль,ПНГ,Папуа-Новая Гвинея
Уполу,WS,Самоа
Фехмарн,D,Шлезвиг Гольштейн
Вулкан,I,Калабрия
Грязный червь,D,Шлезвиг Гольштейн
Родос,ГР,Звук Айяон
Хонсю,J,Гумма
Великобритании,ГБ,Оксфордшир
Хонсю,J,Точиги
Великобритании,ГБ,Грэмпиан
Лангёг,D,Нидераксен
Хонсю,J,Канагава
Борнхольм,ДК,Дания
Мадагаскар,РМ,Тоамасина
Шикоку,J,Токусима
Хонсю,J,Осака
Куба,C,Тунецы
Минданао,РП,Филиппины
Фейлиал,Р,Азоры
Тайвань,КР,Тайвань
Лаван,IR,Фарс
Гозо,М,Мальта
Хонсю,J,Ивировать
Кюсю,J,Сага
Кюсю,J,Кумамото
Великобритании,ГБ,Беркшир
Сан-Хорхе,Р,Азоры
Маллорка,E,Балеарские острова
Парамушчир,Р,Камчатская область
Остров Рождества,XMAS,Остров Рождества
Тринидад,ТТ,Тринидад и Тобаго
Хонсю,J,Аомори
Великобритании,ГБ,Южный Йоркшир
Великобритании,ГБ,Линкольншир
Юра,ГБ,Стратклид
Ниуэ,НЬЮ,Ниуэ
Крета,ГР,Крити
Джерси,GBJ,Джерси
Великобритании,ГБ,Уилтшир
Микелон-Ланглайд,СПМИ,Сент-Пьер и Микелон
Остров Сан-Клементе,США,Калифорния
Великобритании,ГБ,Саффолк
Великобритании,ГБ,Пемброкшир
Бонайре,,Нидерландские Антильские острова
Хонсю,J,Шига
Корор,ПАЛ,Палау
Хонсю,J,Ибараки
Закинтос,ГР,Иониои Нисои
Гуам,ГУАМ,Гуам
Великобритании,ГБ,Файф
Великобритании,ГБ,Дербишир
Сент-Мартин,СМАРТ,Сент-Мартин
Остров Котельни,Р,Республика Саха
Антигуа,АГ,Антигуа и Барбуда
Италия,ГБ,Великобритании и Северной Ирландии
Великобритании,ГБ,Западные Мидленды
Ланай,США,Гавайи
Тексель,Нл,Норд Холланд
Тобаго,ТТ,Тринидад и Тобаго
Пулау Панжанг,COCO,Острова Кокос
Сансибар,ЕАТ,Мджини Магариби
Гелголенд,D,Шлезвиг Гольштейн
Оланд,И,Калмар
Грасиоза,Р,Азоры
Бальтрум,D,Нидераксен
Гешм,IR,Хормозган
Великобритании,ГБ,Гумберсайд
Куба,C,Санкти Спиритус
Мадагаскар,РМ,Махаджанга
Шетландский материк,ГБ,Шетланд
Куба,C,Вилла Клара
Хонсю,J,Акита
Великобритании,ГБ,Цередигация
Индонезия,АГ,Антигуа и Барбуда
Линоза,I,Сицилия
Гомера,E,Канарские острова
Науру,NAU,Науру
Великобритании,ГБ,Корнуолл
Гвадалканал,SLB,Соломоновы Острова
Харк,IR,Фарс
Терскельное движение,Нл,Фризленд
Айла да Ометепе,НИК,Никарагуа
Ангилья,AXA,Ангилья
"Оркни, материковая область",ГБ,Оркни
Италия,IRL,Италия
Вангерож,D,Нидераксен
Себу,РП,Филиппины
Большой Кайман,Кейм,Каймановы острова
Ломбок,РИ,Индонезия
Шьермониког,Нл,Фризленд
Великобритании,ГБ,Бекингемшир
Великобритании,ГБ,Лотиан
Шикоку,J,Эхим
Майотта,Мэйо,Майотта
Хонсю,J,Вакаяма
Большие Бермудские острова,БЕРМ,Бермудские острова
Бали,РИ,Индонезия
Чили,ДЖА,Чили
Остров Норфолк,НОРФ,Остров Норфолк
Полезность,PL,Шчинский
Увеа,ВАФА,Уоллис и Футуна
Сокотра,ДА,Йемен
Корво,Р,Азоры
Великобритании,ГБ,Монмутшир
Италия,ИУ,Италия
Фор,D,Шлезвиг Гольштейн
Великобритании,ГБ,Нортгемптоншир
Шикоку,J,Кагава
Остров Бэнкс,КН,Северо-западные территории
Панорама,I,Калабрия
Великобритании,ГБ,Бригенд
Гранд-Тёрк,ТУКА,Острова Тёркс и Кайкос
Испаньола,ДОМ,Доминиканская Республика
Хонсю,J,Чиба
Изабель,ЕС,Эквадор
Тенерифа,E,Канарские острова
Невис,KN,Сент-Китс и Невис
Лэнди,ГБ,Девон
Остров Ванкувер,КН,Британская Колумбия
Окинава,J,Окинава
Менорка,E,Балеарские острова
Южный Рональдси,ГБ,Оркни
Мохилья,COM,Коморские Острова
Бангка,РИ,Индонезия
Порту Санто,Р,Мадейра
Кюсю,J,Миядзаки
Олкхон,Р,Республика Бурьятия
Хонсю,J,Окаяма
Тарава,КИР,Кирибати
Остров Санта-Каталина,США,Калифорния
Сент-Томас,ВИРГ,Виргинские острова
Остров Саутгемптон,КН,Северо-западные территории
Великобритании,ГБ,Хертфордшир
Хонсю,J,Мие
Сашалин,Р,Сахалинская область
Фальстер,ДК,Дания
Организация &lt; &lt; Новая Каледония &gt; &gt;,НКА,Новая Каледония
Великобритании,ГБ,Дамфри и Галлоуэй
Южное Уист,ГБ,Внешние гебриды
Хонсю,J,Шиман
Сент-Китс,KN,Сент-Китс и Невис
Самос,ГР,Верион &lt; &lt; Айяон &gt; &gt;
Рум,ГБ,Нагорья
Чиос,ГР,Верион &lt; &lt; Айяон &gt; &gt;
Раротонг,КОК,Острова Кука
Хонсю,J,Токио
Великобритании,ГБ,Порошки
Амрум,D,Шлезвиг Гольштейн
Батам,РИ,Индонезия
Великобритании,ГБ,Рексхем
Тортола,БВИР,Британские Виргинские острова
Великобритании,ГБ,Somerset
Сыпь,D,Нидераксен
Остров Мелвиль,AUS,Северная территория
Великобритании,ГБ,Глостершир
Остров Рене Левассеур,КН,Онтарио
Хонсю,J,Нагано
Гренландия,ГРОКС,Гренландия
Липари,I,Калабрия
Куба,C,Сьего де Авила
Руген,D,Мекленбург Ворпоммерн
Аруба,ARU,Аруба
Футуна,ВАФА,Уоллис и Футуна
Кюсю,J,Фукуока
Кюсю,J,Нагасаки
Остров принца Эдуарда,КН,Остров принца Эдуарда
Остров Санта-Роза,США,Калифорния
Ислай,ГБ,Стратклид
Остров Кангару,AUS,Южная Австралия
Великобритании,ГБ,Ронда Сайнон Тафф
Площадь,ДК,Дания
Арран,ГБ,Стратклид
Те Ика-а-Мауи (Северный остров),Новой Зеландии,Новая Зеландия
Великобритании,ГБ,Уорвикшир
Испаньола,РЧ,Гаити
Гренада,РГ,Гренада
Церам,РИ,Индонезия
Эмбон,РИ,Индонезия
Хонсю,J,Айти
Влиленд,Нл,Фризленд
Великобритании,ГБ,Девон
Остров Сан-Мигель,США,Калифорния
