name,area,depth,altitude,type,river,longitude,latitude
Ozero Balchash,18428.0,26.0,342.0,соль,,74.88,46.55
Франклин Д. Рузвельтское озеро,337.0,,,искусственные,Река Колумбия,-119.0,47.95
Vierwaldstattersee,113.7,214.0,434.0,,Реус,8.4,47.0
Каспийское море,386400.0,995.0,-28.0,соль,,51.0,41.0
Озеро Маракайбо,13000.0,50.0,0.0,,,-71.55,9.72
Озеро Нгами,770.0,2.0,,соль,,23.0,-20.5
Сторуман,173.0,139.0,419.0,,Умеэльв,16.88,65.22
Озеро Пауэлл,645.0,171.0,1127.0,искусственные,Колорадо,-111.5,36.9
Озеро Оахе,1453.0,,,искусственные,Миссури,-100.4,44.45
Озеро Чилва,687.0,2.0,474.0,соль,,35.7,-15.3
Атлинское озеро,798.0,283.0,668.0,,Река Юкон,-133.75,59.5
Озеро Вольта,8502.0,130.0,,искусственные,Вольта,0.5,6.3
Озеро Руква,5760.0,5.0,800.0,соль,,32.35,-8.0
Озеро Виннипег,24420.0,18.0,218.0,,Нельсон Ривер,-97.97,52.77
Соль Makarikari Pan,12000.0,0.0,,соль,,21.0,-25.5
озеро Сакакавеа,1578.0,55.0,,искусственные,Миссури,-101.42,47.48
Чимси,80.0,73.0,518.0,,Alz,12.4,47.9
Цинхайское озеро,4583.0,,3195.0,соль,,100.2,36.9
Озеро Май Ндомбе,8200.0,10.0,300.0,,Фими,18.3,-2.05
Арресо,40.2,5.6,,,,12.1,56.0
Озеро Танганджика,32893.0,1470.0,782.0,,Лукуга,30.0,-6.0
Озеро Шампанское,1130.0,121.0,30.0,,Ривьер Ришелье,-73.35,44.56
Пейджаенн,1118.0,95.0,78.0,,Кимижоки,25.4,61.5
Соль &lt; &lt; Этоша &gt; &gt;,6133.0,0.0,1000.0,соль,,16.0,-18.8
Лох-Ломонд,71.0,190.0,7.9,,,-4.59,56.08
Веттерн,1900.0,119.0,88.0,,,14.5,58.3
Верхнее озеро,82103.0,405.0,184.0,,,-87.37,47.7675
Каллавеси,472.0,,,,Вуокси,27.7,62.9
