abbreviation,name,city,country,province,established
МКСП,Международная конфедерация свободных профсоюзов,Брюссель,B,Брабант,1949-12-01
ЕИБ,Европейский инвестиционный банк,Люксембург,L,Люксембург,1957-03-25
МООНГ,Миссия Организации Объединенных Наций в Гаити,Нью-Йорк,США,Нью-Йорк,1993-09-23
Группа 15,Группа 15,Женева,CH,ГЭ,
МСЭ,Международный союз электросвязи,Женева,CH,ГЭ,1932-12-09
АМП,Арабский валютный фонд,Абу-Даби,ОАЭ,Абу-Даби,1976-04-27
АГ,Андская группа,Лима,ПЭ,Лима,1969-05-26
ГЯП,Группа ядерных поставщиков,Вена,A,Вена,
ЭКА,Экономическая комиссия для Африки,Аддис-Абеба,ЭТО,Эфиопия,1958-04-29
ЭКЛАК,Экономическая комиссия для Латинской Америки и Карибского бассейна,Сантьяго,RCH,Чили,1948-02-25
Удовлетворение,Совет Согласия,Абиджан,CI,Кот-д &apos; Ивуар,1959-05-29
О-6,Группа 6,,,,1984-05-22
ВПС,Всемирный почтовый союз,Берн,CH,БУДЬ,1874-10-09
ОБСЕ,Организация по безопасности и сотрудничеству в Европе,Вена,A,Вена,1995-01-01
МНООНТ,Миссия наблюдателей Организации Объединенных Наций в Таджикистане,Нью-Йорк,США,Нью-Йорк,1994-12-16
CDB,Карибский банк развития,,,,1969-10-18
МОТ,Международная организация труда,Женева,CH,ГЭ,1919-04-11
Группа &lt; &lt; Меконг &gt; &gt;,Группа АСЕАН по вопросам развития бассейна реки Меконг,,,,1995-12-01
О-5,Группа 5,,,,1985-09-22
Спартека,Южнотихоокеанское региональное соглашение о торговле и экономическом сотрудничестве,,,,1981-01-01
НАТО,Организация Североатлантического договора,Брюссель,B,Брабант,1949-09-17
СООНО,Силы Организации Объединенных Наций по охране,Нью-Йорк,США,Нью-Йорк,1992-02-28
ВСООНЛ,Временные силы Организации Объединенных Наций в Ливане,Нью-Йорк,США,Нью-Йорк,1978-03-19
WFTU,Всемирная федерация профсоюзов,Прага,CZ,Праха,1945-10-03
ЛАС,Латиноамериканская экономическая система,Каракас,YV,Федеральный департамент,1975-10-17
Интелсат,Международная организация спутниковой связи,Вашингтон,США,ЕВРОПЕЙСКАЯ ЭКОНОМИЧЕСКАЯ КОМИССИЯ,1971-08-20
АНК,Совет сотрудничества в Северной Атлантике,Брюссель,B,Брабант,1991-11-08
ОАГ,Организация американских государств,Вашингтон,США,ЕВРОПЕЙСКАЯ ЭКОНОМИЧЕСКАЯ КОМИССИЯ,1948-04-30
МФОКК,Международная федерация обществ Красного Креста и Красного Полумесяца,Женева,CH,ГЭ,1919-05-05
ДН,Движение неприсоединения,Джакарта,РИ,Индонезия,1961-09-01
МООННГ,Миссия Организации Объединенных Наций по наблюдению в Грузии,Нью-Йорк,США,Нью-Йорк,
МАР,Международная ассоциация развития,Вашингтон,США,ЕВРОПЕЙСКАЯ ЭКОНОМИЧЕСКАЯ КОМИССИЯ,1960-01-26
ЮНИТАР,Учебный и научно-исследовательский институт Организации Объединенных Наций,,,,1963-12-11
ЗЕС,Западноевропейский союз,Брюссель,B,Брабант,1954-10-23
ОАЕ,Организация африканского единства,Аддис-Абеба,ЭТО,Эфиопия,1963-05-25
ООН,В настоящий отчет могут вноситься поправки.,Нью-Йорк,США,Нью-Йорк,1945-06-26
ИМО,Международная морская организация,Лондон,ГБ,Большой Лондон,1958-03-17
