name,code,capital,province,area,population
Буркина-Фасо,BF,Уагадугу,Буркина-Фасо,274200.0,10623323
Ирак,ИРК,Багдад,Багдад,437072.0,21422292
Панама,ПА,Панама,Панама,78200.0,2655094
Сент-Мартин,СМАРТ,Мариго,Сент-Мартин,54.0,29820
Индонезия,РИ,Джакарта,Индонезия,1919440.0,206611600
Мали,РММ,Бамако,Мали,1240000.0,9653261
Бруней,БРУ,Бандар Сери Бегаван,Бруней,5770.0,299939
Монголия,МПГ,Улан-Батор,Монголия,1565000.0,2496617
Фолклендские острова,ФАЛК,Стэнли,Фолклендские острова,12173.0,3140
Уругвай,Ру,Монтевидео,Уругвай,176220.0,3238952
Австралия,AUS,Канберра,Австралийская столичная территория,7686850.0,18260863
Таджикистан,TAD,Душанбе,Душанбе (шум),143100.0,5916373
Словакия,SK,Братислава,Словакия,48845.0,5374362
Сент-Люсия,WL,Кастри,Сент-Люсия,620.0,157862
Судан,СУД,Хартум,Аль-Хартум,2505810.0,31547543
Камерун,КАМ,Яунде,Центр,475440.0,14261557
Остров Норфолк,НОРФ,Кингстон,Остров Норфолк,34.6,2209
Перу,ПЭ,Лима,Лима,1285220.0,24523408
Армения,ARM,Ереван,Армения,29800.0,3463574
Гваделупа,ГРАД,Басс-Терре,Гваделупа,1780.0,407768
Соединенное Королевство,ГБ,Лондон,Большой Лондон,244820.0,58489975
Фарерские острова,FARX,Торшавн,Фарерские острова,1400.0,43857
Сент-Пьер и Микелон,СПМИ,Сент-Пьер,Сент-Пьер и Микелон,242.0,6809
Гайана,Парень,Джорджтаун,Гайана,214970.0,712091
Алжир,DZ,Алгье,Алжир,2381740.0,29183032
Португалия,Р,Лиссабон,Лиссабон,92080.0,9865114
Кот-д &apos; Ивуар,CI,Ямусукро,Кот-д &apos; Ивуар,322460.0,14762445
Черногория,МНП,Подгорица,Черногория,14026.0,672180
Макао,МАКХ,Макао,Макао,16.0,496837
Узбекистан,Юзеф,Ташкент,Тоскент,447400.0,23418381
Святейший Престол,V,Ватикан,Святейший Престол,0.44,840
Италия,I,Рим,Лацио,301230.0,57460274
Швейцария,CH,Берн,БУДЬ,41290.0,7207060
Сальвадор,ES,Сан-Сальвадор,Сальвадор,21040.0,5828987
Чад,TCH,Нджамена,Чад,1284000.0,6976845
Вьетнам,VN,Ханой,Вьетнам,329560.0,73976973
Косово,KOS,Приштина,Косово,10887.0,1804838
Руанда,РВА,Кигали,Руанда,26340.0,6853359
Суринам,МСП,Парамарибо,Суринам,163270.0,436418
Шри-Ланка,Кл,Коломбо,Шри-Ланка,65610.0,18553074
Бутан,БВ,Тхимпху,Бутан,47000.0,1822625
Ливия,ЛАР,Триполи,Ливия,1759540.0,5445436
Молдова,MD,Кишинев,Молдова,33700.0,4463847
Танзания,ЕАТ,Дар-эс-Салам,Дарессалам,945090.0,29058470
Кирибати,КИР,Тарава,Кирибати,717.0,80919
Нидерландские Антильские острова,,Виллемстад,Нидерландские Антильские острова,960.0,227049
Гибралтар,ГБЦ,Гибралтар,Гибралтар,6.5,28765
Каймановы острова,Кейм,Джордж Таун,Каймановы острова,262.0,49035
Гвинея,RG,Конакри,Гвинея,245860.0,7411981
Италия,IRL,Дублин,Италия,70280.0,3566833
Гана,GH,Аккра,Гана,238540.0,17698271
Пуэрто-Рико,ПР,Сан-Хуан,Пуэрто-Рико,8870.0,3971020
Чешская Республика,MK,Скопье,Чешская Республика,25333.0,2104035
Канада,КН,Оттава,Онтарио,9976140.0,28820671
Эфиопия,ЭТО,Аддис-Абеба,Эфиопия,1127130.0,57171662
Кипр,CY,Никосия,Кипр,9251.0,744609
Беларусь,Клянусь!,Минск,Беларусь,207600.0,10415973
Литва,ЛТ,Вильнюс,Литва,65200.0,3646041
Афганистан,AFG,Кабул,Афганистан,647500.0,22664136
Венгрия,Н,Будапешт,Будапешт (муниципалитет),93030.0,10002541
Австрия,A,Вена,Вена,83850.0,8023244
Заир,ЗРЕ,Киншаса,Киншаса,2345410.0,46498539
Камбоджа,К,Пномпень,Камбоджа,181040.0,10861218
Антигуа и Барбуда,АГ,Сент-Джонс,Антигуа и Барбуда,442.0,65647
Турция,ТR,Анкара,Анкара,780580.0,62484478
Израиль,Ил,Иерусалим,Центральный,20770.0,5421995
Франция,И,Стокгольм,Стокгольм,449964.0,8900954
Виргинские острова,ВИРГ,Шарлотта Амали,Виргинские острова,352.0,97120
Кувейт,KWT,Кувейт,Кувейт,17820.0,1950047
Сан-Томе и Принсипи,ПДТ,Сан-Томе,Сан-Томе и Принсипи,1001.0,144128
Ангола,АНГ,Луанда,Луанда,1246700.0,10342899
Сомали,СП,Могадишо,Сомали,637660.0,9639151
Кения,ЭАК,Найроби,Найроби,582650.0,28176686
Казахстан,KAZ,Алматы,Алма-Ата (муниципалитет),2717300.0,16916463
Австралия,AL,Тиран,Австралия,28750.0,3249136
Джибути,ДСО,Джибути,Джибути,22000.0,427642
Россия,Р,Москва,Москва,17075200.0,148178487
Доминиканская Республика,ДОМ,Санто-Доминго,Доминиканская Республика,48730.0,8088881
Парагвай,PY,Асунсьон,Парагвай,406750.0,5504146
Бенин,Бен,Порто-Ново,Бенин,112620.0,5709529
Замбия,Z,Лусака,Лусака,752610.0,9159072
Иран,IR,Тегеран,Тегеран,1648000.0,66094264
Сектор Газа,Газа,,,360.0,813332
Южная Корея,ОК,Сеул,Южная Корея,98480.0,45482291
Коста-Рика,ЧР,Сан-Хосе,Сан-Хосе,51100.0,3463083
Грузия,ГЭ,Тбилиси,Грузия,69700.0,5219810
Украина,UA,Киев,Киевска,603700.0,50864009
Бельгия,B,Брюссель,Брабант,30510.0,10170241
Соломоновы Острова,SLB,Хониара,Соломоновы Острова,28450.0,412902
Куба,C,Гавана,Сьюдад-де-ла-Хабана,110860.0,10951334
Самоа,WS,Апиа,Самоа,2860.0,214384
Греция,ГР,Афины,Аттики,131940.0,10538594
Мексика,МЕКС,Мехико,Федеральный департамент,1972550.0,95772462
Бермудские острова,БЕРМ,Гамильтон,Бермудские острова,53.3,67837
Свазиленд,УР,Мбабан,Свазиленд,17360.0,998730
Венесуэла,YV,Каракас,Федеральный департамент,912050.0,21983188
Белиз,BZ,Бельмопан,Белиз,22960.0,219296
Мавритания,РИМ,Нуакшот,Мавритания,1030700.0,2336048
Индией,СИН,Дели,Дели,3287590.0,952107694
Багамские Острова,BS,Нассау,Багамские Острова,13940.0,259367
Монако,МК,Монако,Монако,1.9,31719
Нигерия,ВАН,Абуджа,Нигерия,923770.0,103912489
Соединенные Штаты,США,Вашингтон,ЕВРОПЕЙСКАЯ ЭКОНОМИЧЕСКАЯ КОМИССИЯ,9372610.0,266476278
Северная Корея,Норк,Пхеньян,Северная Корея,120540.0,23904124
Польша,PL,Варшава,Варецский,312683.0,38642565
Тонга,К,Нукуалофа,Тонга,748.0,106466
Эквадор,ЕС,Кито,Эквадор,283560.0,11466291
Джерси,GBJ,Святой Верхний,Джерси,117.0,87848
Зимбабве,ZW,Хараре,Зимбабве,390580.0,11271314
Маршалловы Острова,МГ,Маджуро,Маршалловы Острова,181.3,58363
Новая Зеландия,Новой Зеландии,Веллингтон,Новая Зеландия,268680.0,3547983
Дания,ДК,Копенгаген,Дания,43070.0,5249632
Сирия,СИР,Дамаск,Сирия,185180.0,15608648
Саудовская Аравия,С.А.,Эр-Рияд,Саудовская Аравия,1960580.0,19409058
Мьянма,МЬЯ,Рангун,Янгон,678500.0,45975625
Бразилия,КР,Бразилиа,Федеральный департамент,8511960.0,162661214
Филиппины,РП,Манила,Филиппины,299764.0,74480848
Италия,ИУ,Рейкьявик,Италия,103000.0,270292
Острова Тёркс и Кайкос,ТУКА,Гранд-Тёрк,Острова Тёркс и Кайкос,430.0,22942
Норвегия,Н,Осло,Осло,324220.0,4383807
Мартиника,МАРТ,Фор-де-Франция,Мартиника,1128.0,399151
Сейшельские Острова,SY,Виктория,Сейшельские Острова,455.0,77575
Тувалу,ТВЧ,Фунафути,Тувалу,26.0,10146
Острова Кука,КОК,Аваруа,Острова Кука,240.0,11870
Тайвань,КР,Тайбэй,Тайвань,36179.0,21465881
Гернси,ГБГ,Порт Святого Петра,Гернси,194.0,62920
Сент-Винсент и Гренадины,WV,Кингстаун,Сент-Винсент и Гренадины,389.0,118344
Коморские Острова,COM,Морони,Коморские Острова,2170.0,569237
Испания,E,Мадрид,Мадрид,504750.0,39181114
Того,РТ,Лом,Того,56790.0,4570530
Египет,ЕТ,Каир,Эль-Кахира,1001450.0,63575107
Барбадос,УРБ,Бриджтаун,Барбадос,430.0,257030
Майотта,Мэйо,Мамуцу,Майотта,374.0,223765
Гвинея-Бисау,ГНБ,Бисау,Гвинея-Бисау,36120.0,1151330
Словения,SLO,Любляна,Словения,20256.0,1951443
Босния и Герцеговина,БиГ,Сараево,Босния и Герцеговина,51233.0,2656240
Непал,NEP,Катманду,Непал,140800.0,22094033
Доминика,WD,Розау,Доминика,746.0,82926
Экваториальная Гвинея,GQ,Малабо,Экваториальная Гвинея,28050.0,431282
Сенегал,SN,Дакар,Дакар,196190.0,9092749
Оман,РОУ,Маскат,Оман,212460.0,2186548
Свальбард,SVAX,Длинный год,Свальбард,62049.0,2116
