sea,country,province
Скагеррак,Н,Вест Агдер
Тихоокеанский океан,Р,Сахалинская область
Атлантический океан,РЧ,Гаити
Канал,F,Пикарди
Карибское море,HCA,Грациалы
Тихоокеанский океан,МЕКС,Халиско
Японское море,Р,Приморский крей
Персидский залив,ОАЭ,Рас-эль-Хайма
Сундское море,РИ,Индонезия
Андаманское море,ТА,Таиланд
Атлантический океан,АНГ,Бенгела
Атлантический океан,КР,Пункт
Индийский океан,COCO,Острова Кокос
Средиземное море,МЭТ,Марокко
Атлантический океан,АЗС,Западная Сахара
Персидский залив,ОАЭ,Эш Шарика
Тихоокеанский океан,HCA,Чолутека
Скагеррак,Н,Buskerud
Северное море,D,Бремен
Атлантический океан,WD,Доминика
Персидский залив,ИРК,Аль Басра
Тихоокеанский океан,J,Токусима
Тихоокеанский океан,AUS,Новый Южный Уэльс
Атлантический океан,ФАЛК,Фолклендские острова
Черное море,ТR,Зонгулдак
Андаманское море,МЬЯ,Айярвади
Малаккский пролив,ТЗА,Мелака
Южно-Китайское море,МАКХ,Макао
Бенгальский залив,МЬЯ,Айярвади
Атлантический океан,Р,Лиссабон
Желтое море,Норк,Северная Корея
Карибское море,ВИРГ,Виргинские острова
Южно-Китайское море,ТЗА,Саба
Атлантический океан,Р,Беджа
Атлантический океан,C,Матанзас
Атлантический океан,ГБ,Корнуолл
Средиземное море,ГР,Кедрики Македония
Южно-Китайское море,К,Камбоджа
Атлантический океан,WL,Сент-Люсия
Тихоокеанский океан,HCA,Валье
Арабское море,СИН,Гоа
Атлантический океан,ПДТ,Сан-Томе и Принсипи
Норвежское море,ГБ,Шетланд
Атлантический океан,Р,Лейриа
Малаккский пролив,SGP,Сингапур
Тихоокеанский океан,Р,Магаданская область
Тихоокеанский океан,J,Хоккайдо
Тихоокеанский океан,J,Мие
Атлантический океан,АНГ,Сул &lt; &lt; Куанза &gt; &gt;
Атлантический океан,США,Нью-Гэмпшир
Атлантический океан,КАМ,Центр
Атлантический океан,КН,Остров принца Эдуарда
Индийский океан,RSA,Восточный мыс
Море Сулавеси,РИ,Индонезия
Атлантический океан,SN,Зигиншор
Южно-Китайское море,VN,Вьетнам
Персидский залив,БРИН,Бахрейн
Атлантический океан,РЭ,&lt; &lt; Тьерра дель Фуэго &gt; &gt;
Черное море,ТR,Коджали
Тихоокеанский океан,ES,Сальвадор
Средиземное море,E,Андалусия
Северное море,ГБ,Гумберсайд
Море Баренцев,Р,Архангельская область
Ирландское море,ГБ,Кардифф
Атлантический океан,Бен,Бенин
Северное море,ГБ,Оркни
Бенгальский залив,МЬЯ,Ракхайн
Тихоокеанский океан,КОК,Острова Кука
Атлантический океан,АНГ,Луанда
Атлантический океан,УРБ,Барбадос
Норвежское море,FARX,Фарерские острова
Средиземное море,ЕТ,Шаркия
Средиземное море,ЕТ,Думят
Оманский залив,РОУ,Оман
Тихоокеанский океан,МЕКС,Оахака
Беременное море,Р,Магаданская область
Персидский залив,С.А.,Саудовская Аравия
Атлантический океан,Р,Сетубаль
Тихоокеанский океан,ПЭ,Арекипа
Восточно-Китайское море,J,Кагосима
Атлантический океан,Р,Порто
Японское море,J,Ямагути
Тихоокеанский океан,ПА,Дэрьен
Карибское море,C,Бабушка
Андаманское море,СИН,Андаман и Никобар тоже.
Южно-Китайское море,SGP,Сингапур
Атлантический океан,КР,Пернамбуко
Скагеррак,ДК,Дания
Средиземное море,ЕТ,Эль-Искандария
Море Сулавеси,ТЗА,Саравак
Тихоокеанский океан,CO,Валье де Каука
Атлантический океан,МЭТ,Марокко
Средиземное море,Ил,Центральный
Карибское море,АГ,Антигуа и Барбуда
Атлантический океан,БЕРМ,Бермудские острова
Атлантический океан,RSA,Западный мыс
Японское море,J,Фукуи
Атлантический океан,ВАН,Нигерия
Тихоокеанский океан,ПА,Эррера
Атлантический океан,СМАРТ,Сент-Мартин
Тихоокеанский океан,РП,Филиппины
Атлантический океан,SN,Толстяк
Арабское море,СИН,Лаксхадвип - это.
Карибское море,СМАРТ,Сент-Мартин
Персидский залив,ОАЭ,Абу-Даби
Карибское море,WL,Сент-Люсия
Атлантический океан,G,Габон
Персидский залив,IR,Хузестан
Черное море,RO,Константаa
Персидский залив,РОУ,Оман
Андаманское море,МЬЯ,Баго
Тихоокеанский океан,КН,Территория Юкон
Тихоокеанский океан,J,Вакаяма
Индийский океан,ПК,Пакистан
Восточно-Китайское море,J,Кумамото
Атлантический океан,ГБ,Внешние гебриды
Арабское море,СИН,Керала
Скагеррак,Н,Вентилятор
Атлантический океан,C,Гуантанамо
Атлантический океан,GH,Гана
Балтийское море,SF,Лаппия
Атлантический океан,КР,Серджип
Тихоокеанский океан,ПЭ,Мокегуа
Тихоокеанский океан,США,Калифорния
Атлантический океан,KN,Сент-Китс и Невис
Северное море,Н,Вест Агдер
Атлантический океан,АГ,Антигуа и Барбуда
Тихоокеанский океан,ЧР,Пунтарены
Атлантический океан,ВАЛ,Сьерра-Леоне
Средиземное море,Ил,Хайфа
Тихоокеанский океан,БУ,Вануату
Индийский океан,МПК,Мапуту
Бенгальский залив,СИН,Западный Бенгал
Атлантический океан,СПМИ,Сент-Пьер и Микелон
Карибское море,C,Санкти Спиритус
Карибское море,AXA,Ангилья
Средиземное море,F,Корс
Средиземное море,ЛАР,Ливия
Красное море,СУД,Шаркия
Балтийское море,ДК,Дания
Балтийское море,SF,Турку-Пори
Тихоокеанский океан,J,Ивировать
Атлантический океан,E,Андалусия
Норвежское море,ГРОКС,Гренландия
