mountain,island
Сильвисили,Саваи
Pico de los Nieves,Гран Канариа
Монте Синто,Корс
М. Кук,Те Вака-а-Мауи (Южный остров)
Попоманасей,Гвадалканал
Этна,Сицилия
Пулог,Лузон
Монт-Орохена,Таити
Mt. Balbi,Бугенвиль
Панчак Джая,Новая Гвинея
Гунунг Агунг,Бали
Тамбора,Сумбава
Pico Basile,Биоко
Tatamailau,Тимор
Керинчи,Суматра
Г-н Бабель,Остров Рене Левассеур
Суфриер Хиллз,Монтсеррат
Жима,Олкхон
Асахи-Дейк,Хоккайдо
Oraefajokull,Италия
Вильгельм,Новая Гвинея
Виктория,Вити Леву
Пико Руиво,Мадейра
Руапеху,Те Ика-а-Мауи (Северный остров)
Рантекомбола,Сулавеси
Piton des Neiges,Воссоединение
Андрингитра,Мадагаскар
Ю Шан,Тайвань
Мантальингаджан,Палаван
Ла Суфриер,Басс-Терре
Г-н Один,Остров Баффин
Царатанана,Мадагаскар
Пинатубо,Лузон
Бен Невис,Великобритании
Кракатау,Кракатау
Барбо Пик,Остров Эллесмир
Псилорит,Крета
Piton de la Fournaise,Воссоединение
Циафаявона,Мадагаскар
Мауна Луа,Гавайи
Мерапи,Ява
Королева Марис Пик,Тристан-да-Кунья
Пели,Мартиника
Пико Дуарти,Испаньола
Пико де Сан-Томе,Сан-Томе
Семеру,Ява
Гилуве,Новая Гвинея
Пико,Пико
Мауна Кеа,Гавайи
Снэфелл,Италия
&lt; &lt; Роке де лос Мучачос &gt; &gt;,Ла-Пальма
Пико де Тейд,Тенерифа
Суфриер,Сент-Винсент
Пико Туркино,Куба
Кинабалу,Борнео
Канлаон,Негры
Серро-де-Пунта,Пуэрто-Рико
Leuser,Суматра
Фого,Фого
Голубая гора,Чили
Диаблотины морна,Доминика
Ринджани,Ломбок
Олимпос,Кипр
Халекала,Мауи
Гунунг Бинайя,Церам
Гора Апо,Минданао
Концепция,Айла да Ометепе
