season,slot,strongseed,weakseed
2008,R3X2,R2X2,R2X3
1994,R1W8,W08,W09
2011,R3Y1,R2Y1,R2Y4
1994,R2X2,R1X2,R1X7
1999,R1X3,X03,X14
2013,R1Y6,Y06,Y11
2011,R1Z2,Z02,Z15
1992,R2Y3,R1Y3,R1Y6
1999,R2X1,R1X1,R1X8
1990,R4Z1,R3Z1,R3Z2
1989,R4Z1,R3Z1,R3Z2
2011,R2Y4,R1Y4,R1Y5
2006,R3Y2,R2Y2,R2Y3
2003,R2Z1,R1Z1,R1Z8
2009,R2W1,R1W1,R1W8
2010,R2Y3,R1Y3,R1Y6
2005,R3W1,R2W1,R2W4
2007,R2W1,R1W1,R1W8
1988,R3X1,R2X1,R2X4
1990,R1Y8,Y08,Y09
2008,R2Z3,R1Z3,R1Z6
1997,R2Z3,R1Z3,R1Z6
1991,R4Z1,R3Z1,R3Z2
2005,R2Z2,R1Z2,R1Z7
1989,R5YZ,R4Y1,R4Z1
2007,R5YZ,R4Y1,R4Z1
1985,R1X7,X07,X10
2001,R1W4,W04,W13
1994,R4Y1,R3Y1,R3Y2
1995,R2Z3,R1Z3,R1Z6
2003,R1Y2,Y02,Y15
2009,Y16,Y16a,Y16b
1985,R1Z2,Z02,Z15
2012,R1Z5,Z05,Z12
1991,R1W7,W07,W10
2014,R1X8,X08,X09
1987,R1X6,X06,X11
2012,R1W6,W06,W11
1991,R1X7,X07,X10
1986,R1W2,W02,W15
2004,R1X3,X03,X14
1999,R1Z5,Z05,Z12
1998,R2X2,R1X2,R1X7
2000,R4Z1,R3Z1,R3Z2
2002,R1W8,W08,W09
1993,R1W8,W08,W09
2005,R1W7,W07,W10
1997,R4X1,R3X1,R3X2
2011,R2Z1,R1Z1,R1Z8
1997,R1Y1,Y01,Y16
2000,R1W3,W03,W14
2007,R1Y5,Y05,Y12
1998,R4Z1,R3Z1,R3Z2
1998,R3Y2,R2Y2,R2Y3
1987,R2X1,R1X1,R1X8
1986,R1Y2,Y02,Y15
2004,R2W4,R1W4,R1W5
2011,R1W5,W05,W12
1991,R1W2,W02,W15
1988,R2W2,R1W2,R1W7
2010,R1Z3,Z03,Z14
2007,R1Y4,Y04,Y13
2000,R1Z5,Z05,Z12
2012,R1Y4,Y04,Y13
1995,R2Z2,R1Z2,R1Z7
2007,R4W1,R3W1,R3W2
1988,R1W7,W07,W10
1993,R3Y1,R2Y1,R2Y4
2001,R3Y2,R2Y2,R2Y3
1996,R6CH,R5WX,R5YZ
1998,R2X4,R1X4,R1X5
2006,R1X6,X06,X11
2005,R1Y6,Y06,Y11
2012,R2W3,R1W3,R1W6
2014,R4Z1,R3Z1,R3Z2
1992,R1W8,W08,W09
2004,R1X7,X07,X10
2000,R2X1,R1X1,R1X8
1989,R1W8,W08,W09
2008,R3Z1,R2Z1,R2Z4
2010,R1Z2,Z02,Z15
1992,R4Z1,R3Z1,R3Z2
1988,R1X7,X07,X10
2014,R1Y4,Y04,Y13
2007,R2W4,R1W4,R1W5
2011,R4Z1,R3Z1,R3Z2
2010,R1Z7,Z07,Z10
1995,R1Z4,Z04,Z13
1997,R1Y8,Y08,Y09
2013,R1W4,W04,W13
1993,R1Y3,Y03,Y14
2010,R1X2,X02,X15
2000,R3X1,R2X1,R2X4
2008,R2X3,R1X3,R1X6
2010,R4Z1,R3Z1,R3Z2
2002,R3X2,R2X2,R2X3
2003,R1Z6,Z06,Z11
1992,R1W2,W02,W15
1990,R2X2,R1X2,R1X7
1990,R4Y1,R3Y1,R3Y2
2013,R1Z5,Z05,Z12
2011,R1Y8,Y08,Y09
2012,R1W8,W08,W09
2010,R2X4,R1X4,R1X5
1991,R3W2,R2W2,R2W3
2007,Z16,Z16a,Z16b
1990,R2Z4,R1Z4,R1Z5
2006,R1W3,W03,W14
2009,R2W3,R1W3,R1W6
2004,R1Z8,Z08,Z09
2003,R1W2,W02,W15
1986,R3Z2,R2Z2,R2Z3
1990,R1X7,X07,X10
2011,R4X1,R3X1,R3X2
2009,R3Y1,R2Y1,R2Y4
2004,R2Z4,R1Z4,R1Z5
2005,R2X3,R1X3,R1X6
2014,R2Y2,R1Y2,R1Y7
1992,R2X2,R1X2,R1X7
2006,R2Y3,R1Y3,R1Y6
1989,R1Y1,Y01,Y16
2002,R2W1,R1W1,R1W8
1997,R2X4,R1X4,R1X5
1991,R1Y6,Y06,Y11
2011,R2X1,R1X1,R1X8
1996,R1W6,W06,W11
2004,R1Z7,Z07,Z10
1992,R1Z6,Z06,Z11
1988,R1W2,W02,W15
1994,R2Z2,R1Z2,R1Z7
2007,R2Z4,R1Z4,R1Z5
1993,R1Z5,Z05,Z12
2013,R1Y7,Y07,Y10
2000,R1X3,X03,X14
2008,R1Z8,Z08,Z09
2014,R2Z4,R1Z4,R1Z5
1999,R1X2,X02,X15
1996,R1Y8,Y08,Y09
1990,R2W4,R1W4,R1W5
1994,R3Y1,R2Y1,R2Y4
1999,R1X4,X04,X13
1997,R1X3,X03,X14
2010,R1X5,X05,X12
2000,R1X7,X07,X10
2012,R2W4,R1W4,R1W5
1994,R2Y4,R1Y4,R1Y5
1996,R1W5,W05,W12
2013,R5WX,R4W1,R4X1
2002,R1Z8,Z08,Z09
1997,R1Z6,Z06,Z11
2013,R2W4,R1W4,R1W5
2008,R1X7,X07,X10
1985,R1X6,X06,X11
2000,R4Y1,R3Y1,R3Y2
1997,R2X2,R1X2,R1X7
2009,R1W6,W06,W11
1986,R1W1,W01,W16
1996,R1Y2,Y02,Y15
1994,R5YZ,R4Y1,R4Z1
2012,R1Y8,Y08,Y09
1994,R1W1,W01,W16
