season,daynum,wteam,wscore,lteam,lscore,wloc,numot,wfgm,wfga,wfgm3,wfga3,wftm,wfta,wor,wdr,wast,wto,wstl,wblk,wpf,lfgm,lfga,lfgm3,lfga3,lftm,lfta,lor,ldr,last,lto,lstl,lblk,lpf
2008,66,1151,78,1422,73,H,0,28,56,14,26,8,12,10,26,21,21,7,4,10,28,69,12,34,5,7,16,21,19,18,10,5,16
2007,68,1172,81,1158,73,H,0,29,60,4,19,19,25,11,23,9,13,9,0,17,29,62,6,24,9,13,10,26,15,14,5,4,21
2004,100,1410,70,1117,67,H,0,21,62,6,21,22,28,20,28,12,14,7,5,17,24,64,4,18,15,18,14,24,7,17,6,5,22
2013,123,1273,72,1367,64,H,0,25,56,14,32,8,9,9,24,16,9,2,3,11,24,54,10,22,6,9,8,22,16,10,4,3,17
2008,26,1324,90,1132,80,H,0,29,58,4,18,28,33,13,22,14,16,11,4,13,32,59,5,13,11,14,7,17,20,18,10,3,23
2009,14,1110,67,1384,46,H,0,24,44,6,17,13,16,4,19,14,9,11,3,17,17,49,5,16,7,9,13,19,7,15,4,1,17
2005,68,1151,81,1441,61,H,0,30,54,7,19,14,28,12,30,21,17,11,2,17,22,60,7,25,10,17,14,20,10,17,12,2,21
2014,100,1320,80,1260,58,H,0,27,46,12,26,14,21,6,28,15,12,5,3,21,19,48,6,20,14,25,7,17,11,10,8,0,17
2011,115,1377,99,1312,84,H,0,30,62,6,19,33,39,11,37,18,12,5,5,20,33,72,3,11,15,28,9,25,8,8,5,2,26
2011,25,1458,65,1130,55,N,0,26,57,3,16,10,13,12,21,9,3,2,5,9,21,54,7,24,6,7,10,21,10,9,2,4,17
2013,106,1166,59,1356,45,H,0,20,39,2,9,17,22,4,27,16,15,4,0,11,18,51,3,13,6,10,9,18,9,12,7,1,20
2013,89,1372,65,1249,51,A,0,26,54,3,14,10,16,9,22,12,9,9,5,15,19,51,0,3,13,17,11,22,5,13,6,5,17
2006,18,1276,87,1141,60,H,0,29,48,8,18,21,27,6,31,21,19,7,4,16,24,58,5,20,7,11,5,16,12,16,6,0,21
2005,50,1199,101,1239,57,H,0,40,69,8,19,13,18,11,25,24,10,17,4,15,20,51,6,28,11,21,12,21,10,27,3,2,13
2010,110,1345,75,1228,65,H,0,21,59,9,18,24,28,15,20,11,5,7,4,12,27,55,8,16,3,5,8,22,21,15,1,6,23
2005,75,1246,76,1208,55,A,0,30,54,3,13,13,19,14,30,19,19,11,7,19,19,47,4,18,13,21,4,14,5,13,10,5,17
2008,40,1429,77,1341,51,H,0,29,72,6,20,13,14,18,28,22,13,14,4,16,18,50,5,14,10,17,8,25,7,23,10,8,12
2009,114,1437,74,1177,72,A,0,26,55,6,21,16,21,7,29,12,14,7,2,14,26,67,9,33,11,13,13,25,13,11,8,1,18
2012,34,1279,72,1336,70,A,0,27,59,11,24,7,10,10,20,14,12,10,4,23,26,54,6,19,12,19,12,22,16,15,2,1,13
2008,86,1140,69,1102,53,A,0,26,52,10,27,7,10,8,26,17,10,4,1,18,16,41,5,15,16,24,4,19,8,10,8,1,14
2006,105,1126,76,1354,75,H,0,25,50,10,17,16,25,7,18,17,13,10,3,20,29,63,3,15,14,20,21,22,12,17,6,5,21
2006,121,1350,81,1269,66,H,0,27,47,6,17,21,32,8,15,13,9,5,6,23,23,47,0,12,20,31,17,19,8,18,3,3,29
2011,15,1326,93,1196,75,A,0,39,62,9,21,6,10,8,12,22,8,6,2,16,30,49,6,14,9,14,9,19,11,18,1,4,17
2012,16,1183,65,1260,61,H,0,26,56,4,14,9,11,9,22,16,11,7,6,17,21,50,7,17,12,18,9,22,18,14,3,2,15
2003,111,1389,79,1145,60,H,0,30,59,7,18,12,15,9,27,16,17,8,1,18,21,51,6,15,12,21,8,20,11,21,10,3,20
2010,80,1459,44,1154,42,A,0,17,57,2,12,8,13,16,25,6,11,6,1,12,15,47,4,15,8,10,8,27,7,12,5,6,9
2011,104,1112,67,1113,52,A,0,20,50,9,22,18,21,10,26,16,11,6,3,17,20,53,4,15,8,14,10,21,11,13,6,9,18
2006,80,1249,79,1419,53,H,0,25,61,11,23,18,29,15,35,18,11,4,10,19,17,66,6,21,13,19,20,25,9,15,3,1,23
2010,33,1286,62,1319,50,H,0,22,53,7,22,11,15,6,30,11,11,8,5,12,17,45,5,17,11,16,3,28,9,16,4,3,16
2014,8,1338,75,1201,54,H,0,30,67,0,11,15,21,18,30,17,10,7,2,13,19,51,6,23,10,16,5,20,15,15,3,5,17
2007,26,1321,40,1316,39,H,0,17,50,4,25,2,3,13,21,13,12,6,6,7,16,52,3,10,4,8,16,24,7,12,8,2,9
2013,8,1129,88,1324,80,H,0,28,65,11,34,21,25,13,17,18,5,5,1,19,28,54,6,19,18,27,10,23,10,12,2,2,22
2011,96,1220,78,1318,75,H,0,26,48,9,18,17,24,7,21,16,11,8,3,15,27,57,6,18,15,19,12,18,20,11,8,3,19
2014,47,1182,95,1262,77,A,0,33,53,13,24,16,19,3,25,27,5,3,2,20,26,62,8,29,17,21,14,19,18,7,3,2,17
2010,61,1219,78,1205,68,H,0,27,54,5,17,19,30,10,25,17,15,6,4,20,26,56,8,22,8,13,10,23,16,22,6,3,26
