team_id,team_name
1103,Akron
1105,Alabama A&M
1107,Albany NY
1108,Alcorn St
1110,American Univ
1113,Arizona St
1114,Ark Little Rock
1115,Ark Pine Bluff
1119,Army
1123,Ball St
1126,Bethune-Cookman
1127,Binghamton
1130,Boston College
1133,Bradley
1134,Brooklyn
1136,Bryant
1138,Buffalo
1142,Cal Poly SLO
1143,California
1148,Central Conn
1150,Charlotte
1151,Chattanooga
1153,Cincinnati
1154,Citadel
1155,Clemson
1160,Colorado
1162,Columbia
1163,Connecticut
1169,CS Northridge
1173,Dayton
1177,DePaul
1183,E Illinois
1184,E Kentucky
1191,Evansville
1195,FL Gulf Coast
1196,Florida
1199,Florida St
1201,Fresno St
1204,Ga Southern
1206,George Mason
1208,Georgia
1210,Georgia Tech
1213,Grand Canyon
1214,Hampton
1217,Harvard
1221,Holy Cross
1222,Houston
1224,Howard
1225,Idaho
1228,Illinois
1233,Iona
1234,Iowa
1235,Iowa St
1240,Jacksonville St
1241,James Madison
1244,Kennesaw
1247,La Salle
1248,Lafayette
1249,Lamar
1252,Lipscomb
1253,Long Beach St
1255,Longwood
1261,LSU
1263,Maine
1265,Marist
1267,Marshall
1269,Massachusetts
1270,McNeese St
1271,MD E Shore
1273,Mercer
1275,Miami OH
1276,Michigan
1280,Mississippi St
1286,Montana St
1296,N Illinois
1306,New Hampshire
1312,NJIT
1313,Norfolk St
1319,Northern Arizona
1320,Northern Iowa
1321,Northwestern
1322,Northwestern LA
1324,Oakland
1325,Ohio
1326,Ohio St
1333,Oregon St
1334,Pacific
1336,Penn St
1337,Pepperdine
1339,Portland
1341,Prairie View
1360,San Diego
1362,San Francisco
1365,Santa Clara
1368,SE Louisiana
1370,Seattle
1373,Siena
1374,SMU
1382,St Bonaventure
1384,St Francis PA
1385,St John's
1386,St Joseph's PA
1387,St Louis
1388,St Mary's CA
1390,Stanford
1391,Stetson
1393,Syracuse
1396,Temple
1399,Tennessee Tech
1407,Troy
1412,UAB
1413,UC Davis
1414,UC Irvine
1416,UCF
1420,UMBC
1421,UNC Asheville
1423,UNC Wilmington
1424,UNLV
1425,USC
1427,UT San Antonio
1428,Utah
1435,Vanderbilt
1436,Vermont
1437,Villanova
1438,Virginia
1440,VMI
1441,W Carolina
1443,W Kentucky
1444,W Michigan
1445,W Salem St
1448,Wake Forest
1449,Washington
1450,Washington St
1453,WI Green Bay
1455,Wichita St
1456,William & Mary
1457,Winthrop
1460,Wright St
1461,Wyoming
1463,Yale
