season,seed,team
1985,X06,1409
1987,W01,1314
1989,Z03,1276
1992,Z16,1290
2001,W07,1234
1998,W03,1376
1992,W16,1144
1987,W09,1276
2006,X03,1211
2004,X12,1140
2002,W06,1403
1991,X16,1209
2006,X12,1245
2008,W15,1110
2005,Z05,1437
1995,Z15,1293
1991,Y08,1210
1985,Y09,1229
2000,X02,1153
2014,W09,1203
2006,Y10,1320
1985,Z01,1276
1993,W16,1187
2010,Z09,1199
2014,Z16,1451
2012,X02,1242
1997,X13,1375
1992,Z10,1408
1989,Z13,1292
1996,X11,1409
1995,Z01,1246
1989,W03,1390
2002,Y11,1335
1988,W12,1235
2014,W07,1163
2004,Y16,1251
1990,Z05,1333
1988,W16,1250
1995,Z13,1264
2011,W15,1254
2006,X15,1125
2000,Z12,1232
1987,Y13,1462
2001,Z09,1201
2012,W03,1199
2002,X05,1196
2004,Z09,1412
1988,X09,1272
2007,Z16b,1310
2003,Z02,1242
2009,Y16a,1106
2002,W02,1163
2014,Z13,1308
2009,W07,1400
1985,X16,1380
1986,Z13,1419
2002,Y01,1181
1989,X14,1283
2012,X16b,1436
2000,Y09,1387
1997,X04,1112
1998,Y16,1341
2006,Y15,1172
1994,Z05,1143
2008,W06,1328
2009,Z15,1169
2009,W14,1110
1998,W02,1163
2002,X04,1228
