playerid,yearid,round,teamid,lgid,w,l,g,gs,cg,sho,sv,ipouts,h,er,hr,bb,so,baopp,era,ibb,wp,hbp,bk,bfp,gf,r,sh,sf,gidp
riverbe01,1993,WS,PHI,NL,0,0,1,0,0,0,0,4,4,4,0,2,3,0.0,27.0,0.0,0.0,0.0,0.0,10.0,0,4,0.0,1.0,0.0
loopebr01,2003,NLDS1,FLO,NL,1,0,2,0,0,0,0,5,1,0,0,2,0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,1,1,1.0,0.0,0.0
wilsocj01,2011,ALDS2,TEX,AL,0,1,1,1,0,0,0,15,7,6,3,1,6,0.0,10.0,0.0,0.0,1.0,0.0,25.0,0,8,,,0.0
rootch01,1932,WS,CHN,NL,0,1,1,1,0,0,0,13,6,5,4,3,4,0.0,10.0,0.0,0.0,0.0,0.0,22.0,0,6,0.0,0.0,0.0
bonhati01,1943,WS,NYA,AL,0,1,1,1,0,0,0,24,6,4,2,3,9,0.0,4.0,0.0,0.0,0.0,0.0,33.0,0,4,1.0,0.0,0.0
maddugr01,1995,NLCS,ATL,NL,1,0,1,1,0,0,0,24,7,1,0,2,4,0.0,1.0,0.0,1.0,1.0,0.0,34.0,0,1,0.0,0.0,0.0
russeje01,1996,ALDS2,TEX,AL,0,0,2,0,0,0,0,9,3,1,0,0,1,0.0,3.0,0.0,0.0,0.0,0.0,11.0,0,1,0.0,0.0,0.0
williwo02,2004,NLDS1,SLN,NL,1,0,1,1,0,0,0,18,8,2,0,1,2,0.0,3.0,0.0,0.0,0.0,0.0,26.0,0,2,0.0,0.0,1.0
holmeda01,1999,NLDS2,ARI,NL,0,0,1,0,0,0,0,4,1,4,0,3,0,0.0,27.0,1.0,0.0,0.0,0.0,8.0,0,4,1.0,0.0,0.0
affelje01,2012,NLDS2,SFN,NL,0,0,3,0,0,0,0,11,3,0,0,1,2,0.0,0.0,1.0,0.0,1.0,,16.0,0,0,,,0.0
astacpe01,2005,NLDS1,SDN,NL,0,1,1,1,0,0,0,12,3,2,0,3,4,0.0,4.0,0.0,0.0,0.0,0.0,20.0,0,4,2.0,0.0,1.0
stanlbo01,1986,ALCS,BOS,AL,0,0,3,0,0,0,0,17,7,3,0,3,1,0.0,4.0,1.0,0.0,0.0,0.0,27.0,2,4,2.0,1.0,0.0
forstte01,1981,NLCS,LAN,NL,0,0,1,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0
jonnacl01,1924,WS,NY1,NL,0,0,1,0,0,0,0,0,0,0,0,1,0,,,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0
cranddo01,1913,WS,NY1,NL,0,0,2,0,0,0,0,14,4,2,1,0,2,0.0,3.0,0.0,0.0,0.0,0.0,17.0,1,2,0.0,0.0,0.0
sturdto01,1956,WS,NYA,AL,1,0,2,1,1,0,0,29,8,3,0,8,9,0.0,2.0,0.0,0.0,0.0,0.0,43.0,0,3,0.0,0.0,1.0
lahtije01,1985,NLCS,SLN,NL,1,0,2,0,0,0,0,6,2,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2,0,0.0,0.0,0.0
mahompa01,1999,NLDS2,NYN,NL,0,0,1,0,0,0,0,5,3,1,0,0,1,0.0,5.0,0.0,0.0,0.0,0.0,7.0,0,1,0.0,0.0,1.0
rogerke01,2006,ALCS,DET,AL,1,0,1,1,0,0,0,22,2,0,0,2,6,0.0,0.0,0.0,0.0,1.0,0.0,26.0,0,0,0.0,0.0,1.0
stantmi02,1998,WS,NYA,AL,0,0,1,0,0,0,0,2,3,2,0,0,1,0.0,27.0,0.0,0.0,0.0,0.0,5.0,0,2,0.0,0.0,0.0
glavito02,1995,WS,ATL,NL,2,0,2,2,0,0,0,42,4,2,1,6,11,0.0,1.0,0.0,1.0,0.0,0.0,52.0,0,2,0.0,0.0,0.0
kuzavbo01,1952,WS,NYA,AL,0,0,1,0,0,0,1,8,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1,0,0.0,0.0,0.0
cuppyni01,1892,CS,CL4,NL,0,1,1,1,1,0,0,24,6,1,1,4,1,,1.0,,,,,,0,4,,,
yanes01,2005,ALCS,LAA,AL,0,0,1,0,0,0,0,6,3,2,0,1,2,0.0,9.0,0.0,0.0,0.0,0.0,9.0,1,2,0.0,0.0,1.0
lemonbo01,1954,WS,CLE,AL,0,2,2,2,1,0,0,40,16,10,1,8,11,0.0,6.0,2.0,1.0,0.0,0.0,64.0,0,11,1.0,1.0,0.0
blantjo01,2008,NLDS2,PHI,NL,1,0,1,1,0,0,0,18,5,1,1,0,7,0.0,1.0,0.0,0.0,0.0,0.0,23.0,0,1,0.0,0.0,0.0
merckke01,1995,WS,ATL,NL,0,0,1,0,0,0,0,6,1,1,0,2,2,0.0,4.0,0.0,0.0,0.0,0.0,9.0,0,1,0.0,0.0,0.0
walkeja01,2006,ALDS1,DET,AL,1,0,3,0,0,0,0,11,3,2,2,1,1,0.0,4.0,0.0,0.0,0.0,0.0,14.0,2,2,0.0,0.0,1.0
reulbed01,1906,WS,CHN,NL,1,0,2,2,1,0,0,33,6,3,0,8,4,0.0,2.0,0.0,1.0,1.0,0.0,47.0,0,4,1.0,0.0,1.0
lackejo01,2002,WS,ANA,AL,1,0,3,2,0,0,0,37,15,6,0,5,7,0.0,4.0,4.0,0.0,0.0,0.0,54.0,0,6,0.0,2.0,2.0
mayru01,1981,AEDIV,NYA,AL,0,0,1,0,0,0,0,6,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1,0,0.0,0.0,0.0
riverma01,2000,ALDS1,NYA,AL,0,0,3,0,0,0,3,15,2,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3,0,0.0,0.0,0.0
lackejo01,2005,ALDS2,LAA,AL,0,0,2,2,0,0,0,34,7,3,0,9,9,0.0,2.0,0.0,2.0,0.0,0.0,49.0,0,3,1.0,0.0,1.0
bryancl01,1938,WS,CHN,NL,0,1,1,1,0,0,0,16,6,4,1,5,3,0.0,6.0,0.0,0.0,0.0,0.0,26.0,0,4,0.0,0.0,0.0
gumbeha01,1937,WS,NY1,NL,0,0,2,0,0,0,0,4,4,4,0,1,1,0.0,,1.0,0.0,0.0,0.0,10.0,0,4,0.0,0.0,0.0
mitrese01,2010,ALCS,NYA,AL,0,0,3,0,0,0,0,8,3,3,2,3,1,0.0,10.0,1.0,1.0,0.0,0.0,12.0,3,3,0.0,0.0,2.0
blylebe01,1970,ALCS,MIN,AL,0,0,1,0,0,0,0,6,2,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0,1,0.0,1.0,0.0
chipmbo01,1945,WS,CHN,NL,0,0,1,0,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,0.0,0.0
sainjo01,1952,WS,NYA,AL,0,1,1,0,0,0,0,18,6,2,0,3,3,0.0,3.0,2.0,0.0,1.0,0.0,28.0,1,2,1.0,0.0,1.0
eyresc01,2009,WS,PHI,NL,0,0,2,0,0,0,0,6,0,0,0,1,2,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0,0,0.0,0.0,0.0
pearsmo01,1936,WS,NYA,AL,1,0,1,1,1,0,0,27,7,2,0,2,7,0.0,2.0,0.0,0.0,0.0,0.0,35.0,0,2,0.0,0.0,0.0
holtzke01,1974,WS,OAK,AL,1,0,2,2,0,0,0,36,13,2,0,4,10,0.0,1.0,0.0,1.0,0.0,0.0,52.0,0,3,1.0,0.0,1.0
smoltjo01,1991,WS,ATL,NL,0,0,2,2,0,0,0,43,13,2,1,1,11,0.0,1.0,0.0,0.0,1.0,0.0,56.0,0,2,0.0,0.0,1.0
hudsojo02,1995,ALDS1,BOS,AL,0,0,1,0,0,0,0,3,2,0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,1,0,0.0,0.0,0.0
pettian01,2000,ALCS,NYA,AL,1,0,1,1,0,0,0,20,9,2,0,1,2,0.0,2.0,0.0,0.0,0.0,0.0,28.0,0,2,1.0,0.0,1.0
bondeje01,2006,ALDS1,DET,AL,1,0,1,1,0,0,0,25,5,2,0,1,4,0.0,2.0,0.0,0.0,0.0,0.0,31.0,0,2,0.0,0.0,0.0
earnsge01,1930,WS,PHA,AL,2,0,3,3,2,0,0,75,13,2,1,7,19,0.0,0.0,1.0,0.0,0.0,0.0,95.0,0,2,1.0,0.0,0.0
mcgratu01,1973,NLCS,NYN,NL,0,0,2,0,0,0,0,15,4,0,0,3,3,0.0,0.0,1.0,1.0,0.0,0.0,23.0,1,0,1.0,0.0,0.0
guidrro01,1977,ALCS,NYA,AL,1,0,2,2,1,0,0,34,9,5,0,3,8,0.0,3.0,0.0,0.0,0.0,0.0,45.0,0,5,0.0,1.0,0.0
wellsda01,1997,ALDS1,NYA,AL,1,0,1,1,1,0,0,27,5,1,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,33.0,0,1,0.0,0.0,0.0
leffecr01,1989,NLCS,SFN,NL,0,0,2,0,0,0,0,3,1,1,0,2,1,0.0,9.0,1.0,0.0,0.0,0.0,6.0,0,1,0.0,0.0,0.0
mailsdu01,1920,WS,CLE,AL,1,0,2,1,1,1,0,47,6,0,0,6,6,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0,0,2.0,0.0,1.0
fingero01,1981,AEDIV,ML4,AL,1,0,3,0,0,0,1,14,7,2,0,1,5,0.0,3.0,0.0,0.0,0.0,0.0,23.0,3,3,0.0,0.0,0.0
millwke01,1999,NLCS,ATL,NL,1,0,2,2,0,0,0,38,13,5,1,1,9,0.0,3.0,0.0,0.0,0.0,0.0,53.0,0,6,1.0,1.0,0.0
garcifr02,2005,ALDS1,CHA,AL,1,0,1,1,0,0,0,15,5,3,3,4,1,0.0,5.0,0.0,0.0,0.0,0.0,22.0,0,3,0.0,0.0,1.0
downial01,1964,WS,NYA,AL,0,1,3,1,0,0,0,23,9,7,2,2,5,0.0,,0.0,0.0,0.0,0.0,35.0,0,8,0.0,0.0,0.0
mungere01,1946,WS,SLN,NL,1,0,1,1,1,0,0,27,9,1,1,3,2,0.0,1.0,0.0,0.0,0.0,0.0,38.0,0,3,0.0,0.0,0.0
flanami01,1983,ALCS,BAL,AL,1,0,1,1,0,0,0,15,5,1,0,0,1,0.0,1.0,0.0,0.0,1.0,0.0,20.0,0,1,0.0,0.0,1.0
choatra01,2000,ALCS,NYA,AL,0,0,1,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0
johnto01,1981,WS,NYA,AL,1,0,3,2,0,0,0,39,11,1,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,51.0,1,1,1.0,1.0,0.0
grimsja01,1999,WS,NYA,AL,0,0,1,0,0,0,0,7,2,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0,0,0.0,0.0,1.0
stantmi02,1995,ALDS1,BOS,AL,0,0,1,0,0,0,0,7,1,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0,0,0.0,0.0,0.0
kingra01,2004,WS,SLN,NL,0,0,3,0,0,0,0,8,1,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0,0,0.0,0.0,1.0
kimby01,2001,WS,ARI,NL,0,1,2,0,0,0,0,10,6,5,3,1,6,0.0,13.0,0.0,0.0,0.0,0.0,17.0,1,5,0.0,0.0,0.0
carltst01,1980,NLCS,PHI,NL,1,0,2,2,0,0,0,37,11,3,0,8,6,0.0,2.0,1.0,0.0,0.0,0.0,54.0,0,3,1.0,1.0,1.0
bridgto01,1935,WS,DET,AL,2,0,2,2,2,0,0,54,18,5,1,4,9,0.0,2.0,0.0,0.0,0.0,0.0,74.0,0,6,0.0,0.0,3.0
mcclubo01,1982,ALCS,ML4,AL,1,0,1,0,0,0,0,5,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0,0,0.0,0.0,1.0
swindgr01,2001,WS,ARI,NL,0,0,3,0,0,0,0,8,1,0,0,1,2,0.0,0.0,0.0,1.0,0.0,0.0,10.0,2,0,0.0,0.0,0.0
fosteru01,1916,WS,BOS,AL,0,0,1,0,0,0,0,9,3,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1,0,0.0,0.0,0.0
nolanga01,1976,NLCS,CIN,NL,0,0,1,1,0,0,0,17,6,1,0,2,1,0.0,1.0,0.0,0.0,0.0,0.0,24.0,0,1,0.0,0.0,1.0
walldo01,1998,NLCS,SDN,NL,0,0,3,0,0,0,1,9,3,1,0,4,4,0.0,3.0,1.0,0.0,0.0,0.0,15.0,1,2,1.0,0.0,1.0
kisonbr01,1975,NLCS,PIT,NL,0,0,1,0,0,0,0,6,2,1,0,0,1,0.0,4.0,0.0,0.0,1.0,0.0,7.0,1,1,0.0,0.0,2.0
weaveje01,2006,NLDS2,SLN,NL,1,0,1,1,0,0,0,15,2,0,0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0,0,0.0,0.0,1.0
riverma01,2000,WS,NYA,AL,0,0,4,0,0,0,2,18,4,2,1,1,7,0.0,3.0,0.0,0.0,1.0,0.0,24.0,3,2,0.0,0.0,0.0
mclaide01,1968,WS,DET,AL,1,2,3,3,1,0,0,50,18,6,1,4,13,0.0,3.0,0.0,0.0,0.0,0.0,73.0,0,8,1.0,0.0,1.0
jacksed01,2011,WS,SLN,NL,0,1,1,1,0,0,0,16,3,3,0,7,3,0.0,5.0,0.0,0.0,0.0,0.0,25.0,0,3,,,0.0
keefeti01,1889,WS,NY1,NL,0,1,2,1,1,0,1,33,17,10,1,2,4,,8.0,,,,,,1,15,,,
gagneer01,2007,ALDS1,BOS,AL,0,0,1,0,0,0,0,3,1,1,0,0,1,0.0,9.0,0.0,1.0,0.0,0.0,4.0,1,1,0.0,1.0,0.0
tylerle01,1914,WS,BSN,NL,0,0,1,1,0,0,0,30,8,4,0,3,4,0.0,3.0,1.0,0.0,0.0,0.0,41.0,0,4,1.0,1.0,1.0
byrneto01,1957,WS,NYA,AL,0,0,2,0,0,0,0,10,1,2,1,2,1,0.0,5.0,0.0,0.0,1.0,0.0,13.0,1,2,0.0,0.0,1.0
maglisa01,1954,WS,NY1,NL,0,0,1,1,0,0,0,21,7,2,0,2,2,0.0,2.0,0.0,0.0,1.0,0.0,31.0,0,2,0.0,0.0,0.0
loeka01,2011,NLCS,MIL,NL,0,0,3,0,0,0,0,7,10,4,0,1,2,0.0,15.0,0.0,0.0,0.0,0.0,18.0,0,6,,,1.0
gurala01,1981,AWDIV,KCA,AL,0,1,1,1,0,0,0,11,7,3,1,3,3,0.0,7.0,0.0,0.0,0.0,0.0,20.0,0,4,0.0,0.0,0.0
bielemi01,1996,WS,ATL,NL,0,0,2,0,0,0,0,9,0,0,0,3,6,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1,0,0.0,0.0,0.0
tudorjo01,1988,NLCS,LAN,NL,0,0,1,1,0,0,0,15,8,4,2,1,1,0.0,7.0,0.0,0.0,0.0,0.0,24.0,0,4,0.0,0.0,0.0
lopezau01,1984,WS,DET,AL,1,0,2,0,0,0,0,9,1,0,0,1,4,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0,0,0.0,0.0,0.0
rodrifr03,2011,NLDS2,MIL,NL,0,0,2,0,0,0,0,6,2,0,0,3,4,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0,0,,,0.0
rapppa01,1999,ALCS,BOS,AL,0,0,1,0,0,0,0,3,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1,0,0.0,0.0,0.0
pettian01,1999,WS,NYA,AL,0,0,1,1,0,0,0,11,10,5,0,1,1,0.0,12.0,0.0,1.0,0.0,0.0,21.0,0,5,0.0,0.0,0.0
alvarwi01,2004,NLDS1,LAN,NL,0,1,2,0,0,0,0,10,4,4,1,0,4,0.0,10.0,0.0,0.0,0.0,0.0,14.0,0,4,0.0,0.0,0.0
wrighja02,1997,ALDS1,CLE,AL,2,0,2,2,0,0,0,34,11,5,0,7,10,0.0,3.0,1.0,0.0,0.0,0.0,51.0,0,6,0.0,1.0,2.0
tavarju01,1996,ALDS1,CLE,AL,0,0,2,0,0,0,0,4,1,0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2,0,0.0,0.0,0.0
gulledo01,1975,WS,CIN,NL,1,1,3,3,0,0,0,56,19,9,0,10,15,0.0,4.0,2.0,1.0,0.0,0.0,83.0,0,9,2.0,1.0,0.0
ledezwi01,2006,ALCS,DET,AL,1,0,2,0,0,0,0,8,2,1,1,1,1,0.0,3.0,0.0,0.0,0.0,0.0,11.0,1,1,0.0,0.0,0.0
morrija02,1992,ALCS,TOR,AL,0,1,2,2,1,0,0,37,11,9,3,9,6,0.0,6.0,1.0,1.0,0.0,0.0,55.0,0,9,1.0,1.0,4.0
malonpa02,1936,WS,NYA,AL,0,1,2,0,0,0,1,15,2,1,0,1,2,0.0,1.0,0.0,0.0,0.0,0.0,17.0,2,1,1.0,0.0,1.0
fernasi01,1986,NLCS,NYN,NL,0,1,1,1,0,0,0,18,3,3,2,1,5,0.0,4.0,0.0,0.0,0.0,0.0,22.0,0,3,0.0,0.0,0.0
berenju01,1987,WS,MIN,AL,0,1,3,0,0,0,0,13,10,5,0,0,1,0.0,10.0,0.0,0.0,0.0,0.0,22.0,0,5,1.0,0.0,1.0
cormirh01,1999,ALCS,BOS,AL,0,0,4,0,0,0,0,11,3,0,0,3,4,0.0,0.0,1.0,0.0,0.0,0.0,18.0,1,0,0.0,0.0,0.0
maglisa01,1951,WS,NY1,NL,0,1,1,1,0,0,0,15,8,4,1,2,3,0.0,7.0,0.0,0.0,0.0,0.0,24.0,0,4,0.0,0.0,0.0
houttar01,1954,WS,CLE,AL,0,0,1,0,0,0,0,6,2,1,0,1,1,0.0,4.0,1.0,0.0,0.0,0.0,9.0,0,1,0.0,0.0,0.0
troutdi01,1940,WS,DET,AL,0,1,1,1,0,0,0,6,6,2,0,1,1,0.0,9.0,0.0,0.0,0.0,0.0,14.0,0,3,0.0,0.0,0.0
