playerid,yearid,stint,teamid,lgid,g,g_batting,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,gidp,g_old
maholpa01,2006,1,PIT,NL,30,28.0,55.0,3.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,31.0,0.0,0.0,1.0,0.0,2.0,30.0
floribr01,2001,1,BOS,AL,7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
arroybr01,2001,1,PIT,NL,24,23.0,21.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,1.0,0.0,23.0
lazzeto01,1939,1,BRO,NL,14,14.0,39.0,6.0,11.0,2.0,0.0,3.0,6.0,1.0,,10.0,7.0,,2.0,0.0,,1.0,14.0
mcmilto01,1909,1,BRO,NL,108,108.0,373.0,18.0,79.0,15.0,1.0,0.0,24.0,11.0,,20.0,,,1.0,6.0,,,108.0
doranbi02,1989,1,HOU,NL,142,142.0,507.0,65.0,111.0,25.0,2.0,8.0,58.0,22.0,3.0,59.0,63.0,2.0,2.0,3.0,3.0,8.0,142.0
lerscba01,1974,1,SLN,NL,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
dotsori01,1989,2,CHA,AL,17,0.0,,,,,,,,,,,,,,,,,17.0
watkipa01,1999,1,COL,NL,16,16.0,19.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,0.0,1.0,16.0
wagnele01,1966,1,CLE,AL,150,150.0,549.0,70.0,153.0,20.0,0.0,23.0,66.0,5.0,2.0,46.0,69.0,9.0,1.0,0.0,3.0,12.0,150.0
wendetu01,2001,2,PHI,NL,21,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
haefnmi01,1950,2,BSN,NL,8,8.0,7.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,,1.0,8.0
gallawi01,1896,1,PHI,NL,14,14.0,49.0,9.0,15.0,2.0,0.0,0.0,6.0,0.0,,10.0,0.0,,1.0,1.0,,,14.0
knudsma01,1989,1,ML4,AL,40,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
heathje01,1949,1,BSN,NL,36,36.0,111.0,17.0,34.0,7.0,0.0,9.0,23.0,0.0,,15.0,26.0,,0.0,0.0,,2.0,36.0
heganji01,1956,1,CLE,AL,122,122.0,315.0,42.0,70.0,15.0,2.0,6.0,34.0,1.0,1.0,49.0,54.0,6.0,0.0,4.0,0.0,8.0,122.0
bartedi01,1933,1,PHI,NL,152,152.0,587.0,78.0,159.0,25.0,5.0,1.0,37.0,6.0,,56.0,46.0,,5.0,37.0,,8.0,152.0
quallch01,2007,1,HOU,NL,79,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
loeka01,2011,1,MIL,NL,69,69.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,69.0
scarbra01,1953,2,DET,AL,13,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,13.0
murrare01,1914,1,NY1,NL,86,86.0,139.0,19.0,31.0,6.0,3.0,0.0,23.0,11.0,,9.0,7.0,,0.0,7.0,,,86.0
gardnma01,1994,1,FLO,NL,20,20.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,4.0,0.0,0.0,20.0
quirogu01,2004,1,TOR,AL,17,17.0,52.0,2.0,11.0,2.0,0.0,0.0,6.0,1.0,0.0,2.0,8.0,0.0,2.0,0.0,1.0,1.0,17.0
corcoto01,1907,1,NY1,NL,62,62.0,226.0,21.0,60.0,9.0,2.0,0.0,24.0,9.0,,7.0,,,0.0,7.0,,,62.0
rogerst01,1982,1,MON,NL,35,35.0,85.0,3.0,11.0,1.0,0.0,0.0,4.0,0.0,1.0,11.0,32.0,0.0,0.0,12.0,0.0,0.0,35.0
bynumfr01,2005,1,OAK,AL,7,7.0,7.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0
torremi01,1978,1,BOS,AL,36,0.0,,,,,,,,,,,,,,,,,36.0
weimeja01,1903,1,CHN,NL,35,35.0,107.0,10.0,21.0,4.0,0.0,0.0,6.0,0.0,,9.0,,,1.0,1.0,,,35.0
lancale01,1988,1,CHN,NL,44,44.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,3.0,0.0,0.0,44.0
forscbo01,1977,1,SLN,NL,35,35.0,72.0,6.0,12.0,4.0,0.0,0.0,4.0,0.0,0.0,2.0,29.0,0.0,0.0,12.0,0.0,0.0,35.0
selbybi01,2003,1,CLE,AL,27,27.0,39.0,3.0,4.0,1.0,0.0,0.0,5.0,0.0,0.0,3.0,11.0,0.0,0.0,1.0,1.0,0.0,27.0
spiezed01,1966,1,SLN,NL,26,26.0,73.0,4.0,16.0,5.0,1.0,2.0,10.0,1.0,0.0,5.0,11.0,1.0,0.0,1.0,0.0,5.0,26.0
chrisma01,1943,1,SLA,AL,98,98.0,336.0,31.0,91.0,11.0,5.0,2.0,35.0,0.0,3.0,19.0,19.0,,4.0,5.0,,5.0,98.0
mannija01,1886,1,BL2,AA,137,137.0,556.0,78.0,124.0,18.0,7.0,1.0,45.0,24.0,,50.0,,,3.0,,,,137.0
parkssl01,1921,1,DET,AL,10,10.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,1.0,,,10.0
