playerid,yearid,gamenum,gameid,teamid,lgid,gp,startingpos
evereca01,2000,0,NLS200007110,BOS,AL,1.0,7.0
greenmi01,1988,0,NLS198807120,BOS,AL,1.0,
niekrph01,1969,0,ALS196907230,ATL,NL,1.0,
robinja02,1949,0,NLS194907120,BRO,NL,1.0,4.0
benchjo01,1975,0,ALS197507150,CIN,NL,1.0,2.0
gonzalu01,2001,0,ALS200107100,ARI,NL,1.0,8.0
smithoz01,1981,0,ALS198108090,SDN,NL,1.0,
brookhu01,1987,0,ALS198707140,MON,NL,1.0,
cainma01,2009,0,NLS200907140,SFN,NL,0.0,
mizejo01,1940,0,NLS194007090,SLN,NL,1.0,3.0
bluevi01,1978,0,NLS197807110,SFN,NL,1.0,1.0
lemonbo01,1950,0,ALS195007110,CLE,AL,1.0,
heganji01,1949,0,NLS194907120,CLE,AL,0.0,
brocklo01,1974,0,NLS197407230,SLN,NL,1.0,
yountro01,1983,0,ALS198307060,ML4,AL,1.0,6.0
callijo01,1962,2,NLS196207300,PHI,NL,1.0,
mayswi01,1960,1,ALS196007110,SFN,NL,1.0,8.0
hernake01,1979,0,ALS197907170,SLN,NL,1.0,
mizejo01,1953,0,NLS195307140,NYA,AL,1.0,
whitsed01,1980,0,NLS198007080,SFN,NL,0.0,
madlobi01,1983,0,ALS198307060,PIT,NL,1.0,
carrach01,1955,0,NLS195507120,CHA,AL,1.0,
casege01,1939,0,ALS193907110,WS1,AL,0.0,
smoltjo01,1996,0,NLS199607090,ATL,NL,1.0,1.0
alomaro01,1995,0,ALS199507110,TOR,AL,1.0,
henderi01,1982,0,NLS198207130,OAK,AL,1.0,7.0
sanchfr01,2009,0,NLS200907140,PIT,NL,0.0,
stargwi01,1973,0,ALS197307240,PIT,NL,1.0,
whitesa02,1953,0,NLS195307140,BOS,AL,0.0,
youklke01,2008,0,ALS200807150,BOS,AL,1.0,3.0
musiast01,1960,2,ALS196007130,SLN,NL,1.0,
hartnga01,1934,0,NLS193407100,CHN,NL,1.0,2.0
vaughmo01,1995,0,ALS199507110,BOS,AL,1.0,
martipe02,2005,0,ALS200507120,NYN,NL,0.0,
chapmbe01,1933,0,ALS193307060,NYA,AL,1.0,7.0
leebi03,1973,0,ALS197307240,BOS,AL,0.0,
dimagjo01,1937,0,ALS193707070,NYA,AL,1.0,9.0
hamptmi01,2001,0,ALS200107100,COL,NL,1.0,
slaugen01,1950,0,ALS195007110,SLN,NL,1.0,8.0
pafkoan01,1950,0,ALS195007110,CHN,NL,1.0,
ethiean01,2011,0,NLS201107120,LAN,NL,1.0,
bonesri01,1994,0,NLS199407120,ML4,AL,0.0,
larocda01,1976,0,NLS197607130,CLE,AL,0.0,
zitoba01,2006,0,NLS200607110,OAK,AL,1.0,
vealebo01,1966,0,NLS196607120,PIT,NL,0.0,
willite01,1947,0,NLS194707080,BOS,AL,1.0,7.0
hayesvo01,1989,0,ALS198907110,PHI,NL,1.0,
henderi01,1984,0,NLS198407100,OAK,AL,1.0,
ripkeca01,2001,0,ALS200107100,BAL,AL,1.0,6.0
miltoer01,2001,0,ALS200107100,MIN,AL,0.0,
pagejo01,1947,0,NLS194707080,NYA,AL,1.0,
cabremi01,2007,0,NLS200707100,FLO,NL,1.0,
spahnwa01,1956,0,ALS195607100,ML1,NL,1.0,
anderbr01,1992,0,NLS199207140,BAL,AL,1.0,
batisto01,2002,0,NLS200207090,BAL,AL,1.0,
ortajo01,1975,0,ALS197507150,CHA,AL,0.0,
hoffmtr01,2009,0,NLS200907140,MIL,NL,1.0,
hudsoor01,2009,0,NLS200907140,LAN,NL,1.0,
reynoal01,1949,0,NLS194907120,NYA,AL,0.0,
kessido01,1968,0,NLS196807090,CHN,NL,1.0,6.0
yastrca01,1968,0,NLS196807090,BOS,AL,1.0,8.0
musiast01,1958,0,ALS195807080,SLN,NL,1.0,3.0
derripa01,1940,0,NLS194007090,CIN,NL,1.0,1.0
grimbo01,1957,0,NLS195707090,NYA,AL,1.0,
mclisca01,1959,2,NLS195908030,CLE,AL,1.0,
mileywa01,2012,0,ALS201207100,ARI,NL,1.0,
carewro01,1980,0,NLS198007080,CAL,AL,1.0,3.0
cartega01,1985,0,ALS198507160,NYN,NL,0.0,
piercbi02,1957,0,NLS195707090,CHA,AL,1.0,
strawda01,1991,0,ALS199107090,LAN,NL,0.0,
brettge01,1976,0,NLS197607130,KCA,AL,1.0,5.0
burgesm01,1959,2,NLS195908030,PIT,NL,1.0,
benchjo01,1969,0,ALS196907230,CIN,NL,1.0,2.0
remlimi01,2002,0,NLS200207090,ATL,NL,1.0,
willsma01,1961,1,NLS196107110,LAN,NL,1.0,6.0
bonilbo01,1993,0,ALS199307130,NYN,NL,1.0,
fellebo01,1940,0,NLS194007090,CLE,AL,1.0,
arnovmo01,1939,0,ALS193907110,PHI,NL,0.0,
lopezal01,1934,0,NLS193407100,BRO,NL,1.0,
fossera01,1970,0,NLS197007140,CLE,AL,1.0,
versazo01,1965,0,ALS196507130,MIN,AL,1.0,
stargwi01,1965,0,ALS196507130,PIT,NL,1.0,7.0
simmote01,1983,0,ALS198307060,ML4,AL,1.0,2.0
coscape01,1940,0,NLS194007090,BRO,NL,1.0,
maybejo01,1973,0,ALS197307240,KCA,AL,1.0,3.0
berrayo01,1950,0,ALS195007110,NYA,AL,1.0,2.0
rizzuph01,1951,0,ALS195107100,NYA,AL,1.0,
traynpi01,1934,0,NLS193407100,PIT,NL,1.0,5.0
skinnbo01,1960,1,ALS196007110,PIT,NL,1.0,7.0
cappsma01,2010,0,ALS201007130,WAS,NL,1.0,
hershor01,1988,0,NLS198807120,LAN,NL,1.0,
puckeki01,1986,0,NLS198607150,MIN,AL,1.0,8.0
aparilu01,1963,0,ALS196307090,BAL,AL,1.0,
batteea01,1962,2,NLS196207300,MIN,AL,1.0,2.0
kuennha01,1959,2,NLS195908030,DET,AL,0.0,
renteed01,1998,0,NLS199807070,FLO,NL,1.0,
fordwh01,1961,1,NLS196107110,NYA,AL,1.0,1.0
smithed04,1941,0,ALS194107080,CHA,AL,1.0,
jayjo01,1961,1,NLS196107110,CIN,NL,0.0,
beltrca01,2011,0,NLS201107120,NYN,NL,1.0,0.0
gonzaad01,2011,0,NLS201107120,BOS,AL,1.0,3.0
hundlra01,1969,0,ALS196907230,CHN,NL,1.0,
grandcu01,2011,0,NLS201107120,NYA,AL,1.0,8.0
bakerge02,1955,0,NLS195507120,CHN,NL,1.0,
rhoderi01,1976,0,NLS197607130,LAN,NL,1.0,
lillyte01,2004,0,NLS200407130,TOR,AL,1.0,
matheed01,1959,2,NLS195908030,ML1,NL,1.0,
larkiba01,1996,0,NLS199607090,CIN,NL,1.0,6.0
pafkoan01,1945,0,,CHN,NL,0.0,
simmote01,1978,0,NLS197807110,SLN,NL,1.0,2.0
jurgebi01,1939,0,ALS193907110,NY1,NL,0.0,
decindo01,1983,0,ALS198307060,CAL,AL,1.0,
abreubo01,2005,0,ALS200507120,PHI,NL,1.0,9.0
edwarjo01,1963,0,ALS196307090,CIN,NL,1.0,
holmeto01,1945,0,,BSN,NL,0.0,
caminke01,1996,0,NLS199607090,SDN,NL,1.0,
wynegbu01,1977,0,ALS197707190,MIN,AL,1.0,
ryanbj01,2006,0,NLS200607110,TOR,AL,1.0,
caseyse01,1999,0,ALS199907130,CIN,NL,1.0,
bondsba01,1997,0,ALS199707080,SFN,NL,1.0,7.0
alomaro01,1990,0,NLS199007100,SDN,NL,1.0,
dimagjo01,1942,0,NLS194207060,NYA,AL,1.0,8.0
reynoal01,1953,0,NLS195307140,NYA,AL,1.0,
eckerde01,1992,0,NLS199207140,OAK,AL,1.0,
raffeke01,1944,0,NLS194407110,PHI,NL,1.0,
corbedo01,1981,0,ALS198108090,MIN,AL,0.0,
facero01,1959,2,NLS195908030,PIT,NL,1.0,
larkiba01,1988,0,NLS198807120,CIN,NL,1.0,
galaran01,1988,0,NLS198807120,MON,NL,1.0,
yastrca01,1965,0,ALS196507130,BOS,AL,0.0,
reardje01,1988,0,NLS198807120,MIN,AL,0.0,
konerpa01,2011,0,NLS201107120,CHA,AL,1.0,
wiseri01,1971,0,ALS197107130,PHI,NL,0.0,
robinbr01,1968,0,NLS196807090,BAL,AL,1.0,5.0
fuentbr01,2005,0,ALS200507120,COL,NL,0.0,
boggswa01,1985,0,ALS198507160,BOS,AL,1.0,
stephve01,1943,0,ALS194307130,SLA,AL,1.0,6.0
gumpera01,1951,0,ALS195107100,CHA,AL,0.0,
barrere01,1945,0,,SLN,NL,0.0,
maricju01,1971,0,ALS197107130,SFN,NL,1.0,
rolfere01,1938,0,NLS193807060,NYA,AL,0.0,
baineha01,1999,0,ALS199907130,BAL,AL,1.0,
palmera01,1991,0,ALS199107090,TEX,AL,1.0,
riosal01,2007,0,NLS200707100,TOR,AL,1.0,
piazzmi01,2004,0,NLS200407130,NYN,NL,1.0,2.0
malzofr01,1963,0,ALS196307090,BOS,AL,1.0,5.0
jenkife01,1971,0,ALS197107130,CHN,NL,1.0,
gwynnto01,1994,0,NLS199407120,SDN,NL,1.0,8.0
powervi01,1959,2,NLS195908030,CLE,AL,1.0,
willite01,1950,0,ALS195007110,BOS,AL,1.0,7.0
selkige01,1936,0,NLS193607070,NYA,AL,1.0,
hubbagl01,1983,0,ALS198307060,ATL,NL,1.0,
mccormi03,1960,2,ALS196007130,SFN,NL,0.0,
roberbi01,1992,0,NLS199207140,CIN,NL,1.0,
otisam01,1976,0,NLS197607130,KCA,AL,1.0,
bergewa01,1934,0,NLS193407100,BSN,NL,1.0,8.0
murraed02,1978,0,NLS197807110,BAL,AL,0.0,
radatdi01,1963,0,ALS196307090,BOS,AL,1.0,
strawda01,1986,0,NLS198607150,NYN,NL,1.0,9.0
haddiha01,1953,0,NLS195307140,SLN,NL,0.0,
mosesje01,1970,0,NLS197007140,BOS,AL,0.0,
rogerke01,2004,0,NLS200407130,TEX,AL,0.0,
heganji01,1952,0,NLS195207080,CLE,AL,0.0,
bridgto01,1936,0,NLS193607070,DET,AL,0.0,
cashno01,1971,0,ALS197107130,DET,AL,1.0,3.0
podrejo01,1960,2,ALS196007130,LAN,NL,1.0,
kalinal01,1956,0,ALS195607100,DET,AL,1.0,9.0
roberbr01,2007,0,NLS200707100,BAL,AL,1.0,
mclaide01,1968,0,NLS196807090,DET,AL,1.0,
carmofa01,2010,0,ALS201007130,CLE,AL,0.0,
vaughmo01,1996,0,NLS199607090,BOS,AL,1.0,3.0
barbest01,1963,0,ALS196307090,BAL,AL,0.0,
carewro01,1973,0,ALS197307240,MIN,AL,1.0,4.0
posadjo01,2002,0,NLS200207090,NYA,AL,1.0,2.0
plesada01,1989,0,ALS198907110,ML4,AL,1.0,
howarel01,1962,1,ALS196207100,NYA,AL,0.0,
purkebo01,1962,2,NLS196207300,CIN,NL,0.0,
dobyla01,1950,0,ALS195007110,CLE,AL,1.0,8.0
berrayo01,1960,1,ALS196007110,NYA,AL,1.0,2.0
dickebi01,1933,0,ALS193307060,NYA,AL,0.0,
alleyge01,1968,0,NLS196807090,PIT,NL,0.0,
leppedo02,1963,0,ALS196307090,WS2,AL,0.0,
odombl01,1968,0,NLS196807090,OAK,AL,1.0,
lillyte01,2009,0,NLS200907140,CHN,NL,0.0,
murcebo01,1971,0,ALS197107130,NYA,AL,1.0,8.0
pencehu01,2011,0,NLS201107120,HOU,NL,1.0,
jonesch06,2000,0,NLS200007110,ATL,NL,1.0,5.0
smithre06,1977,0,ALS197707190,LAN,NL,1.0,
wrighda03,2008,0,ALS200807150,NYN,NL,1.0,
killeha01,1969,0,ALS196907230,MIN,AL,1.0,
alomasa02,1997,0,ALS199707080,CLE,AL,1.0,
rosenal01,1955,0,NLS195507120,CLE,AL,1.0,
rosebjo01,1969,0,ALS196907230,MIN,AL,1.0,
heganmi01,1969,0,ALS196907230,SE1,AL,0.0,
rignebi01,1948,0,ALS194807130,NY1,NL,1.0,
hartji01,1966,0,NLS196607120,SFN,NL,1.0,
allisbo01,1959,2,NLS195908030,WS1,AL,0.0,
wallati01,1989,0,ALS198907110,MON,NL,1.0,
freehbi01,1970,0,NLS197007140,DET,AL,1.0,2.0
higgipi01,1936,0,NLS193607070,PHA,AL,1.0,5.0
brownke01,1997,0,ALS199707080,FLO,NL,1.0,
lynnfr01,1975,0,ALS197507150,BOS,AL,1.0,
bumbral01,1980,0,NLS198007080,BAL,AL,1.0,
fordwh01,1964,0,NLS196407070,NYA,AL,0.0,
chapmar01,2012,0,ALS201207100,CIN,NL,1.0,
gilesma01,2003,0,ALS200307150,ATL,NL,0.0,
thomsbo01,1949,0,NLS194907120,NY1,NL,1.0,
smithoz01,1987,0,ALS198707140,SLN,NL,1.0,6.0
piercbi02,1961,1,NLS196107110,CHA,AL,0.0,
sanguma01,1971,0,ALS197107130,PIT,NL,0.0,
willite01,1948,0,ALS194807130,BOS,AL,1.0,
youngmi02,2011,0,NLS201107120,TEX,AL,1.0,
bicheda01,1994,0,NLS199407120,COL,NL,1.0,
hintoch01,1964,0,NLS196407070,WS2,AL,1.0,
clancji01,1982,0,NLS198207130,TOR,AL,1.0,
strawda01,1987,0,ALS198707140,NYN,NL,1.0,9.0
thomeji01,1997,0,ALS199707080,CLE,AL,1.0,
coopece01,1982,0,NLS198207130,ML4,AL,1.0,3.0
dempsry01,2008,0,ALS200807150,CHN,NL,1.0,
radkebr01,1998,0,NLS199807070,MIN,AL,1.0,
stirnsn01,1946,0,ALS194607090,NYA,AL,1.0,
kubekto01,1958,0,ALS195807080,NYA,AL,0.0,
thomeji01,1998,0,NLS199807070,CLE,AL,1.0,3.0
valenel01,1977,0,ALS197707190,MON,NL,1.0,
nealch01,1959,2,NLS195908030,LAN,NL,1.0,
beltrca01,2007,0,NLS200707100,NYN,NL,1.0,8.0
thomale03,1962,2,NLS196207300,LAA,AL,1.0,
matheed01,1957,0,NLS195707090,ML1,NL,1.0,
smithda02,1986,0,NLS198607150,HOU,NL,0.0,
brocklo01,1972,0,NLS197207250,SLN,NL,0.0,
guarded01,2002,0,NLS200207090,MIN,AL,1.0,
watsobo01,1975,0,ALS197507150,HOU,NL,1.0,
lemonbo01,1948,0,ALS194807130,CLE,AL,0.0,
thomale03,1962,1,ALS196207100,LAA,AL,1.0,
carltst01,1982,0,NLS198207130,PHI,NL,1.0,
suttebr01,1978,0,NLS197807110,CHN,NL,1.0,
litwhda01,1942,0,NLS194207060,PHI,NL,1.0,
benesan01,1993,0,ALS199307130,SDN,NL,1.0,
thomago01,1981,0,ALS198108090,ML4,AL,1.0,
mackra01,1940,0,NLS194007090,CLE,AL,1.0,
gossari01,1976,0,NLS197607130,CHA,AL,0.0,
rojasco01,1973,0,ALS197307240,KCA,AL,1.0,
benchjo01,1968,0,NLS196807090,CIN,NL,1.0,
siebeno01,1962,2,NLS196207300,KC1,AL,0.0,
hamiljo03,2009,0,NLS200907140,TEX,AL,1.0,8.0
hoernjo01,1970,0,NLS197007140,PHI,NL,0.0,
hutchfr01,1951,0,ALS195107100,DET,AL,1.0,
berrayo01,1955,0,NLS195507120,NYA,AL,1.0,2.0
maddugr01,1988,0,NLS198807120,CHN,NL,0.0,
warnelo01,1934,0,NLS193407100,CHN,NL,1.0,
hudsosi01,1941,0,ALS194107080,WS1,AL,1.0,
