playerid,awardid,yearid,lgid,tie,notes
smithoz01,TSN All-Star,1986,NL,,SS
hartnga01,TSN All-Star,1937,ML,,C
careyma01,Baseball Magazine All-Star,1925,NL,,CF
musiast01,TSN All-Star,1948,ML,,OF
rodrial01,Silver Slugger,2001,AL,,SS
luquedo01,Baseball Magazine All-Star,1923,ML,,P2
deandi01,Most Valuable Player,1934,NL,,
gehrilo01,Baseball Magazine All-Star,1931,ML,,1B
richabo01,TSN All-Star,1963,AL,,2B
riverma01,World Series MVP,1999,ML,,
niekrph01,Gold Glove,1983,NL,,P
cuellmi01,Cy Young Award,1969,AL,Y,
willibi01,TSN All-Star,1970,NL,,OF
posadjo01,Silver Slugger,2000,AL,,C
canoro01,Gold Glove,2012,AL,,2B
spencst01,Baseball Magazine All-Star,1944,AL,,CF
ziskri01,TSN All-Star,1981,AL,,DH
jeterde01,Silver Slugger,2009,AL,,SS
rosepe01,Lou Gehrig Memorial Award,1969,ML,,
gaettga01,Silver Slugger,1995,AL,,3B
boyerke01,TSN Major League Player of the Year,1964,ML,,
fisheed02,TSN Fireman of the Year,1965,AL,,
lordha01,Baseball Magazine All-Star,1909,ML,,3B
robinbr01,Gold Glove,1972,AL,,3B
boggswa01,Silver Slugger,1991,AL,,3B
johnswa01,Pitching Triple Crown,1924,AL,,
wallati01,TSN All-Star,1985,NL,,3B
grimebu01,Baseball Magazine All-Star,1921,NL,,P1
spahnwa01,TSN Pitcher of the Year,1961,NL,,
mazerbi01,Gold Glove,1958,NL,,2B
jonesto02,TSN Fireman of the Year,2000,AL,,
vanceda01,Baseball Magazine All-Star,1925,ML,,P2
mcdanli01,TSN Fireman of the Year,1963,NL,,
rodriiv01,Most Valuable Player,1999,AL,,
wagnele01,All-Star Game MVP,1962,ML,,1st Game
spahnwa01,Baseball Magazine All-Star,1950,NL,,P1
mizejo01,Baseball Magazine All-Star,1942,ML,,1B
smoltjo01,Silver Slugger,1997,NL,,P
colemvi01,Rookie of the Year,1985,NL,,
parrila02,Silver Slugger,1990,AL,,C
zimmehe01,Baseball Magazine All-Star,1913,NL,,3B
caminke01,Gold Glove,1995,NL,,3B
guerrpe01,TSN All-Star,1982,NL,,OF
whitefr01,ALCS MVP,1980,AL,,
parkeda01,All-Star Game MVP,1979,ML,,
salmoti01,TSN All-Star,1995,AL,,OF
traynpi01,Baseball Magazine All-Star,1929,ML,,3B
applilu01,Baseball Magazine All-Star,1936,AL,,SS
johnsra05,TSN All-Star,1995,AL,,LHP
maisefr01,Baseball Magazine All-Star,1915,AL,,3B
grovele01,TSN All-Star,1932,ML,,P
winebo01,Gold Glove,1963,NL,,SS
maranra01,Baseball Magazine All-Star,1920,ML,,SS
mccovwi01,TSN Player of the Year,1969,NL,,
jonesan01,Gold Glove,2000,NL,,OF
geronce01,Gold Glove,1976,NL,,OF
foxxji01,TSN All-Star,1929,ML,,1B
greenha01,TSN Guide MVP,1940,AL,,
speaktr01,Baseball Magazine All-Star,1923,ML,,OF
coopemo01,Most Valuable Player,1942,NL,,
eckerde01,Cy Young Award,1992,AL,,
pettiga01,Gold Glove,1988,AL,,OF
papeljo01,Babe Ruth Award,2007,AL,,P
hartnga01,Baseball Magazine All-Star,1935,NL,,C
slaugen01,Baseball Magazine All-Star,1941,NL,,RF
mcnalda01,TSN All-Star,1968,AL,,P
fostege01,Most Valuable Player,1977,NL,,
antonjo02,TSN All-Star,1954,ML,,P
murraed02,TSN All-Star,1990,NL,,1B
bancrda01,Baseball Magazine All-Star,1926,NL,,SS
rodriiv01,NLCS MVP,2003,NL,,
friscfr01,Baseball Magazine All-Star,1921,NL,,3B
chambch01,TSN All-Star,1976,AL,,1B
tebbebi01,TSN All-Star,1948,ML,,C
smoltjo01,TSN Pitcher of the Year,1996,NL,,
carltst01,TSN Pitcher of the Year,1980,NL,,
murphdw01,Gold Glove,1980,AL,,OF
ramirma02,TSN All-Star,2004,AL,,OF
aparilu01,TSN All-Star,1972,AL,,SS
glavito02,TSN All-Star,1992,NL,,LHP
dawsoan01,Rookie of the Year,1977,NL,,
chancfr01,Baseball Magazine All-Star,1909,NL,,1B
baylodo01,Most Valuable Player,1979,AL,,
evansdw01,Gold Glove,1985,AL,Y,OF
davisjo02,Gold Glove,1986,NL,,C
maricju01,TSN All-Star,1963,NL,,P
munsoth01,Gold Glove,1974,AL,,C
jenkife01,TSN All-Star,1967,NL,,P
ottme01,Baseball Magazine All-Star,1938,NL,,CF
edwarbr01,Baseball Magazine All-Star,1947,NL,,C
jacksre01,TSN All-Star,1980,AL,,OF
nettlgr01,ALCS MVP,1981,AL,,
benchjo01,Hutch Award,1981,ML,,
terrybi01,Baseball Magazine All-Star,1935,NL,,1B
musiast01,TSN Guide MVP,1943,NL,,
lonboji01,Cy Young Award,1967,AL,,
alomaro01,Gold Glove,2000,AL,,2B
kalinal01,TSN All-Star,1955,ML,,OF
valvejo01,TSN All-Star,2007,NL,,RP
hornsro01,Baseball Magazine All-Star,1926,ML,,2B
eversjo01,Baseball Magazine All-Star,1912,NL,,2B
tiantlu01,Babe Ruth Award,1975,AL,,P
wettejo01,World Series MVP,1996,ML,,
koufasa01,TSN Major League Player of the Year,1965,ML,,
carewro01,TSN All-Star,1975,AL,,2B
whitebi03,TSN All-Star,1964,NL,,1B
ordonma01,Silver Slugger,2000,AL,,OF
peskyjo01,TSN All-Star,1946,ML,,SS
carewro01,TSN All-Star,1972,AL,,2B
oliveal01,TSN All-Star,1982,NL,,1B
eckstda01,Babe Ruth Award,2006,AL,,SS
mcdougi01,Lou Gehrig Memorial Award,1958,ML,,
clemero02,TSN Pitcher of the Year,1986,AL,,
hernake01,TSN All-Star,1986,NL,,1B
penato01,Gold Glove,1984,NL,,C
edmonji01,Gold Glove,1997,AL,,OF
smithoz01,TSN All-Star,1982,NL,,SS
victosh01,Lou Gehrig Memorial Award,2008,ML,,
grovele01,Baseball Magazine All-Star,1931,AL,,P1
cobbty01,Baseball Magazine All-Star,1914,AL,,OF
groatdi01,Most Valuable Player,1960,NL,,
hrbekke01,Lou Gehrig Memorial Award,1991,ML,,
bancrda01,Baseball Magazine All-Star,1923,ML,,SS
