playerid,yearid,stint,glf,gcf,grf
campbso01,1941,1,20.0,59.0,0.0
huntdi01,1872,1,0.0,0.0,8.0
obriera01,1916,1,7.0,0.0,7.0
mullige01,1902,1,0.0,1.0,3.0
demarfr02,1940,1,9.0,74.0,37.0
lynchto01,1885,1,9.0,4.0,0.0
sutthja01,1901,1,0.0,1.0,0.0
paborch01,1872,1,19.0,0.0,1.0
groombo01,1909,1,0.0,0.0,0.0
lenhado01,1952,2,43.0,0.0,0.0
grubehe01,1891,1,0.0,1.0,1.0
laabsch01,1939,2,3.0,70.0,6.0
shellfr01,1918,1,0.0,0.0,1.0
chesbja01,1900,1,0.0,0.0,1.0
klingjo01,1906,1,0.0,0.0,3.0
dyered01,1924,1,0.0,1.0,0.0
wilhojo01,1919,1,0.0,0.0,5.0
hendrti01,1915,1,0.0,12.0,0.0
hanlone01,1884,1,0.0,114.0,0.0
kirkpen01,1914,1,2.0,0.0,1.0
hoffmhi01,1879,1,0.0,0.0,1.0
wolfji01,1883,1,0.0,1.0,77.0
ennisde01,1952,1,120.0,0.0,31.0
radcljo01,1874,1,0.0,1.0,14.0
highadi01,1874,1,0.0,3.0,31.0
westsa01,1937,1,0.0,105.0,0.0
dyckji01,1953,1,32.0,19.0,8.0
welajjo01,1939,1,13.0,17.0,26.0
twitcla01,1894,1,51.0,0.0,0.0
hyndmji01,1886,1,0.0,0.0,1.0
piezsa01,1914,1,2.0,2.0,1.0
funkli01,1930,1,0.0,128.0,1.0
crowlbi01,1880,1,8.0,21.0,48.0
whittpo01,1919,2,1.0,0.0,0.0
powelja03,1936,1,0.0,53.0,0.0
zeidero01,1916,1,6.0,0.0,1.0
clarkfr01,1898,1,148.0,0.0,2.0
ottenjo01,1895,1,1.0,1.0,0.0
greenha01,1940,1,148.0,0.0,0.0
englecl01,1912,1,0.0,0.0,1.0
breitte01,1892,1,0.0,0.0,10.0
gilmapi01,1884,1,2.0,0.0,0.0
dickebu01,1879,1,81.0,0.0,0.0
edench01,1877,1,0.0,0.0,15.0
grothjo01,1946,1,0.0,4.0,0.0
orourji01,1888,1,75.0,3.0,9.0
lewisdu01,1915,1,152.0,0.0,0.0
stenzja01,1892,1,1.0,1.0,0.0
dorseje02,1911,1,0.0,1.0,0.0
georgbi01,1889,2,0.0,0.0,4.0
veachbo01,1912,1,22.0,0.0,0.0
menefjo01,1901,1,5.0,1.0,18.0
greenji01,1884,1,0.0,0.0,1.0
ulricge01,1893,1,0.0,1.0,0.0
brainda01,1908,2,0.0,0.0,2.0
valoel01,1940,1,6.0,0.0,0.0
clarkfr01,1906,1,110.0,0.0,0.0
cullero01,1946,1,12.0,0.0,69.0
andreed01,1889,2,0.0,40.0,0.0
schafha01,1878,1,0.0,0.0,2.0
oliveto01,1931,1,0.0,148.0,0.0
derbyge01,1883,1,2.0,1.0,0.0
benneik01,1884,1,49.0,0.0,0.0
leboube01,1929,1,0.0,2.0,1.0
mazzeme01,1940,1,26.0,2.0,16.0
fothebo01,1927,1,137.0,0.0,0.0
hermage01,1949,1,64.0,0.0,17.0
shaugsh01,1905,1,0.0,0.0,1.0
myershy01,1923,1,0.0,87.0,0.0
milancl01,1913,1,0.0,154.0,0.0
bergema01,1897,1,0.0,1.0,0.0
greenda01,1902,1,18.0,2.0,110.0
mcmuljo01,1872,1,41.0,1.0,11.0
foutzda01,1885,1,4.0,0.0,0.0
bauerha01,1948,1,8.0,0.0,7.0
ruthba01,1925,1,33.0,0.0,66.0
speaktr01,1910,1,0.0,140.0,0.0
walkeha01,1947,1,2.0,7.0,0.0
duffyhu01,1892,1,0.0,146.0,0.0
zimmehe01,1908,1,2.0,4.0,2.0
dolanco01,1903,1,2.0,2.0,0.0
falkbi01,1920,1,0.0,0.0,4.0
bresnro01,1902,2,0.0,0.0,27.0
collior01,1909,1,0.0,1.0,1.0
ricesa01,1921,1,0.0,137.0,4.0
lemonji01,1955,1,1.0,0.0,5.0
dolanco01,1905,1,1.0,0.0,8.0
dwyerfr01,1890,1,1.0,1.0,2.0
werdepe01,1884,1,4.0,1.0,1.0
heidrem01,1903,1,0.0,119.0,0.0
mccreto01,1901,1,4.0,78.0,0.0
childpe01,1901,1,1.0,1.0,0.0
mcintma01,1901,1,82.0,0.0,0.0
elderge01,1949,1,10.0,0.0,0.0
barrejo01,1946,2,2.0,11.0,4.0
lenhado01,1953,1,72.0,0.0,5.0
brittji01,1873,1,0.0,0.0,3.0
freembu01,1905,1,0.0,1.0,56.0
westsa01,1936,1,0.0,148.0,0.0
hodesch01,1872,1,0.0,4.0,0.0
tatumto01,1941,1,1.0,3.0,0.0
winklge01,1883,1,3.0,1.0,0.0
gettmja01,1898,1,6.0,19.0,114.0
libkeal01,1945,1,27.0,0.0,82.0
jacobme01,1926,1,2.0,53.0,32.0
bolaned01,1934,1,0.0,0.0,7.0
shaffta01,1884,1,9.0,7.0,1.0
kennebo01,1949,1,1.0,0.0,98.0
flickle01,1944,1,0.0,1.0,5.0
alenoch01,1943,1,2.0,0.0,0.0
crawfke01,1915,1,1.0,0.0,3.0
shaffor01,1885,1,0.0,1.0,68.0
matthst01,1884,1,0.0,2.0,0.0
nicolhu01,1888,1,0.0,0.0,125.0
hamra01,1871,1,19.0,0.0,0.0
watkige01,1936,1,17.0,0.0,0.0
mackco01,1889,1,1.0,0.0,33.0
rizzojo01,1941,1,3.0,8.0,53.0
mccorha01,1881,1,0.0,0.0,3.0
dalyto02,1916,1,0.0,0.0,1.0
nichobi01,1951,1,0.0,0.0,41.0
roberda01,1915,1,16.0,0.0,123.0
paskedo01,1916,1,2.0,145.0,0.0
zernigu01,1951,1,4.0,0.0,0.0
mclauki01,1914,1,0.0,2.0,0.0
dolanco01,1901,1,0.0,0.0,41.0
kellejo01,1904,1,0.0,3.0,3.0
reynoca01,1938,1,63.0,83.0,4.0
lyonste01,1929,1,0.0,0.0,1.0
strikjo01,1886,1,0.0,0.0,1.0
robinya01,1885,1,52.0,0.0,0.0
hartbi01,1896,1,4.0,1.0,3.0
jenseja01,1952,2,0.0,7.0,142.0
strunam01,1918,1,1.0,112.0,0.0
mullipa01,1941,1,0.0,51.0,0.0
vanhage01,1893,1,0.0,111.0,0.0
coopecl01,1917,1,9.0,3.0,2.0
kissibi01,1896,1,3.0,0.0,0.0
zarilal01,1943,1,0.0,6.0,56.0
oliveto01,1930,1,0.0,154.0,0.0
slaugen01,1939,1,0.0,0.0,149.0
butlear01,1914,1,0.0,1.0,0.0
ryanji01,1895,1,0.0,0.0,108.0
peoplji01,1887,1,1.0,0.0,7.0
wanerpa01,1937,1,0.0,0.0,150.0
sugdejo01,1898,1,0.0,1.0,14.0
medwijo01,1934,1,144.0,0.0,5.0
lamarbi01,1926,1,107.0,0.0,0.0
hastisc01,1872,2,0.0,1.0,0.0
schlead01,1907,1,1.0,0.0,1.0
chapmra01,1913,1,0.0,0.0,0.0
hayesja01,1882,1,0.0,55.0,3.0
smithl01,1882,1,0.0,0.0,1.0
kennebo01,1954,1,1.0,0.0,0.0
hatfijo01,1871,1,24.0,0.0,0.0
hanfoch01,1914,1,0.0,155.0,0.0
evansjo01,1924,1,38.0,1.0,10.0
asbelji01,1938,1,7.0,0.0,3.0
kingle02,1922,2,0.0,1.0,4.0
bakerki01,1894,1,0.0,0.0,1.0
schulfr02,1927,1,0.0,49.0,0.0
umphlto01,1954,1,12.0,4.0,86.0
heckegu01,1883,1,9.0,14.0,0.0
willicy01,1915,1,0.0,149.0,0.0
schulfr02,1930,1,0.0,98.0,0.0
robinwi01,1887,1,0.0,1.0,0.0
henlewe01,1907,1,1.0,0.0,0.0
filipst01,1948,1,7.0,0.0,0.0
cassijo01,1885,1,0.0,0.0,54.0
schulwe02,1933,2,97.0,0.0,0.0
mcinnst01,1910,1,1.0,0.0,0.0
eversho01,1955,2,15.0,9.0,2.0
collizi01,1921,1,0.0,20.0,0.0
willile03,1926,1,,,
rumlewi01,1914,1,0.0,0.0,6.0
carrofr01,1885,1,10.0,2.0,0.0
meloapa01,1911,1,0.0,0.0,1.0
oneilmi01,1902,1,3.0,0.0,0.0
burkeed01,1890,1,0.0,96.0,0.0
abbeych01,1894,1,54.0,74.0,0.0
soltemo01,1938,1,40.0,0.0,6.0
ganzeba01,1928,1,4.0,2.0,2.0
howelha01,1907,1,0.0,2.0,0.0
devorjo01,1913,3,8.0,6.0,0.0
barrejo01,1944,1,1.0,67.0,92.0
veachpe01,1884,1,11.0,2.0,1.0
eichrik01,1925,1,0.0,13.0,0.0
chouife01,1910,1,0.0,23.0,0.0
donneji01,1884,2,2.0,2.0,2.0
woodlge01,1954,1,89.0,0.0,0.0
delahed01,1897,1,128.0,0.0,1.0
gillepe01,1882,1,74.0,0.0,0.0
combsea01,1935,1,57.0,13.0,1.0
dicksjo01,1936,1,0.0,1.0,0.0
griffcl01,1894,1,0.0,3.0,4.0
killere01,1910,1,6.0,0.0,6.0
gilmogr01,1914,1,0.0,10.0,122.0
leonaan01,1878,1,60.0,0.0,0.0
walkefr01,1921,1,3.0,16.0,0.0
lowrepe01,1942,1,7.0,15.0,0.0
gaulemi01,1889,1,0.0,1.0,0.0
sepkote01,1947,1,0.0,0.0,1.0
wiedmst01,1883,1,1.0,5.0,29.0
mannle01,1917,1,106.0,11.0,2.0
hoppjo01,1947,1,0.0,123.0,2.0
reilljo01,1890,1,0.0,1.0,0.0
cassijo01,1881,1,0.0,84.0,0.0
myershy01,1916,1,0.0,105.0,1.0
willike01,1921,1,145.0,0.0,0.0
shannsp01,1906,2,76.0,0.0,0.0
nichofr02,1920,1,28.0,18.0,13.0
myerbu01,1930,1,1.0,0.0,1.0
mooreal01,1926,1,5.0,16.0,0.0
bellbe01,1939,1,9.0,0.0,0.0
kellyki01,1885,1,0.0,1.0,69.0
burnsge01,1923,1,0.0,3.0,151.0
oconnpa01,1886,1,0.0,41.0,0.0
wrighta01,1949,1,0.0,0.0,35.0
seminan01,1945,1,1.0,0.0,0.0
odayha01,1887,1,2.0,0.0,0.0
brashro01,1902,1,1.0,7.0,8.0
vosmijo01,1940,1,39.0,9.0,51.0
barrebi02,1929,2,1.0,10.0,101.0
wingaer01,1925,1,,,
laabsch01,1944,1,38.0,0.0,18.0
stoveha01,1886,1,0.0,46.0,17.0
roberda01,1919,2,1.0,24.0,0.0
obrieto03,1943,1,17.0,0.0,31.0
gosligo01,1929,1,142.0,0.0,0.0
thurmbo01,1955,1,36.0,0.0,0.0
vanroma01,1946,1,21.0,3.0,13.0
mcelrji01,1884,2,1.0,1.0,0.0
merrige01,1903,1,1.0,0.0,6.0
wilsoji01,1924,1,0.0,0.0,1.0
medwijo01,1938,1,144.0,0.0,0.0
baldwla01,1884,1,0.0,5.0,0.0
newmach01,1892,1,3.0,0.0,0.0
stengca01,1913,1,0.0,117.0,2.0
richmjo01,1879,1,4.0,29.0,2.0
weisbu01,1923,1,4.0,0.0,2.0
recciph01,1883,1,0.0,0.0,1.0
fitzped01,1915,1,0.0,7.0,22.0
remseja01,1879,1,5.0,26.0,0.0
hutchbi01,1894,1,0.0,0.0,4.0
wilsoar03,1952,2,14.0,10.0,0.0
thorpji01,1913,1,3.0,7.0,0.0
creegma01,1884,1,0.0,5.0,1.0
briefbu01,1912,1,9.0,0.0,0.0
paborch01,1875,1,42.0,0.0,0.0
hahned01,1908,1,18.0,14.0,86.0
mullato01,1889,1,4.0,5.0,3.0
orsater01,1930,1,0.0,0.0,11.0
boylebu01,1933,1,45.0,34.0,10.0
leibeha01,1937,1,1.0,42.0,3.0
godwijo01,1906,1,0.0,1.0,9.0
jacksjo01,1916,1,131.0,1.0,23.0
tennefr02,1894,1,3.0,2.0,1.0
krugear01,1915,1,33.0,3.0,30.0
briodfa01,1886,1,0.0,1.0,1.0
willike01,1927,1,110.0,4.0,0.0
millewa01,1911,1,1.0,0.0,8.0
birdge01,1871,1,1.0,25.0,0.0
cravaga01,1919,1,2.0,1.0,53.0
demarfr02,1943,1,12.0,0.0,12.0
goodmiv01,1941,1,0.0,0.0,40.0
howarde01,1906,1,87.0,0.0,0.0
seyboso01,1905,1,0.0,0.0,133.0
englecl01,1913,1,0.0,1.0,1.0
hummejo01,1907,1,22.0,3.0,9.0
mantlmi01,1951,1,0.0,3.0,85.0
hartsto01,1905,1,134.0,15.0,0.0
hanlone01,1883,1,2.0,88.0,0.0
fusseed01,1888,1,0.0,0.0,1.0
dailyco01,1892,1,2.0,3.0,8.0
babinch01,1915,1,2.0,11.0,1.0
flahepa02,1911,1,1.0,11.0,7.0
meuseir01,1918,1,71.0,45.0,0.0
burrudi01,1919,1,0.0,2.0,8.0
seedsbo01,1932,1,0.0,0.0,1.0
brownsa01,1906,1,6.0,4.0,1.0
schialo01,1902,1,0.0,0.0,2.0
tatepo01,1887,1,0.0,0.0,8.0
mertesa01,1906,1,71.0,0.0,1.0
clarkro01,1902,1,2.0,9.0,9.0
younted01,1937,1,1.0,1.0,0.0
richmle01,1881,1,0.0,2.0,9.0
brownmo01,1915,1,0.0,0.0,1.0
jacksjo01,1918,1,14.0,0.0,3.0
hemphch01,1902,2,1.0,31.0,71.0
sweenbu01,1914,1,1.0,0.0,0.0
stearbi01,1874,1,0.0,4.0,15.0
washbli01,1903,1,1.0,0.0,0.0
whiteed01,1955,1,0.0,0.0,2.0
rextewi01,1875,1,0.0,0.0,1.0
melesa01,1955,2,12.0,0.0,1.0
bowench01,1919,1,0.0,1.0,1.0
wadega01,1955,1,0.0,9.0,0.0
manushe01,1939,1,0.0,0.0,1.0
raubto01,1903,1,0.0,0.0,5.0
randane01,1907,2,59.0,3.0,12.0
