awardid,yearid,lgid,playerid,pointswon,pointsmax,votesfirst
Cy Young,2003,AL,foulkke01,1,140,0.0
Cy Young,2003,AL,hallaro01,136,140,26.0
Cy Young,2003,AL,hudsoti01,15,140,0.0
Cy Young,2003,AL,loaizes01,63,140,2.0
Cy Young,2003,AL,martipe02,20,140,0.0
Cy Young,2003,AL,moyerja01,12,140,0.0
Cy Young,2003,AL,pettian01,4,140,0.0
Cy Young,2003,AL,santajo01,1,140,0.0
Cy Young,2003,NL,gagneer01,146,160,28.0
Cy Young,2003,NL,ortizru01,9,160,0.0
Cy Young,2003,NL,priorma01,60,160,2.0
Cy Young,2003,NL,schmija01,73,160,2.0
Cy Young,2004,AL,martipe02,1,140,0.0
Cy Young,2004,AL,nathajo01,1,140,0.0
Cy Young,2004,AL,riverma01,27,140,0.0
Cy Young,2004,AL,rodrifr03,1,140,0.0
Cy Young,2004,AL,santajo01,140,140,28.0
Cy Young,2004,AL,schilcu01,82,140,0.0
Cy Young,2004,NL,clemero02,140,160,23.0
Cy Young,2004,NL,gagneer01,3,160,0.0
Cy Young,2004,NL,johnsra05,97,160,8.0
Cy Young,2004,NL,lidgebr01,1,160,0.0
Cy Young,2004,NL,oswalro01,19,160,1.0
Cy Young,2004,NL,pavanca01,6,160,0.0
Cy Young,2004,NL,schmija01,13,160,0.0
Cy Young,2004,NL,sheetbe01,1,160,0.0
Cy Young,2004,NL,zambrca01,8,160,0.0
Cy Young,2005,AL,buehrma01,5,140,0.0
Cy Young,2005,AL,colonba01,118,140,17.0
Cy Young,2005,AL,garlajo01,1,140,0.0
Cy Young,2005,AL,leecl02,8,140,0.0
Cy Young,2005,AL,millwke01,1,140,0.0
Cy Young,2005,AL,riverma01,68,140,8.0
Cy Young,2005,AL,santajo01,51,140,3.0
Cy Young,2005,NL,carpech01,132,160,19.0
Cy Young,2005,NL,clemero02,40,160,2.0
Cy Young,2005,NL,cordech01,1,160,0.0
Cy Young,2005,NL,oswalro01,2,160,0.0
Cy Young,2005,NL,pettian01,1,160,0.0
Cy Young,2005,NL,willido03,112,160,11.0
Cy Young,2006,AL,hallaro01,48,140,0.0
Cy Young,2006,AL,nathajo01,3,140,0.0
Cy Young,2006,AL,rodrifr03,5,140,0.0
Cy Young,2006,AL,rogerke01,3,140,0.0
Cy Young,2006,AL,santajo01,140,140,28.0
Cy Young,2006,AL,verlaju01,2,140,0.0
Cy Young,2006,AL,wangch01,51,140,0.0
Cy Young,2006,NL,carpech01,63,160,2.0
Cy Young,2006,NL,hoffmtr01,77,160,12.0
Cy Young,2006,NL,oswalro01,31,160,3.0
Cy Young,2006,NL,smoltjo01,3,160,0.0
Cy Young,2006,NL,wagnebi02,4,160,0.0
Cy Young,2006,NL,webbbr01,103,160,15.0
Cy Young,2006,NL,zambrca01,6,160,0.0
Cy Young,2007,AL,beckejo02,86,140,8.0
Cy Young,2007,AL,bedarer01,1,140,0.0
Cy Young,2007,AL,hallaro01,1,140,0.0
Cy Young,2007,AL,lackejo01,36,140,1.0
Cy Young,2007,AL,sabatcc01,119,140,19.0
Cy Young,2007,AL,santajo01,1,140,0.0
Cy Young,2007,AL,verlaju01,1,140,0.0
Cy Young,2007,NL,francje01,1,160,0.0
Cy Young,2007,NL,haranaa01,10,160,0.0
Cy Young,2007,NL,peavyja01,160,160,32.0
Cy Young,2007,NL,pennybr01,14,160,0.0
Cy Young,2007,NL,smoltjo01,2,160,0.0
Cy Young,2007,NL,valvejo01,2,160,0.0
Cy Young,2007,NL,webbbr01,94,160,0.0
Cy Young,2007,NL,zambrca01,3,160,0.0
Cy Young,2008,AL,hallaro01,71,140,4.0
Cy Young,2008,AL,leecl02,132,140,24.0
Cy Young,2008,AL,mussimi01,2,140,0.0
Cy Young,2008,AL,riverma01,3,140,0.0
Cy Young,2008,AL,rodrifr03,32,140,0.0
Cy Young,2008,AL,santaer01,2,140,0.0
Cy Young,2008,NL,dempsry01,4,160,0.0
Cy Young,2008,NL,lidgebr01,10,160,0.0
Cy Young,2008,NL,sabatcc01,9,160,1.0
Cy Young,2008,NL,santajo01,55,160,4.0
Cy Young,2008,NL,webbbr01,73,160,4.0
Cy Young,2009,AL,greinza01,134,140,25.0
MVP,1988,NL,jacksda02,41,336,0.0
Cy Young,1994,AL,keyji01,96,140,10.0
MVP,1969,NL,sizemte01,2,336,0.0
Cy Young,1983,NL,smithle02,1,120,0.0
MVP,1939,AL,grovele01,17,336,0.0
MVP,1939,AL,rolfere01,6,336,0.0
MVP,1992,NL,larkiba01,12,336,0.0
MVP,1924,AL,collied01,49,64,
MVP,1986,AL,wittmi01,34,392,0.0
MVP,1950,NL,hodgegi01,55,336,0.0
Cy Young,1998,NL,leiteal01,3,160,0.0
MVP,1952,AL,rosenal01,51,336,0.0
MVP,1972,AL,bandosa01,2,336,0.0
MVP,1977,AL,gamblos01,1,392,0.0
MVP,1956,NL,aaronha01,146,336,0.0
MVP,1952,NL,darkal01,24,336,0.0
MVP,1949,AL,kindeel01,122,336,0.0
MVP,1993,NL,gwynnto01,2,392,0.0
MVP,1998,NL,biggicr01,163,448,0.0
MVP,2003,NL,gonzalu01,4,448,0.0
MVP,1980,AL,lynnfr01,1,392,0.0
MVP,1990,AL,guilloz01,10,392,0.0
MVP,1938,NL,hudsojo01,3,336,0.0
MVP,1944,AL,foxpe01,12,336,0.0
MVP,1987,NL,pendlte01,1,336,0.0
MVP,1926,NL,wanerpa01,15,80,
Cy Young,2000,AL,mussimi01,1,140,0.0
MVP,2010,AL,rodrial01,8,392,0.0
MVP,1970,AL,cuellmi01,45,336,0.0
MVP,1947,NL,caseyhu01,37,336,0.0
MVP,1927,NL,bottoji01,6,80,0.0
MVP,1948,NL,sainjo01,223,336,5.0
MVP,2009,NL,wainwad01,16,448,0.0
MVP,1975,AL,kaatji01,2,336,0.0
MVP,2006,AL,tejadmi01,5,392,0.0
Rookie of the Year,1979,AL,griffal01,7,28,7.0
Cy Young,2002,AL,zitoba01,114,140,17.0
MVP,1946,NL,schmijo01,3,336,0.0
MVP,1941,NL,walkedi02,34,336,1.0
MVP,1985,NL,herrto01,119,336,0.0
MVP,1940,NL,garmsde01,28,336,0.0
MVP,1953,AL,carrach01,1,336,0.0
MVP,1996,AL,mcgwima01,100,392,0.0
MVP,1990,AL,fiskca01,16,392,0.0
MVP,1928,NL,grimebu01,53,80,
MVP,1932,AL,averiea01,37,80,
MVP,1913,AL,shottbu01,5,64,0.0
MVP,1977,AL,munsoth01,70,392,1.0
MVP,1985,AL,boggswa01,159,392,0.0
MVP,1926,NL,butlejo02,5,80,0.0
MVP,1914,NL,maranra01,44,64,
Rookie of the Year,1982,AL,ripkeca01,132,140,24.0
MVP,1969,AL,belanma01,2,336,0.0
MVP,2008,AL,dyeje01,14,392,0.0
Rookie of the Year,1949,AL,colemje01,4,24,4.0
MVP,1935,NL,allenet01,4,80,0.0
MVP,2004,NL,pierrju01,9,448,0.0
MVP,2001,NL,jordabr01,7,448,0.0
Rookie of the Year,1952,NL,blackjo02,19,24,19.0
Cy Young,2010,AL,hernafe02,167,196,21.0
MVP,1952,AL,foxne01,59,336,1.0
Rookie of the Year,1989,NL,benesan01,3,120,0.0
MVP,1939,NL,medwijo01,81,336,0.0
MVP,1952,NL,lockmwh01,18,336,0.0
Rookie of the Year,1984,AL,teufeti01,5,140,0.0
MVP,1951,AL,reynoal01,125,336,6.0
MVP,1940,AL,greenha01,292,336,16.0
MVP,1939,AL,johnsbo01,52,336,0.0
Rookie of the Year,1960,AL,estrach01,1,24,1.0
MVP,2001,NL,schilcu01,24,448,0.0
MVP,2007,NL,rowanaa01,3,448,0.0
MVP,1942,NL,javeral01,3,336,0.0
MVP,1969,AL,jacksre01,110,336,0.0
Rookie of the Year,1983,NL,strawda01,106,120,18.0
MVP,1946,NL,coxbi02,5,336,0.0
MVP,1970,NL,giustda01,72,336,0.0
MVP,1970,NL,aaronha01,16,336,0.0
MVP,2002,NL,gagneer01,44,448,0.0
MVP,1972,NL,cedence01,112,336,0.0
Cy Young,1997,AL,myersra01,14,140,1.0
MVP,2008,AL,morneju01,257,392,7.0
MVP,1982,AL,thornan01,8,392,0.0
MVP,1949,AL,houttar01,3,336,0.0
MVP,1947,AL,dillibo01,13,336,0.0
MVP,1995,AL,salmoti01,110,392,0.0
MVP,1998,AL,delgaca01,1,392,0.0
MVP,1939,AL,newsobo01,11,336,0.0
