schoolid,schoolname,schoolcity,schoolstate,schoolnick
bethcook,Bethune-Cookman College,Daytona Beach,FL,Wildcats
lutheria,Luther College,Decorah,IA,Norse
williamsma,Williams College,Williamston,MA,Ephs
bethanywv,Bethany College,Bethany,WV,Bison
indianapa,Indiana University of Pennsylvania,Indiana,PA,Indians
heidelberg,Heidelberg College,Tiffin,OH,Princes
benedctnks,Benedictine College,Atchison,KS,Ravens
thomasmore,Thomas More College,Crestview Hills,KY,Saints
colorado,University of Colorado,Boulder,CO,Buffaloes
iupufw,Indiana University-Purdue University Fort Wayne,Fort Wayne,IN,Mastodons
houston,University of Houston,Houston,TX,Cougars
oregonst,Oregon State University,Corvallis,OR,Beavers
kentucky,University of Kentucky,Lexington,KY,Wildcats
abilchrist,Abilene Christian University,Abilene,TX,Wildcats
sacheart,Sacred Heart University,Fairfield,CT,Pioneers
grambling,Grambling State University,Grambling,LA,Tigers
portlandst,Portland State University,Portland,OR,Vikings
erskine,Erskine College,Due West,SC,Flying Fleet
catholic,Catholic University of America,Washington,DC,Cardinals
flinternat,Florida International University,Miami,FL,Golden Panthers
umkc,University of Missouri-Kansas City,Kansas City,MO,Kangaroos
pacific,University of the Pacific,Stockton,CA,Tigers
pepperdine,Pepperdine University,Malibu,CA,Waves
columbia,Columbia University,New York,NY,Lions
towson,Towson University,Towson,MD,Tigers
austincol,Austin College,Sherman,TX,Kangaroos
etennst,East Tennessee State University,Johnson City,TN,Buccaneers
memphis,University of Memphis,Memphis,TN,Tigers
whittierca,Whittier College,Whittier,CA,Poets
arktech,Arkansas Tech University,Russellville,AR,Wonder Boys
nmhighland,New Mexico Highlands University,Las Vegas,NM,Cowboys
boisest,Boise State University,Boise,ID,Broncos
kywesleyan,Kentucky Wesleyan College,Owensboro,KY,Panthers
ferrisst,Ferris State University,Big Rapids,MI,Bulldogs
hendrixar,Hendrix College,Conway,AR,Warriors
wlmjewell,William Jewell College,Liberty,MO,Cardinals
wiscgbay,University of Wisconsin-Green Bay,Green Bay,WI,Phoenix
sutah,Southern Utah University,Cedar City,UT,Thunderbirds
fltech,Florida Institute of Technology,Melbourne,FL,Panthers
miamioh,Miami University,Oxford,OH,Red Hawks
flsouthern,Florida Southern College,Lakeland,FL,Moccasins
rockhurst,Rockhurst University,Kansas City,MO,Hawks
ucsd,"University of California, San Diego",La Jolla,CA,Tritons
elon,Elon University,Elon,NC,Phoenix
auburn,Auburn University,Auburn,AL,Tigers
delaware,University of Delaware,Newark,DE,Blue Hens
augsburgmn,Augsburg College,Minneapolis,MN,Auggies
nillinois,Northern Illinois University,DeKalb,IL,Huskies
wlmpennia,William Penn University,Oskaloosa,IA,Statesmen
millersvil,Millersville University of Pennsylvania,Millersville,PA,Marauders
crngmellon,Carnegie Mellon University,Pittsburgh,PA,Tartans
staugustne,Saint Augustine's College,Raleigh,NC,Falcons
newhamp,University of New Hampshire,Durham,NH,Wildcats
morehead,Morehead State University,Morehead,KY,Eagles
georgtwnky,Georgetown College,Georgetown,KY,Tigers
nmexico,University of New Mexico,Albuquerque,NM,Lobos
sindiana,University of Southern Indiana,Evansville,IN,Screaming Eagles
olemiss,University of Mississippi,Oxford,MS,Rebels
waynest,Wayne State University,Detroit,MI,Warriors
lewclarkst,Lewis-Clark State College,Lewiston,ID,Warriors
willamette,Willamette University,Salem,OR,Bearcats
northwood,Northwood University,Midland,MI,Timberwolves
lambuthtn,Lambuth University,Jackson,TN,Eagles
tarletonst,Tarleton State University,Stephenville,TX,Texans
buffalost,State University College at Buffalo,Buffalo,NY,Bengals
rowannj,Rowan University,Glassboro,NJ,Profs
coloradost,Colorado State University,Fort Collins,CO,Rams
flbarry,Barry University,Miami Shores,FL,Buccaneers
highpoint,High Point University,High Point,NC,Panthers
