lahmanid,playerid,managerid,hofid,birthyear,birthmonth,birthday,birthcountry,birthstate,birthcity,deathyear,deathmonth,deathday,deathcountry,deathstate,deathcity,namefirst,namelast,namenote,namegiven,namenick,weight,height,bats,throws,debut,finalgame,college,lahman40id,lahman45id,retroid,holtzid,bbrefid
13,abbotji01,,abbotji01h,1967.0,9.0,19.0,USA,MI,Flint,,,,,,,Jim,Abbott,,James Anthony,,200.0,75.0,L,L,4/8/1989,7/21/1999,Michigan,abbotji01,abbotji01,abboj001,abbotji01,abbotji01
16,abbotod01,,,1888.0,9.0,5.0,USA,PA,New Eagle,1933.0,4.0,13.0,USA,DC,Washington,Ody,Abbott,,Ody Cleon,,180.0,74.0,R,R,9/10/1910,10/15/1910,,abbotod01,abbotod01,abboo101,abbotod01,abbotod01
22,abernte01,,,1921.0,10.0,30.0,USA,NC,Mebane,2001.0,11.0,16.0,USA,NC,Charlotte,Tal,Abernathy,also called Ted,Talmadge Lafayette,,210.0,74.0,R,L,9/19/1942,4/29/1944,,abernte01,abernte01,abert102,abernte01,abernte01
36,ackerji01,,,1958.0,9.0,24.0,USA,TX,Freer,,,,,,,Jim,Acker,,James Justin,,210.0,74.0,R,R,4/7/1983,6/14/1992,Texas,ackerji01,ackerji01,ackej001,ackerji01,ackerji01
40,acosted01,,,1944.0,3.0,9.0,Panama,,Boquete,,,,,,,Ed,Acosta,,Eduardo Elixbet,,215.0,77.0,B,R,9/7/1970,10/4/1972,,acosted01,acosted01,acose101,acosted01,acosted01
61,adamsji01,,,1868.0,,,USA,IL,East St. Louis,,,,,,,Jim,Adams,,James J.,,,,,R,4/21/1890,4/21/1890,,adamsji01,adamsji01,adamj101,adamsji01,adamsji01
78,addybo01,addybo01m,,1845.0,2.0,,USA,NY,Rochester,1910.0,4.0,9.0,USA,ID,Pocatello,Bob,Addy,,Robert Edward,Magnet,160.0,68.0,L,L,5/6/1871,,,addybo01,addybo01,addyb101,addybo01,addybo01
86,adlesda01,,,1943.0,7.0,15.0,USA,CA,Long Beach,,,,,,,Dave,Adlesh,,David George,,187.0,72.0,R,R,5/12/1963,9/28/1968,,adlesda01,adlesda01,adled101,adlesda01,adlesda01
89,ageeto01,,ageeto01h,1942.0,8.0,9.0,USA,AL,Magnolia,2001.0,1.0,22.0,USA,NY,New York,Tommie,Agee,,Tommie Lee,,195.0,71.0,R,R,9/14/1962,9/30/1973,,ageeto01,ageeto01,ageet101,ageeto01,ageeto01
108,akersbi01,,,1904.0,12.0,25.0,USA,TN,Chattanooga,1962.0,4.0,13.0,USA,TN,Chattanooga,Bill,Akers,,William G.,Bump,178.0,71.0,R,R,9/8/1929,7/27/1932,,akersbi01,akersbi01,akerb101,akersbi01,akersbi01
111,albanjo01,,,1933.0,6.0,26.0,USA,NY,New York,2000.0,6.0,17.0,USA,NY,New York,Joe,Albanese,,Joseph Peter,,215.0,75.0,R,R,7/18/1958,9/9/1958,,albanjo01,albanjo01,albaj101,albanjo01,albanjo01
116,albosed01,,,1918.0,10.0,27.0,USA,MI,Saginaw,2003.0,1.0,7.0,USA,MI,Saginaw,Ed,Albosta,,Edward John,Rube,175.0,73.0,R,R,9/3/1941,9/24/1946,,albosed01,albosed01,alboe101,albosed01,albosed01
124,alderda01,,,1918.0,3.0,9.0,USA,NE,Belden,1982.0,2.0,12.0,USA,CA,Garden Grove,Dale,Alderson,,Dale Leonard,,190.0,70.0,R,R,9/18/1943,7/5/1944,,alderda01,alderda01,alded101,alderda01,alderda01
127,aldrija01,,,1961.0,4.0,14.0,USA,LA,Alexandria,,,,,,,Jay,Aldrich,,Jay Robert,,210.0,75.0,R,R,6/5/1987,4/26/1990,Montclair State,aldrija01,aldrija01,aldrj001,aldrija01,aldrija01
130,alenoch01,,,1917.0,2.0,19.0,USA,MO,St. Louis,2003.0,2.0,10.0,USA,FL,Deland,Chuck,Aleno,,Charles,,215.0,73.0,R,R,5/15/1941,9/23/1944,,alenoch01,alenoch01,alenc101,alenoch01,alenoch01
142,alfonan01,,,1972.0,4.0,16.0,D.R.,,La Romana,,,,,,,Antonio,Alfonseca,,Antonio,"El Pulpo, The Octopus",250.0,77.0,R,R,6/17/1997,9/23/2007,,alfonan01,alfonan01,alfoa001,alfonan01,alfonan01
143,alfoned01,,,1973.0,11.0,8.0,Venezuela,,Santa Teresa,,,,,,,Edgardo,Alfonzo,,Edgardo Antonio,,210.0,71.0,R,R,4/26/1995,6/11/2006,,alfoned01,alfoned01,alfoe001,alfoned01,alfoned01
148,allenbo01,allenbo01m,,1867.0,7.0,10.0,USA,OH,Marion,1943.0,5.0,14.0,USA,AR,Little Rock,Bob,Allen,,Robert Gilman,,175.0,71.0,R,R,4/19/1890,6/1/1900,,allenbo01,allenbo01,alleb103,allenbo01,allenbo01
167,allenmy01,,,1854.0,3.0,22.0,USA,NY,Kingston,1924.0,3.0,8.0,USA,NY,Kingston,Myron,Allen,,Myron Smith,Zeke,150.0,68.0,R,R,7/19/1883,7/1/1888,,allenmy01,allenmy01,allem101,allenmy01,allenmy01
171,allenro02,,,1959.0,10.0,5.0,USA,CA,Los Angeles,,,,,,,Rod,Allen,,Roderick Bernet,,185.0,73.0,R,R,4/7/1983,10/2/1988,,allenro02,allenro02,aller001,allenro02,allenro02
174,allenga01,,,1955.0,2.0,4.0,USA,CA,Culver City,,,,,,,Gary,Allenson,,Gary Martin,,185.0,71.0,R,R,4/8/1979,8/23/1985,Arizona State,allenga01,allenga01,alleg001,allenga01,allenga01
191,almeira01,,,1887.0,7.0,30.0,Cuba,,Havana,1968.0,3.0,19.0,Cuba,,Havana,Rafael,Almeida,,Rafael D.,Mike,164.0,69.0,R,R,7/4/1911,7/18/1913,,almeira01,almeira01,almer101,almeira01,almeira01
194,almonhe01,,,1975.0,10.0,17.0,D.R.,,Santo Domingo,,,,,,,Hector,Almonte,,,,190.0,74.0,R,R,7/26/1999,9/28/2003,,almonhe01,almonhe01,almoh001,almonhe01,almonhe01
218,alvarga01,,,1974.0,3.0,6.0,Mexico,26,Navojoa,,,,,,,Gabe,Alvarez,,,,185.0,73.0,R,R,6/22/1998,9/30/2000,,alvarga01,alvarga01,alvag001,alvarga01,alvarga01
227,alvorbi01,,,1863.0,8.0,10.0,USA,MO,St. Louis,1927.0,4.0,7.0,USA,FL,St. Petersburg,Billy,Alvord,,William Crawford,Uncle Bill,187.0,70.0,,,4/30/1885,7/8/1893,,alvorbi01,alvorbi01,alvob101,alvorbi01,alvorbi01
234,amelued01,,,1959.0,4.0,13.0,USA,CA,Fullerton,,,,,,,Ed,Amelung,,Edward Allen,,180.0,71.0,L,L,7/28/1984,7/7/1986,San Diego State,amelued01,amelued01,amele001,amelued01,amelued01
237,amorvi01,,,1932.0,8.0,8.0,Cuba,,Havana,,,,,,,Vicente,Amor,,Vincente (Alvarez),,182.0,75.0,R,R,4/16/1955,8/26/1957,,amorvi01,amorvi01,amorv101,amorvi01,amorvi01
250,anderda01,,,1868.0,10.0,10.0,USA,PA,Chester,1897.0,3.0,22.0,USA,PA,Chester,Dave,Anderson,,David S.,,,,,L,8/24/1889,9/29/1890,,anderda01,anderda01,anded102,anderda01,anderda01
257,andergo01,,,1880.0,1.0,13.0,USA,OH,Cleveland,1923.0,3.0,15.0,USA,IN,South Bend,Goat,Anderson,,Edward John,,,,L,R,4/11/1907,10/6/1907,,andergo01,andergo01,andeg101,andergo01,andergo01
273,andersc01,,,1962.0,8.0,1.0,USA,OR,Corvallis,,,,,,,Scott,Anderson,,Scott Richard,,190.0,78.0,R,R,4/8/1987,8/26/1995,Oregon,andersc01,andersc01,andes001,andersc01,andersc01
275,anderva01,,,1866.0,6.0,18.0,USA,IL,Geneva,1941.0,11.0,5.0,USA,IL,Rockford,Varney,Anderson,,Varney Samuel,Varn,165.0,70.0,R,R,8/1/1889,5/6/1896,,anderva01,anderva01,andev101,anderva01,anderva01
288,andrejo02,,,1949.0,2.0,9.0,USA,CA,Monterey Park,,,,,,,John,Andrews,,John Richard,,175.0,70.0,L,L,4/8/1973,9/19/1973,,andrejo02,andrejo02,andrj101,andrejo02,andrejo02
293,andrest01,,,1917.0,4.0,17.0,USA,MA,Lynn,1995.0,6.0,10.0,USA,FL,Bradenton,Stan,Andrews,,Stanley Joseph,Polo,178.0,71.0,R,R,6/11/1939,9/30/1945,,andrest01,andrest01,andrs101,andrest01,andrest01
297,andruwi01,,,1858.0,10.0,14.0,CAN,ON,Orono,1935.0,6.0,17.0,USA,MT,Miles City,Wiman,Andrus,,William Wiman,,155.0,66.0,,,9/15/1885,9/15/1885,,andruwi01,andruwi01,andrw101,andruwi01,andruwi01
303,ankieri01,,,1979.0,7.0,19.0,USA,FL,Fort Pierce,,,,,,,Rick,Ankiel,,,,205.0,74.0,L,L,8/23/1999,,,ankieri01,ankieri01,ankir001,ankieri01,ankieri01
311,aparilu01,,aparilu01h,1934.0,4.0,29.0,Venezuela,,Maracaibo,,,,,,,Luis,Aparicio,,Luis Ernesto (Montiel),Little Louie,160.0,69.0,R,R,4/17/1956,9/28/1973,,aparilu01,aparilu01,aparl101,aparilu01,aparilu01
317,applepe01,,,1904.0,5.0,20.0,USA,CT,Terryville,1974.0,1.0,18.0,USA,NJ,Trenton,Pete,Appleton,born Peter William Jablonowski and legally changed name in 1933,Peter William,Jake,180.0,71.0,R,R,9/14/1927,9/20/1945,,applepe01,applepe01,applp101,applepe01,applepe01
327,arciajo01,,,1943.0,8.0,22.0,Cuba,,Havana,,,,,,,Jose,Arcia,,Jose Raimundo (Orta),,170.0,75.0,R,R,4/10/1968,9/30/1970,,arciajo01,arciajo01,arcij101,arciajo01,arciajo01
339,arlinst01,,,1945.0,9.0,25.0,USA,WA,Seattle,,,,,,,Steve,Arlin,,Stephen Ralph,,195.0,75.0,R,R,6/17/1969,9/14/1974,,arlinst01,arlinst01,arlis101,arlinst01,arlinst01
367,arroyfe01,,,1952.0,3.0,21.0,USA,CA,Sacramento,,,,,,,Fernando,Arroyo,,Fernando,,180.0,74.0,R,R,6/28/1975,8/11/1986,,arroyfe01,arroyfe01,arrof001,arroyfe01,arroyfe01
372,asadora01,,,1962.0,10.0,20.0,USA,CA,Fresno,,,,,,,Randy,Asadoor,,Randall Carl,,185.0,73.0,R,R,9/14/1986,10/5/1986,Fresno State,asadora01,asadora01,asadr001,asadora01,asadora01
383,asproke01,asproke01m,,1931.0,9.0,22.0,USA,NY,Brooklyn,,,,,,,Ken,Aspromonte,,Kenneth Joseph,,180.0,72.0,R,R,9/2/1957,6/21/1963,,asproke01,asproke01,asprk101,asproke01,asproke01
402,aucoide01,,,1970.0,3.0,27.0,CAN,PQ,Lachine,,,,,,,Derek,Aucoin,,Derek Alfred,,235.0,79.0,R,R,5/21/1996,5/25/1996,Douglass,aucoide01,aucoide01,aucod001,aucoide01,aucoide01
406,augusda01,,,1949.0,11.0,28.0,USA,WV,Follansbee,,,,,,,Dave,Augustine,,David Ralph,,174.0,74.0,R,R,9/3/1973,10/2/1974,,augusda01,augusda01,augud101,augusda01,augusda01
436,aylwadi01,,,1925.0,6.0,4.0,USA,MD,Baltimore,1983.0,6.0,11.0,USA,CA,Spring Valley,Dick,Aylward,,Richard John,Dandy,190.0,72.0,R,R,5/1/1953,5/20/1953,,aylwadi01,aylwadi01,aylwd101,aylwadi01,aylwadi01
447,backmle01,,,1888.0,3.0,20.0,USA,OH,Cleves,1975.0,11.0,8.0,USA,OH,Cincinnati,Les,Backman,,Lester John,,195.0,72.0,R,R,7/3/1909,8/28/1910,,backmle01,backmle01,backl101,backmle01,backmle01
460,baezda01,,,1953.0,12.0,31.0,D.R.,,San Cristobal,,,,,,,Jose,Baez,born Jose Antonio Mota (Baez),Jose Antonio,,160.0,68.0,R,R,4/6/1977,6/6/1978,,baezjo01,baezjo01,baezj101,baezjo01,baezjo01
479,baileho01,,,1957.0,7.0,31.0,USA,MI,Grand Haven,,,,,,,Howard,Bailey,,Howard L,,195.0,72.0,R,L,4/12/1981,10/1/1983,Grand Valley State,baileho01,baileho01,bailh101,baileho01,baileho01
485,bailesw01,,,1895.0,2.0,12.0,USA,IL,Joliet,1939.0,9.0,27.0,USA,IL,Joliet,Sweetbreads,Bailey,,Abraham Lincoln,,184.0,72.0,R,R,5/23/1919,6/11/1921,,bailesw01,bailesw01,bails101,bailesw01,bailesw01
499,bakerch02,,,1952.0,12.0,6.0,USA,WA,Seattle,,,,,,,Chuck,Baker,,Charles Joseph,,180.0,71.0,R,R,4/7/1978,10/4/1981,Loyola Marymount,bakerch02,bakerch02,bakec101,bakerch02,bakerch02
505,bakerfl01,,,1916.0,10.0,10.0,USA,VA,Luray,2004.0,11.0,17.0,USA,OH,Youngstown,Floyd,Baker,,Floyd Wilson,,160.0,69.0,L,R,5/4/1943,5/4/1955,,bakerfl01,bakerfl01,bakef103,bakerfl01,bakerfl01
511,bakerho01,,,1888.0,3.0,1.0,USA,CT,Bridgeport,1964.0,1.0,16.0,USA,CT,Bridgeport,Howard,Baker,,Howard Francis,,175.0,71.0,R,R,8/11/1912,10/6/1915,,bakerho01,bakerho01,bakeh101,bakerho01,bakerho01
513,bakerje01,,,1888.0,6.0,3.0,USA,WA,Anderson Island,1972.0,9.0,26.0,USA,WA,Tacoma,Jesse,Baker,,Jesse Ormond,,188.0,71.0,L,L,4/23/1911,9/4/1911,,bakerje01,bakerje01,bakej101,bakerje01,bakerje01
514,bakerje02,,,1895.0,3.0,4.0,USA,OH,Cleveland,1976.0,7.0,29.0,USA,CA,W.Los Angeles,Jesse,Baker,born Michael Myron Silverman,Jesse,,140.0,64.0,R,R,9/14/1919,9/14/1919,,bakerje02,bakerje02,bakej104,bakerje02,bakerje02
530,baldwbi01,,,1951.0,6.0,9.0,USA,VA,Tazewell,,,,,,,Billy,Baldwin,,Robert Harvey,,175.0,72.0,L,L,7/29/1975,9/28/1976,,baldwbi01,baldwbi01,baldb101,baldwbi01,baldwbi01
536,baldwje01,,,1965.0,9.0,5.0,USA,DE,Milford,,,,,,,Jeff,Baldwin,,Jeffrey Allen,,180.0,73.0,L,L,5/22/1990,6/4/1990,Camden CC,baldwje01,baldwje01,baldj001,baldwje01,baldwje01
537,baldwki01,,,1864.0,11.0,1.0,USA,KY,Newport,1897.0,7.0,10.0,USA,OH,Cincinnati,Kid,Baldwin,,Clarence Geoghan,,147.0,66.0,R,R,7/27/1884,9/16/1890,,baldwki01,baldwki01,baldk101,baldwki01,baldwki01
