managerid,awardid,yearid,lgid,tie,notes
coxbo01m,TSN Manager of the Year,1999,NL,,
martibi02m,TSN Manager of the Year,1981,ML,,
alstowa01m,TSN Manager of the Year,1963,ML,,
torrejo01m,TSN Manager of the Year,1998,AL,,
sciosmi01m,BBWAA Manager of the year,2009,AL,,
guilloz01m,BBWAA Manager of the year,2005,AL,,
pinielo01m,BBWAA Manager of the year,1995,AL,,
southbi01m,TSN Manager of the Year,1941,ML,,
durocle01m,TSN Manager of the Year,1951,ML,,
coxbo01m,TSN Manager of the Year,2002,NL,,
andersp01m,BBWAA Manager of the year,1987,AL,,
freyji99m,TSN Manager of the Year,1984,ML,,
tannech01m,TSN Manager of the Year,1972,ML,,
coxbo01m,TSN Manager of the Year,1991,NL,,
dyered01m,TSN Manager of the Year,1946,ML,,
rodgebu01m,BBWAA Manager of the year,1987,NL,,
robinfr02m,BBWAA Manager of the year,1989,AL,,
ozarkda99m,TSN Manager of the Year,1976,ML,,
stengca01m,TSN Manager of the Year,1953,ML,,
melvibo01m,TSN Manager of the Year,2007,NL,,
virdobi01m,TSN Manager of the Year,1974,ML,,
larusto01m,TSN Manager of the Year,1992,AL,,
durocle01m,TSN Manager of the Year,1954,ML,,
murtada01m,TSN Manager of the Year,1970,ML,,
johnsda02m,BBWAA Manager of the year,2012,NL,,
leylaji99m,TSN Manager of the Year,1992,NL,,
larusto01m,TSN Manager of the Year,1983,ML,,
bakerdu01m,BBWAA Manager of the year,1997,NL,,
sciosmi01m,TSN Manager of the Year,2002,AL,,
aloufe01m,BBWAA Manager of the year,1994,NL,,
larusto01m,BBWAA Manager of the year,1988,AL,,
coxbo01m,BBWAA Manager of the year,1991,NL,,
manueje01m,TSN Manager of the Year,2000,AL,,
coxbo01m,TSN Manager of the Year,1993,NL,,
oatesjo01m,TSN Manager of the Year,1993,AL,,
alstowa01m,TSN Manager of the Year,1959,ML,,
sewellu01m,TSN Manager of the Year,1944,ML,,
mccarjo99m,TSN Manager of the Year,1936,ML,,
maddojo99m,BBWAA Manager of the year,2008,AL,,
bakerdu01m,BBWAA Manager of the year,1993,NL,,
torboje01m,BBWAA Manager of the year,1990,AL,,
alstowa01m,TSN Manager of the Year,1955,ML,,
coxbo01m,TSN Manager of the Year,1985,ML,,
andersp01m,TSN Manager of the Year,1987,AL,,
aloufe01m,TSN Manager of the Year,1994,NL,,
mauchge01m,TSN Manager of the Year,1973,ML,,
bakerdu01m,TSN Manager of the Year,1997,NL,,
stengca01m,TSN Manager of the Year,1949,ML,,
hodgegi01m,TSN Manager of the Year,1969,ML,,
coxbo01m,BBWAA Manager of the year,2004,NL,,
weaveea99m,TSN Manager of the Year,1979,ML,,
williji03m,BBWAA Manager of the year,1999,AL,,
torrejo01m,BBWAA Manager of the year,1996,AL,Y,
maddojo99m,BBWAA Manager of the year,2011,AL,,
lamonge01m,BBWAA Manager of the year,1993,AL,,
torrejo01m,BBWAA Manager of the year,1998,AL,,
mccarjo99m,TSN Manager of the Year,1943,ML,,
showabu99m,BBWAA Manager of the year,1994,AL,,
johnsda02m,TSN Manager of the Year,1997,AL,,
baylodo01m,BBWAA Manager of the year,1995,NL,,
keanejo99m,TSN Manager of the Year,1964,ML,,
virdobi01m,TSN Manager of the Year,1980,ML,,
weaveea99m,TSN Manager of the Year,1977,ML,,
stengca01m,TSN Manager of the Year,1958,ML,,
stanked01m,TSN Manager of the Year,1952,ML,,
penato01m,TSN Manager of the Year,2003,AL,,
mckecbi01m,TSN Manager of the Year,1937,ML,,
gardero01m,BBWAA Manager of the year,2010,AL,,
andersp01m,BBWAA Manager of the year,1984,AL,,
girarjo01m,BBWAA Manager of the year,2006,NL,,
mcnamjo99m,BBWAA Manager of the year,1986,AL,,
girarjo01m,TSN Manager of the Year,2006,NL,,
bakerdu01m,TSN Manager of the Year,2000,NL,,
mckeoja99m,BBWAA Manager of the year,1999,NL,,
southbi01m,TSN Manager of the Year,1942,ML,,
mcnamjo99m,TSN Manager of the Year,1986,AL,,
larusto01m,BBWAA Manager of the year,1983,AL,,
williji03m,TSN Manager of the Year,1999,AL,,
mckeoja99m,BBWAA Manager of the year,2003,NL,,
blackbu02m,BBWAA Manager of the year,2010,NL,,
coxbo01m,BBWAA Manager of the year,1985,AL,,
melvibo01m,BBWAA Manager of the year,2007,NL,,
mckecbi01m,TSN Manager of the Year,1940,ML,,
baylodo01m,TSN Manager of the Year,1995,NL,,
manueje01m,BBWAA Manager of the year,2000,AL,,
harribu01m,TSN Manager of the Year,1947,ML,,
rignebi01m,TSN Manager of the Year,1962,ML,,
rolfere01m,TSN Manager of the Year,1950,ML,,
herzowh01m,BBWAA Manager of the year,1985,NL,,
hutchfr01m,TSN Manager of the Year,1957,ML,,
showabu99m,BBWAA Manager of the year,2004,AL,,
coxbo01m,TSN Manager of the Year,2004,NL,,
johnsda02m,BBWAA Manager of the year,1997,AL,,
dierkla01m,BBWAA Manager of the year,1998,NL,,
murtada01m,TSN Manager of the Year,1960,ML,,
bambege01m,TSN Manager of the Year,1978,ML,,
leylaji99m,BBWAA Manager of the year,1990,NL,,
rodgebu01m,TSN Manager of the Year,1987,NL,,
coxbo01m,TSN Manager of the Year,2003,NL,,
houkra01m,TSN Manager of the Year,1961,ML,,
bowala01m,TSN Manager of the Year,2001,NL,,
lanieha01m,BBWAA Manager of the year,1986,NL,,
gibsoki01m,BBWAA Manager of the year,2011,NL,,
larusto01m,BBWAA Manager of the year,1992,AL,,
mccarjo99m,TSN Manager of the Year,1938,ML,,
bochybr01m,TSN Manager of the Year,1998,NL,,
kellyto01m,BBWAA Manager of the year,1991,AL,,
meyerbi01m,TSN Manager of the Year,1948,ML,,
leylaji99m,TSN Manager of the Year,2006,AL,,
lasorto01m,TSN Manager of the Year,1988,NL,,
tebbebi01m,TSN Manager of the Year,1956,ML,,
melesa01m,TSN Manager of the Year,1965,ML,,
zimmedo01m,TSN Manager of the Year,1989,NL,,
robinfr02m,TSN Manager of the Year,1989,AL,,
showabu99m,TSN Manager of the Year,1994,AL,,
leylaji99m,BBWAA Manager of the year,2006,AL,,
willidi02m,TSN Manager of the Year,1967,ML,,
penato01m,BBWAA Manager of the year,2003,AL,,
coxbo01m,BBWAA Manager of the year,2005,NL,,
leylaji99m,TSN Manager of the Year,1988,NL,,
smithma01m,TSN Manager of the Year,1968,ML,,
oatesjo01m,TSN Manager of the Year,1996,AL,,
johnsda01m,TSN Manager of the Year,1975,ML,,
oatesjo01m,BBWAA Manager of the year,1996,AL,Y,
zimmedo01m,BBWAA Manager of the year,1989,NL,,
durocle01m,TSN Manager of the Year,1939,ML,,
pinielo01m,BBWAA Manager of the year,2008,NL,,
lasorto01m,BBWAA Manager of the year,1983,NL,,
pinielo01m,BBWAA Manager of the year,2001,AL,,
wedgeer01m,BBWAA Manager of the year,2007,AL,,
coxbo01m,TSN Manager of the Year,2005,NL,,
bauerha01m,TSN Manager of the Year,1966,ML,,
foxch01m,TSN Manager of the Year,1971,ML,,
torboje01m,TSN Manager of the Year,1990,AL,,
lanieha01m,TSN Manager of the Year,1986,NL,,
wedgeer01m,TSN Manager of the Year,2007,AL,,
leylaji99m,TSN Manager of the Year,1990,NL,,
freyji99m,BBWAA Manager of the year,1984,NL,,
melvibo01m,BBWAA Manager of the year,2012,AL,,
hargrmi01m,TSN Manager of the Year,1995,AL,,
bowala01m,BBWAA Manager of the year,2001,NL,,
guilloz01m,TSN Manager of the Year,2005,AL,,
bakerdu01m,BBWAA Manager of the year,2000,NL,,
herzowh01m,TSN Manager of the Year,1982,ML,,
bochybr01m,TSN Manager of the Year,1996,NL,,
kellyto01m,TSN Manager of the Year,1991,AL,,
leylaji99m,BBWAA Manager of the year,1992,NL,,
bluegos01m,TSN Manager of the Year,1945,ML,,
pinielo01m,TSN Manager of the Year,2001,AL,,
lasorto01m,BBWAA Manager of the year,1988,NL,,
larusto01m,BBWAA Manager of the year,2002,NL,,
larusto01m,TSN Manager of the Year,1988,AL,,
sciosmi01m,BBWAA Manager of the year,2002,AL,,
bochybr01m,BBWAA Manager of the year,1996,NL,,
tracyji01m,BBWAA Manager of the year,2009,NL,,
gardero01m,TSN Manager of the Year,2004,AL,,
