playerid,yearid,teamid,lgid,round,pos,g,gs,innouts,po,a,e,dp,tp,pb,sb,cs
quinlro01,2005,LAA,AL,ALDS2,3B,1,1,15.0,0,1,0,0,0,,,
dyeje01,2008,CHA,AL,ALDS2,RF,4,4,102.0,10,0,0,0,0,,,
hubbeca01,1933,NY1,NL,WS,P,2,2,60.0,1,4,1,0,0,,0.0,1.0
sainjo01,1948,BSN,NL,WS,P,2,2,51.0,2,2,0,0,0,,2.0,0.0
heathmi02,1981,OAK,AL,AWDIV,C,2,2,54.0,9,1,0,0,0,0.0,0.0,0.0
belanma01,1969,BAL,AL,ALCS,SS,3,3,96.0,4,9,0,1,0,,,
snowjt01,2002,SFN,NL,NLCS,1B,5,5,135.0,48,2,0,3,0,,,
maddoga01,1980,PHI,NL,NLCS,CF,5,5,148.0,23,0,0,0,0,,,
hoopeha01,1912,BOS,AL,WS,RF,8,8,222.0,16,2,0,1,0,,,
damonjo01,2009,NYA,AL,ALCS,LF,6,6,169.0,9,0,0,0,0,,,
ruelmu01,1925,WS1,AL,WS,C,7,6,159.0,35,5,0,0,0,1.0,6.0,1.0
fostege01,1976,CIN,NL,WS,LF,4,4,108.0,14,0,0,0,0,,,
lowede01,2006,LAN,NL,NLDS1,P,1,1,16.0,0,0,0,0,0,,0.0,0.0
maddoga01,1978,PHI,NL,NLCS,CF,4,4,110.0,16,0,1,0,0,,,
renteed01,2010,SFN,NL,WS,SS,5,5,132.0,7,18,1,3,0,,,
chaveer01,2012,NYA,AL,ALCS,3B,3,2,54.0,0,5,1,1,0,0.0,0.0,0.0
fernato01,1993,TOR,AL,WS,SS,6,6,159.0,11,8,0,4,0,,,
purkebo01,1961,CIN,NL,WS,P,2,1,33.0,4,3,1,0,0,,1.0,0.0
lloydgr01,1996,NYA,AL,ALDS2,P,2,0,3.0,1,0,0,0,0,,0.0,0.0
wilsopr01,2006,SLN,NL,NLCS,RF,1,1,27.0,4,1,0,0,0,,,
cartejo01,1992,TOR,AL,WS,RF,3,3,81.0,5,0,0,0,0,,,
woodjo02,1912,BOS,AL,WS,P,4,3,66.0,1,6,0,1,0,,3.0,1.0
walketo04,2003,BOS,AL,ALCS,2B,6,6,153.0,8,21,0,3,0,,,
javiest01,2001,SEA,AL,ALCS,LF,4,3,76.0,9,0,0,0,0,,,
mussimi01,1996,BAL,AL,ALCS,P,1,1,23.0,0,0,0,0,0,,0.0,0.0
womacto01,1999,ARI,NL,NLDS2,SS,2,2,42.0,1,5,0,0,0,,,
chaneda01,1972,CIN,NL,NLCS,SS,5,5,123.0,8,16,3,2,0,,,
