yearid,teamid,lgid,playerid,salary
2006,COL,NL,hollima01,500000
1992,MIN,AL,macksh01,1075000
1990,CIN,NL,daviser01,2100000
2007,LAN,NL,martira03,800000
1992,TOR,AL,warddu01,2425000
2000,MIN,AL,bergmse01,1200000
1985,ML4,AL,simmote01,1000000
2011,COL,NL,spilbry01,1950000
1993,LAN,NL,bournra01,124000
1992,CAL,AL,gaettga01,2700000
1988,PIT,NL,diazmi01,172500
2009,WAS,NL,ledezwi01,750000
1995,SEA,AL,fermife01,900000
1995,LAN,NL,strawda01,5300000
2007,BOS,AL,beckejo02,6666667
2003,CLE,AL,riskeda01,314000
1994,PIT,NL,pennywi01,115000
1992,MIN,AL,bushra01,450000
2004,BOS,AL,mccarda01,500000
1993,NYA,AL,habyajo01,600000
2001,SDN,NL,davisbe01,235000
1999,PIT,NL,brownbr01,290000
2008,TOR,AL,coatsbu01,392100
2000,SEA,AL,lampkto01,950000
1996,CHN,NL,magadda01,500000
1992,KCA,AL,melvibo01,900000
2003,CHA,AL,glovega01,330000
1990,SFN,NL,basske01,1250000
1988,DET,AL,alexado01,500000
1991,MIN,AL,newmaal01,450000
1986,PHI,NL,rawlesh01,800000
2002,ANA,AL,salmoti01,9650000
2005,LAN,NL,ericksc01,525000
1995,TOR,AL,darwida01,300000
2004,ATL,NL,almanar01,500000
1991,SFN,NL,deckest01,100000
2011,BOS,AL,pedrodu01,5750000
1994,SFN,NL,blackbu02,3250000
1988,NYA,AL,rhoderi01,900000
1988,BAL,AL,willima05,85000
2007,PHI,NL,utleych01,4785714
1990,KCA,AL,mcwilla01,300000
1989,LAN,NL,shelbjo01,550000
2005,CHN,NL,borowjo01,2300000
2000,PHI,NL,duceyro01,500000
1999,SDN,NL,myersgr01,850000
1995,COL,NL,holmeda01,1450000
2004,MON,NL,evereca01,3000000
2003,TEX,AL,kreutch01,750000
1990,SDN,NL,hurstbr01,1633333
2005,SEA,AL,olivomi01,400000
1988,SDN,NL,whitsed01,1000000
2010,TBA,AL,navardi01,2100000
1997,CHN,NL,orieke01,150000
1987,CAL,AL,buicede01,62500
2001,SLN,NL,matthmi01,225000
2001,SDN,NL,tollbbr01,230000
1991,SLN,NL,lankfra01,125000
1993,SEA,AL,holmabr01,950000
2007,ATL,NL,cormila01,405000
1993,OAK,AL,helfaer01,109000
1988,NYN,NL,coneda01,92500
1994,COL,NL,fredrsc01,118000
1994,SLN,NL,smithoz01,3000000
2012,LAN,NL,macdomi01,650000
1987,LAN,NL,hatchmi01,62500
1990,PIT,NL,belinst01,100000
1996,KCA,AL,jacomja01,150000
2000,TEX,AL,zimmeje02,250000
2003,NYA,AL,hitchst01,6000000
1996,CHN,NL,trachst01,220000
1989,CHA,AL,lyonsst01,325000
2011,COL,NL,lopezjo01,3600000
1990,BAL,AL,finlest01,120000
2009,ATL,NL,sammocl01,400000
1998,SLN,NL,osbordo01,3750000
