abbreviation,name,city,country,province,established
ЭSA,Европейское космическое агентство,Париж,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Французская Гвиана,1973-07-31
BSЕЦ,Зоной экономического сотрудничества в Черном море,,,,1992-06-25
УНАВЕМ-III,Миссия ООН по проверке в Анголе,Нью-Йорк,США,Нью-Йорк,1988-12-20
Г-3,Группа из 3,,,,1990-10-01
ВТО,Всемирная торговая организация,,,,1994-04-15
МКК,Международная торговая палата,Париж,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Французская Гвиана,1919-01-01
Интерпол,Международная организация полицейской полиции,Лион,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Рон-Альпы,1956-06-13
АМФ,Арабский монетарный фонд,Абудаби,ОАЭ,Абудаби,1976-04-27
Г-7,Группа из 7,,,,1985-09-22
ЦЕ,Совет Европы,Страсбург,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Альзас,1949-05-05
АСТК,Азиатско-Тихоокеанское экономическое сотрудничество,Сингапур,SGK,Сингапур,1989-11-07
ОАУ,Организация африканского единства,Аддис-Абеба,ЭТХ,Эфиопия,1963-05-25
УНМОТ,Миссия наблюдателей ООН в Таджикистане,Нью-Йорк,США,Нью-Йорк,1994-12-16
ЭКЛАК,Экономическая комиссия для Латинской Америки и Карибского бассейна,Сантьяго,РЧ,Чили,1948-02-25
Международное агентство по атомной энергии,Международное агентство по атомной энергии,Вена,А,Вена,1956-10-26
Кариком,Карибское сообщество и Общий рынок,Георгиенхоф,Гэй,Гайана,1973-07-04
МНОФИЛ,Междунациональные силы ООН во Львове,Нью-Йорк,США,Нью-Йорк,1978-03-19
ЮНЕСКО,"Организация Объединенных Наций по вопросам образования, науки и культуры",Париж,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Французская Гвиана,1945-11-16
АССОЦИАЦИЯ ЕВРОПЕЙСКОГО СОРБАНТА,Экономическая комиссия для Африки,Аддис-Абеба,ЭТХ,Эфиопия,1958-04-29
КН,Совет по сотрудничеству стран Северной Атлантики,Брюссель,Б,Прабам,1991-11-08
ООНТСО,Организация по контролю за прекращением огня ООН,Иерусалим,Я,Центр,1948-05-01
АКП,"Африканские, карибские и тихоокеанские страны",Брюссель,Б,Прабам,1976-04-01
КВСБ,Совет государств Балтийского моря,,,,1992-03-05
Нам,Движение неприсоединения,Джакарта,Ри,Индонезия,1961-09-01
Спе,Южнотихоокеанская комиссия,Нумей,Национальное централизованное архивное управление,Новая Каледония,1947-02-06
Г-6,Группа из шести человек,,,,1984-05-22
G-9,Группа из 9 человек,,,,
ВТО,Всемирная организация туризма,Мадрид,Здравствуйте! Как я могу вам помочь?,Мадрид,1975-01-02
ИФРЦ,Международная федерация обществ Красного Креста и Красного Полумесяца,Женева,Ч,GE,1919-05-05
Интесат,Международная организация спутникового связи,Вашингтон,США,Колумбия,1971-08-20
ЦЕИ,Центральная европейская инициатива,Будапешт,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Будапешт (город),1991-07-27
UNМОГИП,Группа военных наблюдателей Организации Объединенных Наций в Индии и Пакистане,Нью-Йорк,США,Нью-Йорк,1948-08-13
ISO,Международная организация по стандартизации,Женева,Ч,GE,1947-02-01
ЦИС,Содружество Независимых Государств,Минск,БЫ,Белоруссия,1991-12-08
АФЕСД,Арабский фонд экономического и социального развития,,,,1968-05-16
ЦЕРН,Европейская организация по ядерным исследованиям,Женева,Ч,GE,1953-07-01
Г-5,Группа из 5 человек,,,,1985-09-22
Г-15,Группа из 15 человек,Женева,Ч,GE,
АБЕДА,Арабский банк экономического развития в Африке,Хартум,"Это что-то вроде ""sud"" по-русски?",Ал Хартум,1974-02-18
"Вы хотите, чтобы я перевел это на русский язык?",Банку межамериканского развития,Вашингтон,США,Колумбия,1959-04-08
МРБ,Международное движение Красного Креста и Красного Полумесяца,Женева,Ч,GE,1928-01-01
Конференция ООН по торговле и развитию,Конференция Организации Объединенных Наций по торговле и развитию,Женева,Ч,GE,1964-12-30
САКУ,Южноафриканское таможенное объединение,Претוריות,РСА,Гутенг,1969-12-11
Анзус,Договор о безопасности Австралия-Новая Зеландия-США,Канберра,Австралия,Австралийский столичный регион,1951-09-01
АСЕАН,Ассоциация государств Юго-Восточной Азии,Джакарта,Ри,Индонезия,1967-08-09
Анализ главных компонент (АГК),Постоянный Арбитражный Суд,,,,1899-07-29
ВКПП,Всесвітній почтовий союз,Берн,Ч,БЕ,1874-10-09
Удеак,Центральноафриканское таможенное и экономическое сообщество,Банги,АВТ,Центральноафриканская Республика,1964-12-08
ЕБРР,Европейский инвестиционный банк,Люксембург,"Hello, how can I help you today?",Люксембург,1957-03-25
ЭКО,Организация экономического сотрудничества,Тегеран,ИР,Тегеран,1985-01-01
Меркосур,Южноамериканский общий рынок,Буэнос-Айрес,РП,Федеральный округ,1991-03-26
ОПЕК,Организация стран-экспортеров нефти,Вена,А,Вена,1960-09-14
Т,Содружество,Лондон,GB,Великий Лондон,1931-12-31
Группа Мекаг,Группа развития бассейна Мекунга (ГРБМ),,,,1995-12-01
ЭКОВАС,Экономическое сообщество стран Западной Африки,Лагос,ВАН,Нигерия,1975-05-28
EDAB,Банк развития Восточной Африки,Кампала,ВЭА,Уганда,1967-06-06
igadd,Межправительственная администрация по вопросам засухи и развития,Джибути,ДЖИ,Джибути,1986-01-15
КП,План Коломбо,Коломбо,КЛ,Шри-Ланка,1951-07-01
