island,country,province
Великая Британия,GB,Гвинедд
Остров принца Уэльского,КГП,Северо-Западные территории
Куба,Т,Циенфуэгос
Молокаи,США,Гавайи
Гонду,"Добро пожаловать в чат-бот Coral! Я готов помочь вам с переводом текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести.",Ямагата
Суматра,Ри,Индонезия
Филичуди,я,Калабрия
Великая Британия,GB,Торфаен
Гомера,Здравствуйте! Как я могу вам помочь?,Канарские острова
Куба,Т,Лас-Тунас
Великая Британия,GB,Хамберсинийд
Фо́р,Да,Шлезвиг-Гольштейн
Святой Китс,КН,Сент-Китс и Невис
Гавайи,США,Гавайи
Великая Британия,GB,Оксфордшир
Мартиника,МАРТ,Мартиника
Великая Британия,GB,Ньюпорт
Ниуэ,Нюе,Ниуэ
Кос,ГР,Нотион Айяион
Сингапур,SGK,Сингапур
Гонду,"Добро пожаловать в чат-бот Coral! Я готов помочь вам с переводом текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести.",Вакаяма
Святой Томас,ВИРГ,Виргинские острова
Фуэртевентура,Здравствуйте! Как я могу вам помочь?,Канарские острова
Тристан да Куна,ХЕЛКС,Сент-Элену
Осель,Только что,Эстония
Саваи,WS,Самоа
Гернси,ГБГ,Гернси
Файал,П,Азоры
Науру,НАУ,Науру
Сан-Томе и Принсипи,Остановка на опасной,Сан-Томе и Принсипи
Великая Британия,GB,Шерстфордшир
Островный материк Шетланда,GB,Шетландские острова
Гонду,"Добро пожаловать в чат-бот Coral! Я готов помочь вам с переводом текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести.",Гифу
Лолланд,ДК,Дания
Борнхольм,ДК,Дания
Уестрей,GB,Оркнейские острова
Тайвань,КР,Тайвань
Великая Британия,GB,Дербишир
Великая Британия,GB,Западный Мидлендс
Великая Британия,GB,Нортгемптоншир
Вангерорге,Да,Нижняя Саксония
Лампедуза,я,Сицилия
Ибица,Здравствуйте! Как я могу вам помочь?,Балеарские острова
Сент-Мартин,СМАР,Сен-Мартен
Нанкет,США,Массачусетс
Великая Британия,GB,Лестершир
Балтрам,Да,Нижняя Саксония
Остров Сан-Мигель,США,Калифорния
Борнео,БРУ,Бруней
