country,independence,dependent,government
Да,,"Ok, I'm ready to translate from English to Russian. Please provide the text you would like me to translate.",часть Королевства Нидерландов
SRB,2006-06-05,,парламентская демократия
ФПОЛ,,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Зависимая от Франции территория с 1946 года
Коко,,Австралия,территория Австралии
Уол,1961-04-27,,конституционная демократия
ВН,1945-09-02,,Коммунизм
ЛВ,1991-09-06,,респу́блика
БИХ,1992-04-01,,новообразующаяся демократия
АЗ,1991-08-30,,респу́блика
Лаос,1949-07-19,,Коммунизм
Что?,1944-06-17,,респу́блика
Здравствуйте! Как я могу вам помочь?,1492-01-01,,парламентская монархия
GB,1801-01-01,,конституционная монархия
РИМ,1960-11-28,,респу́блика
РТ,1960-04-27,,"республика, претерпевающая переход к многопартийной демократической системе управления"
Транслитер: ТР,1923-10-29,,Республиканская парламентская демократия
SF,1917-12-06,,респу́блика
РП,1816-07-09,,респу́блика
ТЖ,,,Коммунизм
Спасибо,1960-07-01,,"Извините, я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?"
ВГ,1974-02-07,,парламентская демократия
Р резюме,1975-07-05,,респу́блика
НИЦ,1821-09-15,,респу́блика
ТТ,1962-08-31,,парламентская демократия
ГВАМ,,США,организованный
КГЗ,1991-08-31,,респу́блика
Неп,1768-01-01,,Парламентарная демократия с 12 мая 1991
Индия,1947-08-15,,Федеративная Республика
ГНБ,1974-09-10,,респу́блика
МК,1419-01-01,,конституционная монархия
Я не понимаю ваш запрос. Можете ли вы предоставить дополнительную информацию или контекст для перевода?,1958-10-02,,респу́блика
ИР,1979-04-01,,теократическая республика
ЭТХ,,,Федеративная Республика
АРУ,,"Ok, I'm ready to translate from English to Russian. Please provide the text you would like me to translate.",часть Королевства Нидерландов
ЗВ,1980-04-18,,парламентская демократия
Нюе,1974-10-19,,"самоуправляемая территория, находящаяся в свободной ассоциации с Новой Зеландией"
МOC,1975-06-25,,респу́блика
ВИРГ,,,организованный
КАМ,1960-01-01,,унитарное государство
БРН,1971-08-15,,традиционная монархия
СК,1993-01-01,,парламентская демократия
ФАРХ,,ДК,часть датского королевства
В,1811-07-05,,респу́блика
"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",,,конституционная монархия
ВАФУ,,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Оверн-Рона-Альпы
SLB,1978-07-07,,парламентская демократия
Ч,,,Федеративная Республика
Гуад,,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Отделение за рубежом Франции
ЛАР,1951-12-24,,Джамахирия в теории
США,1776-07-04,,Федеративная Республика
КР,1821-09-15,,Демократическая Республика
БИ,1962-07-01,,респу́блика
ГР,1829-01-01,,парламентская республика
Тука,,GB,Британские заморские территории
Австралия,1901-01-01,,федеративная парламентская республика
БДС,1966-11-30,,парламентская демократия
RSM,0301-01-01,,респу́блика
