mountain,island
Ю Шань,Тайвань
Силиси,Саваи
Фого,Фого
Ла Софриер,Бас-Тьерр
Гора Виктория,Вити Леву
Ма́тра-Ба́бель,Остров Рене Левассера
Руапеху,Тэ Ика-а-Мауи (Северный остров)
Тамбора,Сумбава
Мерапи,Джава
Попоаманашеу,Гвадалканал
Пико-Туркино,Куба
Гора Уильям,Новая Гвинея
Питон де Ньож,Возвращение
Софриер-Хиллз,Монсерарат
Питун-де-ла-Фурна́нс,Возвращение
Цяфаевона,Мадагаскар
Гуни Биниая,Керам
Псилоритис,Крета
Семеру,Джава
Гилуве,Новая Гвинея
Гора Аггри,Бали
Жима,Олхон
Андрингитра,Мадагаскар
Пинатубо,Лузон
Снаефелл,Исландия
Монт Орехена,Тахити
Монте-Цинто,Курса
Пико Базиле,Биоко
Концепсьон,Остров Ометепе
Пик Джейя,Новая Гвинея
Царатанана,Мадагаскар
Церо де Пунта,Пуэрто-Рико
Ма́тра Балби,Бугенвиль
Мауна-Лоа,Гавайи
Халеакалы,Мауи
Пик Сан-Тома,Сан-Томе и Принсипи
Бен Невис,Великая Британия
Пеле,Мартиника
Ринджани,Ломбок
Ораефайокюлл,Исландия
Кинабалу,Борнео
Пик королевы Марии,Тристан да Куна
Гора Блю-Маунтин,Ямайка
Маунт Один,Остров Бафин
Канлаон,Негрос
Эта,Сицилия
Пик Барбоу,Олсомерийский остров
Суфриер,Сент-Винсент
Рантекомбола,Суллавеси
Гора Апо,Минданао
Керинци,Суматра
Пико-де-Тейде,Тenerифа
