name,islands,area,height,type,longitude,latitude
Кореор,Каролины,8.0,100.0,вулканический,134.5,7.3
Ирландия,Британские острова,84421.0,1041.0,,-7.8,53.5
Тринидад,Меньшие Антильские острова,4827.0,940.0,,-61.35,10.4
Кюсю,Япония,35640.0,1758.0,вулканический,131.0,32.0
Мужской,Мальдивы,2.74,1.0,атолл,72.0,2.0
Закинфос,Ионские острова,406.0,756.0,,20.75,37.8
Сент-Люсия,Меньшие Антильские острова,616.0,950.0,вулканический,-60.5,14.0
Аличуди,Липари,5.2,675.0,вулканический,14.4,38.6
Нанкет,,125.0,,,-70.1,41.5
Испания,Крупные Антильские острова,76192.0,3098.0,,-70.7,19.0
Сингапур,,632.6,176.0,,103.833,1.3
Остров Бафин,Канадские арктические острова,507451.0,2147.0,,72.0,69.0
Большой Комор,Коморы,1148.0,,,43.4,-11.7
Бангка,Острова Су́нд,11942.0,700.0,,106.0,2.25
Хиос,Спорады,843.0,1297.0,,26.2,38.4
Махе,Сейшельские Острова,154.0,905.0,,55.5,-4.65
Остров Принс-Эдвард,,5660.0,142.0,,-63.4,46.3
Пеллворм,Северные фризские острова,37.4,2.0,,8.6,54.5
Восточный Фолкленд,Фолклендские острова,6605.0,705.0,,-58.8,-51.8
Кюрасао,Меньшие Антильские острова,444.0,,,-69.0,12.2
Микилон-Ланглад,,205.0,240.0,,-56.3,47.1
Сардиния,,24090.0,1834.0,,9.0,40.0
Вулкано,Липари,21.2,499.0,вулканический,15.0,38.4
Гран-Канария,Канареи,1560.0,1949.0,вулканический,-15.6,28.0
Мауи,Гавайские острова,1883.0,3055.0,,-156.3,20.7
Тристан да Куна,,104.0,,вулканический,-12.3,-37.1
Новая Гвинея,,786000.0,4884.0,,142.0,-5.0
Северный Уист,Внешние Гебриды,303.0,,,-7.1,57.4
Остров принца Уэльского,Канадские арктические острова,33339.0,,,-98.55,72.6
Нордерней,Острова Остфрисландии,26.3,5.0,,7.9,53.7
Тексель,Западно-Фризские острова,162.0,15.0,,4.8,53.1
Балтрам,Острова Остфрисландии,6.5,5.0,,7.4,53.6
Восхождение,,91.0,,вулканический,-14.4,-7.9
Руген,,926.0,161.0,,13.4,54.5
Остров Пасхи,,163.0,,вулканический,-109.35,-27.1
Южный Уист,Внешние Гебриды,320.0,,,-7.2,57.2
Кефалиния,Ионские острова,689.0,1628.0,,20.6,38.2
Флорес,Азоры,143.0,914.0,вулканический,-31.2,39.5
Остров Норфолк,,34.0,318.0,вулканический,168.0,-29.0
Сантьяго,Кабо-Верде,991.0,1394.0,вулканический,-23.6,15.1
Сент-Винсент,Меньшие Антильские острова,346.0,1300.0,вулканический,-61.3,13.25
Бахрейн,,620.0,135.0,,50.5,26.0
Ниуэ,,260.0,67.0,Корал,-169.55,-19.01
Великая Терра,Меньшие Антильские острова,589.0,,вулканический,-61.4,16.3
Рота,Маршальные острова,85.0,495.0,,145.2,15.15
Правильно,Острова Остфрисландии,16.4,3.0,,7.0,53.6
Иерро,Канареи,268.0,1500.0,вулканический,-18.0,27.7
Мадейра,Мадейра,794.0,1861.0,вулканический,-16.0,31.0
Барбуда,Меньшие Антильские острова,161.0,,,-61.4,17.3
Сент-Мартин,Меньшие Антильские острова,87.0,411.0,,-63.1,18.1
Сахалин,,76400.0,1609.0,вулканический,143.0,50.0
Липари,Липари,37.5,602.0,вулканический,14.95,38.5
Сент-Пьер,,26.0,,,-56.0,47.0
Менорка,Балеарские острова,760.0,358.0,,4.0,40.0
Анжуан,Коморы,424.0,,,44.35,-12.2
Самосир,,852.0,,вулканический,98.85,2.6
Питкерн,Острова Питкерн,4.5,347.0,вулканический,-130.05,-25.04
Кракатау,Острова Су́нд,,813.0,вулканический,105.6,-6.1
Марта Вьеньюэ,,232.0,,,-70.6,41.4
Курса,,8680.0,2706.0,,8.4,41.4
Науру,,21.0,60.0,Корал,167.0,-1.0
Панай,Филиппины,12297.0,2117.0,,122.5,11.15
