city,province,country,island
Тайтоун,Тайвань,КР,Тайвань
Святого Духа,Святого Духа,Т,Куба
Блэкпул,Ланкашир,GB,Великая Британия
Станлис,Фолклендские острова,Фолк,Восточный Фолкленд
Южный Понд на море,Эссекс,GB,Великая Британия
Виктория,Сейшельские Острова,СИ,Махе
Труро,Корнуолл,GB,Великая Британия
Ньюарк-он-Трент,Ноттингемшир,GB,Великая Британия
Салфорд,Большой Манчестер,GB,Великая Британия
Фунафути,Тувалу,ТУВ,Фонгафале
Катания,Сицилия,я,Сицилия
Стокпорт,Большой Манчестер,GB,Великая Британия
Самаринд,Индонезия,Ри,Борнео
Кольония,Микронезия,FSM,Понапе
Суви,Фиджи,Фиджи,Вити Леву
Манчестер,Большой Манчестер,GB,Великая Британия
Каназава,Ишикава,"Добро пожаловать в чат-бот Coral! Я готов помочь вам с переводом текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести.",Гонду
Хсайнтянь,Тайвань,КР,Тайвань
Токио,Токио,"Добро пожаловать в чат-бот Coral! Я готов помочь вам с переводом текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести.",Гонду
Кедири,Индонезия,Ри,Джава
Оксфорд,Оксфордшир,GB,Великая Британия
