mountain,country,province
Чанганшань,Нет,Северная Корея
Тупунгато,РП,Мендоса
Хумфри-Пик,США,Аризона
Снаефелл,Что?,Исландия
Маунт-Эльберт,США,Колорадо
Белуюша,Казахстан,Шыга́ш Kazakhstan
Макалу,ТЖ,Тибет
Рувензори,ВЭА,Уганда
Гранитный пик,США,Монтана
Гран-Сассо,я,Абруццо
Ойос-дель-Саладо,РП,Тукман
Килиманджаро,Есть,Килиманджаро
Монте-Роза,я,Валь д'Аоста
Сабалан,ИР,Восточная Азербайджанская Республика
Мавензи,Есть,Килиманджаро
Иллиямони,Боль,Боливия
Ринджани,Ри,Индонезия
Тубхаль,МА,Марокко
Монте Фальтерона,я,Тоскана
Пик Ленина,КГЗ,Кыргызстан
Мауна-Кеа,США,Гавайи
Бен Невис,GB,Высотный
К2,ТЖ,Синьцзян-Уйгурский автономный район
Пик Чань-Тенгри,КГЗ,Кыргызстан
Канлаон,РП,Филиппины
Макалу,Неп,Непал
Финстерерхорн,Ч,БЕ
Пик Победы,КГЗ,Кыргызстан
Мт. Митчелл,США,Северная Каролина
Гилуве,ПНГ,Папуа-Новая Гвинея
Кайлаш,ТЖ,Тибет
Мон-Писси,РП,Тукман
Карисимби,ЗРЕ,Киву
Гранд-Балькон,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Лотарингия
Королевская гора,США,Юта
Тамбора,Ри,Индонезия
Каспек,"""R"" переводится с английского как ""R"".",Республика Северная Осетия - Алания
