city,province,country,river,lake,sea
Аньчэн,Анахуй,ТЖ,Янгацзе,,
Майами,Флорида,США,,,Атлантический океан
Эль-Арих,Сина аш-Шамилих,ET,,,Средиземное море
Нагоя,Аихи,"Добро пожаловать в чат-бот Coral! Я готов помочь вам с переводом текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести.",,,Тихоокеанский океан
Братислава,Словакия,СК,Дунай,,
Йичуан,Нинся Хуйдзуй,ТЖ,Хванго,,
Суккур,Пакистан,ПК,Индус,,
Омск,Омская область,"""R"" переводится с английского как ""R"".",Иртыш,,
Отец,Дхитики Эллас,ГР,,,Средиземное море
Сейнт-Питер-Порт,Гернси,ГБГ,,,Канал
Джερси-Сити,Нью-Джерси,США,Хадсон-ривер,,
Эдмонтон,Альберта,КГП,Река Саскачеван,,
Джинань,Шаньдун,ТЖ,Хванго,,
Хаммерфест,Финнмарк,"I'm sorry, I don't understand your request. Could you please clarify or provide additional context?",,,Баренцев море
Карльстад,Вармланд,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Клараэльв,Ваенерн,
Суви,Фиджи,Фиджи,,,Тихоокеанский океан
Рейноса,Тамаулипс,Мексика,Рио-Гранде,,
Флоренция,Тоскана,я,Арно,,
Шарлотта Амалиэ,Виргинские острова,ВИРГ,,,Карибское море
Кан-То,Вьетнам,ВН,Меконг,,
Будапешт,Будапешт (город),"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Дунай,,
Манадо,Индонезия,Ри,,,Море Сулевеси
Банги,Центральноафриканская Республика,АВТ,Убангия,,
Джуба,Алис Тибб,"Это что-то вроде ""sud"" по-русски?",Бахр эль-Джабаль/Альберт-Нил,,
Кассель,Гессен,Да,Фульда,,
Розарио,Санта-Фе,РП,Паранá,,
Юэян,Хунань,ТЖ,Янгацзе,,
Мата-ди,Бас-Заире,ЗРЕ,Заир,,
Онитша,Нигерия,ВАН,Нигер,,
Рим,Лazio,я,Тибер,,
Гётеборг,Гётеборг и Бохус,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Гоетаэльв,,Каттегат
Костанай,Костанай,Казахстан,Тоболь,,
Сент-Хелиер,Джерси,GBJ,,,Канал
Сан-Висенте,Сан-Паулу,Б,,,Атлантический океан
Бриджпорт,Коннектикут,США,,,Атлантический океан
Аден,Йемен,Да,,,Гulf-Аден
Комодор Ривадавия,Чубут,РП,,,Атлантический океан
Хакодате,Хоккайдо,"Добро пожаловать в чат-бот Coral! Я готов помочь вам с переводом текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести.",,,Японское море
Панaji,Гоа,Индия,,,Арабское море
Хельван,Эль-Каир,ET,Нил,,
Тегал,Индонезия,Ри,,,Удалёный морской район
Долина,Ангилья,Акса,,,Атлантический океан
Хартум-Север,Ал Хартум,"Это что-то вроде ""sud"" по-русски?",Нил,,
Нагасаки,Нагасаки,"Добро пожаловать в чат-бот Coral! Я готов помочь вам с переводом текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести.",,,Восточное Китайское море
Шарлоттауэллн,Остров Принс-Эдвард,КГП,,,Атлантический океан
Джибути,Джибути,ДЖИ,,,Гulf-Аден
Фор모за,Фор모за,РП,Парагвай,,
Кременчуг,Полтавская,УА,Днестр,,
Пинанг,Индонезия,Ри,,,Южная Китайская залив
Лос-Анджелес,Калифорния,США,,,Тихоокеанский океан
Цюрих,Цюрих,А,Салцах,,
Люлеа,Нортботтен,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",,,Балтийское море
Кёльн,Шлезвиг-Гольштейн,Да,,,Балтийское море
Сидней,Новый Южный Уэльс,Австралия,,,Тихоокеанский океан
Кольцо летучей рыбы,Остров Рождества,РАЗГОВОЙ,,,Индийский океан
Корпус-Кристи,Техас,США,,,Мексиканское залив
Хианнин,Хубэй,ТЖ,Янгацзе,,
Порту-Велхо,Рондония,Б,Рио Мадейра,,
Великий Тёрк,Острова Теркс и Кайкос,Тука,,,Атлантический океан
Ребенск,Ярославская область,"""R"" переводится с английского как ""R"".",Волга,,
Перак,Пулау Пинанг,МЭЛ,,,Малаккский пролив
Эль-Уксу́р,Кена,ET,Нил,,
Хартфорд,Коннектикут,США,Река Коннектикут,,
Багдад,Багдад,Ирак,Тигр,,
Пирей,Атика,ГР,,,Средиземное море
Ал-Хилла,Бабил,Ирак,Еуфрат,,
Хамар,Хедемарк,"I'm sorry, I don't understand your request. Could you please clarify or provide additional context?",,Мёса-Си,
Фукуока,Фукуока,"Добро пожаловать в чат-бот Coral! Я готов помочь вам с переводом текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести.",,,Японское море
Хабаровск,Хабаровский край,"""R"" переводится с английского как ""R"".",Амур,,
Сан-Луи́с,Мараньян,Б,,,Атлантический океан
Пиза,Тоскана,я,Арно,,
