name,mountains,height,type,longitude,latitude
Альпама́йо,Белая Cordillera,5947.0,,-77.7,-8.9
Пик Барбоу,Раскладная система Британская империя,2616.0,,-75.0,81.9
Пеле,,1397.0,вулкан,-61.15,14.8
Снаефелл,,1833.0,вулканический,-15.2,64.5
Питон де Ньож,,3069.0,вулканический,55.5,-21.1
Хумфри-Пик,Рочные горы,3850.0,вулканический,-111.65,35.3
Невадо-де-Колима,Кордильера-Волканика,4330.0,вулкан,-104.0,20.0
Гран-Сассо,Аппенины,2912.0,,13.55,42.5
Муонт Эверест,Гималаи,8848.0,,86.9,28.0
Силиси,,1858.0,вулканический,-172.4,-13.6
Мт. Худ,Каскадные горы,3424.0,вулкан,-121.5,45.2
Ма́тра-Ба́бель,,952.0,,-68.7,51.45
Мауна-Лоа,Гавайи,4170.0,вулкан,-155.6,19.5
Пик Победы,Тянь-Шань,7439.0,,80.1,42.0
Гора Аггри,,3142.0,вулкан,115.5,-8.3
Тупунгато,Андыс,6550.0,вулкан,-69.87,-33.35
Псилоритис,Крета,2456.0,,24.7,35.2
Меру,Восточноафриканское расслоение,4567.0,вулкан,36.8,-3.2
Гора Апо,,2954.0,вулканический,125.45,7.0
Фельберг,Шварцвад,1493.0,,7.5,47.5
Ключевская sopка,Камчатка,4750.0,вулкан,160.6,56.1
Мавензи,Восточноафриканское расслоение,5148.0,вулкан,37.45,-3.1
Иштцакхуа́лтль,Кордильера-Волканика,5286.0,вулканический,-98.6,19.2
Пик Чань-Тенгри,Тянь-Шань,6995.0,,80.0,43.0
Геральдовский Штиц,Бескиды,2655.0,,20.1,49.2
Монт Орехена,,2241.0,вулканический,-149.5,-17.6
Гран-Парадизо,Алпы,4061.0,,7.25,45.5
Джабаль Марра,Дарфур,3088.0,вулканический,24.6,13.0
Сули́тэ,,1914.0,,16.2,67.1
Пиз Бернина,Алпы,4048.0,,9.9,46.4
Морне Диабло́тинс,,1447.0,вулкан,-61.4,15.5
Мт. Богонг,Снеговые горы,1986.0,,147.5,-37.0
Зугспитц,Алпы,2963.0,,11.1,47.3
Пинатубо,,1486.0,вулкан,120.3,15.1
Гора Косциуско,Снеговые горы,2228.0,,148.0,-36.5
Финстерерхорн,Алпы,4274.0,,8.1,46.5
Маунт-Эльберт,Рочные горы,4401.0,,-106.4,39.1
Халеакалы,Гавайи,3055.0,вулкан,-156.25,20.7
Лхотсе,Гималаи,8516.0,,86.9,28.0
Гора Бэнди,Сьерра-Невада (Калифорния),4006.0,,-118.3,37.9
Ллулаикао,Андыс,6739.0,вулкан,-68.5,-24.7
Шнеекоппе,Судетские горы,1602.0,,15.7,50.7
Харней Пик,Рочные горы,2207.0,,-103.4,44.0
Иллампу,Кордильера-Реаль,6368.0,гранит,-68.5,-15.8
Ла Софриер,,1467.0,вулкан,-61.65,16.05
Вехлер Пик,Рочные горы,4011.0,,-105.4,36.55
Пулог,,2928.0,вулканический,121.0,17.0
Невадо-де-Толука,Кордильера-Волканика,4558.0,вулкан,-99.0,19.0
Гранд-Балькон,Вьозж,1424.0,,7.1,47.9
Сабалан,Курдистан,4811.0,вулканический,47.8,38.3
Керинци,,3805.0,вулкан,101.45,-1.7
Королевская гора,Рочные горы,4123.0,,-110.4,40.5
Татах,Ахаггар,3003.0,вулканический,5.5,23.3
