name,area,longitude,latitude
Ферло,70000.0,-14.0,15.0
Арабское пустыня,50000.0,26.0,33.0
Азавад,80000.0,0.0,20.0
Большой бассейн,300000.0,-117.0,38.0
Гранд Эрг Ист,150000.0,8.0,31.0
Намибия,95000.0,15.0,-25.0
Пустыня Старт,13000.0,141.0,-29.0
Хамада дю Драа,35000.0,,
Дарфур,500000.0,27.0,15.0
Калаhari,1200000.0,21.0,-22.0
Хамада аль-Хамра,84000.0,12.0,30.0
Дашт-е-Кавир,77600.0,55.0,32.5
Кум-тег,22000.0,92.0,40.0
Нефуд,78000.0,42.0,28.0
Нубийский пустыня,50000.0,21.0,32.0
Эрг Ребиана,200000.0,22.0,23.0
Руб Аль-Чали,780000.0,51.0,21.0
Эрг Мактир,40000.0,-11.0,22.0
Симпсон-де-дезерт,176500.0,137.0,-25.0
Великая Сэнди Десерт,360000.0,123.0,-20.0
Каракум,400000.0,60.0,40.0
Моаве,57000.0,-115.2,36.2
Фесан,300000.0,13.0,26.0
Танами,37500.0,130.0,-20.0
Сонора,320000.0,-113.0,32.0
