country,continent,percentage
Ирак,Азия,100.0
КГЗ,Азия,100.0
МВ,Азия,100.0
ПЖ,Америка,100.0
Макс,Азия,100.0
АГ,Америка,100.0
Акса,Америка,100.0
В реальной жизни,Европа,100.0
ВГ,Америка,100.0
ИР,Азия,100.0
ПНГ,Австралия/Океания,100.0
ЕР,Африка,100.0
GB,Европа,100.0
АМСА,Австралия/Океания,100.0
WS,Австралия/Океания,100.0
Есть,Африка,100.0
WD,Америка,100.0
ММР,Африка,100.0
МАРТ,Америка,100.0
Яр,Азия,100.0
Только что,Европа,100.0
GBJ,Европа,100.0
Австралия,Австралия/Океания,100.0
Воссоединение,Австралия/Океания,100.0
TM,Азия,100.0
ЗРЕ,Африка,100.0
Нам,Африка,100.0
Кос,Европа,100.0
Гэй,Америка,100.0
СМАР,Америка,100.0
"Это что-то вроде ""sud"" по-русски?",Африка,100.0
ГРОКС,Америка,100.0
ВАФУ,Австралия/Океания,100.0
ХАК,Америка,100.0
МНСТ,Америка,100.0
НАУ,Австралия/Океания,100.0
ЗВ,Африка,100.0
SLB,Австралия/Океания,100.0
МНГ,Азия,100.0
Ч,Европа,100.0
БД,Азия,100.0
МД,Европа,100.0
Мексика,Америка,100.0
КУК,Австралия/Океания,100.0
МЭЛ,Азия,100.0
УА,Европа,100.0
WL,Америка,100.0
РУ,Америка,100.0
Ри,Австралия/Океания,20.0
Спасибо,Африка,100.0
ГБГ,Европа,100.0
МOC,Африка,100.0
SF,Европа,100.0
Спми,Америка,100.0
Р резюме,Африка,100.0
МК,Европа,100.0
Фиджи,Австралия/Океания,100.0
Ваг,Африка,100.0
ГНБ,Африка,100.0
Боль,Америка,100.0
ДЗ,Африка,100.0
LB,Африка,100.0
КН,Америка,100.0
РКБ,Африка,100.0
"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Европа,100.0
ПЭ,Америка,100.0
СК,Европа,100.0
Да,Америка,100.0
"I'm sorry, I don't understand your request. Could you please clarify or provide additional context?",Европа,100.0
КЛ,Азия,100.0
"Hello, how can I help you today?",Европа,100.0
ЛАР,Африка,100.0
БГЗ,Европа,100.0
РСА,Африка,100.0
RSM,Европа,100.0
