sea,country,province
Тихоокеанский океан,"Добро пожаловать в чат-бот Coral! Я готов помочь вам с переводом текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести.",Мие
Бангла-Бхарат,БД,Бангладеш
Атлантический океан,КАМ,Юго-восток
Средиземное море,я,Тоскана
Тихоокеанский океан,Фиджи,Фиджи
Атлантический океан,РЧ,Чили
Атлантический океан,ГQ,Экваториальная Гвинея
Японское море,"Добро пожаловать в чат-бот Coral! Я готов помочь вам с переводом текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести.",Аомори
Гulf-Аден,Спасибо,Сомали
Бангла-Бхарат,Индия,Западный Бенгал
Средиземное море,ГР,Ионийские острова
Атлантический океан,Б,Дух Святой
Тихоокеанский океан,"""R"" переводится с английского как ""R"".",Магаданская область
Атлантический океан,GB,Северная Ирландия
Тихоокеанский океан,ПЭ,Пиура
Средиземное море,М,Мальта
Атлантический океан,Фолк,Фолклендские острова
Южная Китайская залив,ВН,Вьетнам
Андаманское море,МЯ,Понедельник
Норвежское море,ГРОКС,Гренландия
Атлантический океан,СМЭ,Суринам
Тихоокеанский океан,США,Вашингтон
Средиземное море,ГР,Тессалия
Атлантический океан,Т,Голугин
Тихоокеанский океан,Мексика,Нижняя Калифорния-Сур
Тихоокеанский океан,КГП,Британская Колумбия
Южная Китайская залив,Макс,Макао
Скегеррак,ДК,Дания
Атлантический океан,Что?,Исландия
Атлантический океан,П,Алгарве
Средиземное море,"Извините, я не понимаю ваш запрос. Можете ли вы уточнить, что именно вам нужно перевести?",Словения
Удалёный морской район,Ри,Индонезия
Тихоокеанский океан,"Добро пожаловать в чат-бот Coral! Я готов помочь вам с переводом текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести.",Аомори
Атлантический океан,МА,Марокко
Каттегат,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Малмохус
Средиземное море,Транслитер: ТР,Адана
Карибское море,МНСТ,Монсерарат
Канал,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Басс-Нормандия
Атлантический океан,Западная Вирджиния,Сент-Винсент и Гренадины
Атлантический океан,"Добро пожаловать в «Корал», передовое языковое решение с искусственным интеллектом, предлагающее быструю и точную переводскую услугу. На сегодняшний день я могу переводить между многими языками, включая английский и русский. Как я могу вам помочь сегодня? Пожалуйста, предоставьте текст для перевода.",Габон
Скегеррак,"I'm sorry, I don't understand your request. Could you please clarify or provide additional context?",Вестфоллен
Тихоокеанский океан,ХАК,Холутека
Атлантический океан,Здравствуйте! Как я могу вам помочь?,Канарские острова
Карибское море,ПА,Бокас-дель-Торо
