island,sea,lake,river
Гэщм,Персидский залив,,
Курса,Средиземное море,,
Тонгатапу,Тихоокеанский океан,,
Рхос,Средиземное море,,
Крета,Средиземное море,,
Корво,Атлантический океан,,
Негрос,Море Сулевеси,,
Правильно,Северное море,,
Святой Томас,Атлантический океан,,
Аруба,Карибское море,,
Гренландия,Арктический океан,,
Суматра,Южная Китайская залив,,
Нанкет,Атлантический океан,,
Шикоку,Тихоокеанский океан,,
Микилон-Ланглад,Атлантический океан,,
Вулкано,Средиземное море,,
Куба,Мексиканское залив,,
Линоса,Средиземное море,,
Лангеог,Северное море,,
Великая Британия,Атлантический океан,,
Великая Земля,Тихоокеанский океан,,
Сан-Томе и Принсипи,Атлантический океан,,
Нордерней,Северное море,,
Великая Британия,Северное море,,
Святой Китс,Атлантический океан,,
Тайвань,Южная Китайская залив,,
Понапе,Тихоокеанский океан,,
Прозедалес,Атлантический океан,,
Принцип,Атлантический океан,,
Хоккайдо,Оखотское море,,
Махе,Индийский океан,,
Марта Вьеньюэ,Атлантический океан,,
Исландия,Норвежское море,,
Новая Гвинея,Тихоокеанский океан,,
Южный Уист,Атлантический океан,,
Борнео,Южная Китайская залив,,
Лунди,Атлантический океан,,
Ньюфаундленд,Атлантический океан,,
Рота,Тихоокеанский океан,,
Антигуа,Атлантический океан,,
Бангка,Южная Китайская залив,,
Фольстер,Балтийское море,,
Сингапур,Южная Китайская залив,,
Филичуди,Средиземное море,,
Южный Ронсдейл,Северное море,,
Остров Кангру,Индийский океан,,
Готланд,Балтийское море,,
Корфу,Средиземное море,,
Липари,Средиземное море,,
Панай,Море Сулевеси,,
Флорес,Атлантический океан,,
Вануа Леву,Тихоокеанский океан,,
Закинфос,Средиземное море,,
Остров Пасхи,Тихоокеанский океан,,
Кипр,Средиземное море,,
Амрун,Северное море,,
Биспо Скейл,Атлантический океан,,
Великий Кайман,Карибское море,,
Борнхольм,Балтийское море,,
Пико,Атлантический океан,,
Тасмания,Индийский океан,,
Тортола,Атлантический океан,,
