name,depth
Море Сулевеси,6218.0
Индийский океан,6400.0
Каттегат,94.0
Берингово море,4096.0
Атлантический океан,9219.0
Мексиканское залив,4375.0
Арабское море,5203.0
Гulf-Аден,5143.0
Северное море,200.0
Персидский залив,102.0
Тихоокеанский океан,11034.0
Морская Азов,100.0
Средиземное море,5121.0
Норвежское море,3860.0
Малаккский пролив,104.0
Бхарат-мангала,4694.0
Канал,175.0
Баренцев море,32.0
Оखотское море,3372.0
Ирландское море,272.0
Красный море,2635.0
Желтое море,200.0
Андаманское море,3113.0
Скегеррак,725.0
Японское море,4036.0
Удалёный морской район,7440.0
Восточное Китайское море,2370.0
Балтийское море,459.0
Чёрное море,2211.0
Южная Китайская залив,5420.0
Карибское море,7240.0
Сибирское море,540.0
Оманское море,3350.0
Арктический океан,5608.0
Бангла-Бхарат,4045.0
