river,country,province
Река Муррунбиджи,Австралия,Новый Южный Уэльс
Пьяньш,Афг,Афганистан
Днестр,"""R"" переводится с английского как ""R"".",Смоленская область
Ква,ЗРЕ,Бандунду
Умей-эльв,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Вастеран
Урм,Да,Бавария
Сырдаржа,ТЕЧЕСТО,Худжанд
Аргун,ТЖ,Хэйлунджянь
Луапула,з,Луапула
Река Маккензи,КГП,Северо-Западные территории
Оулуйоки,SF,Ульянск
Река Святого Лаврентия,КГП,Кبک
Тейсс,УА,Чернивецка
Тхёрсва,Что?,Исландия
Убангия,ЗРЕ,Экватор
Гоетаэльв,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Альсборг
Миссури,США,Монтана
Трюкки Ривер,США,Калифорния
Лукиниэ,ЗРЕ,Восточный Касай
Колорадо,США,Колорадо
Бому,АВТ,Центральноафриканская Республика
Нигер,Я не понимаю ваш запрос. Можете ли вы предоставить дополнительную информацию или контекст для перевода?,Гвинея
Луалаба,ЗРЕ,Шаба/Катанга
Эннсы,А,Нижняя Австрия
Рио-Дэсагуафио,Боль,Боливия
Лома́ми,ЗРЕ,Шаба/Катанга
Луара,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Рон-Альпы
Вера,Да,Тюрингия
Изер,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Рон-Альпы
Мурат,Транслитер: ТР,Агра
Луга,ЗРЕ,Шаба/Катанга
Бахр эль-Джабаль/Альберт-Нил,ВЭА,Уганда
Ваал,РСА,Мпумаланга
Куйло,АНГ,Лунда-Суль
Мας,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Шампань-Арденн
Дунай,Да,Баден-Вюртемберг
Нил,"Это что-то вроде ""sud"" по-русски?",Ал Хартум
Река Мерримэк,США,Нью-Гэмпшир
Кванго,АНГ,Малаंжи
