sea1,sea2
Восточное Китайское море,Тихоокеанский океан
Восточное Китайское море,Японское море
Атлантический океан,Средиземное море
Арктический океан,Атлантический океан
Малаккский пролив,Южная Китайская залив
Баренцев море,Сибирское море
Атлантический океан,Северное море
Гulf-Аден,Красный море
Восточное Китайское море,Южная Китайская залив
Индийский океан,Тихоокеанский океан
Атлантический океан,Канал
Японское море,Желтое море
Чёрное море,Морская Азов
Индийский океан,Удалёный морской район
Северное море,Скегеррак
Северное море,Канал
Тихоокеанский океан,Удалёный морской район
Андаманское море,Бангла-Бхарат
Южная Китайская залив,Удалёный морской район
Балтийское море,Северное море
Тихоокеанский океан,Оखотское море
Арабское море,Гulf-Аден
Тихоокеанский океан,Южная Китайская залив
Бангла-Бхарат,Удалёный морской район
Андаманское море,Малаккский пролив
Атлантический океан,Норвежское море
Чёрное море,Средиземное море
Тихоокеанский океан,Японское море
Арктический океан,Сибирское море
Японское море,Оखотское море
Восточное Китайское море,Желтое море
Андаманское море,Индийский океан
Атлантический океан,Тихоокеанский океан
Арабское море,Оманское море
Атлантический океан,Мексиканское залив
Арабское море,Индийский океан
Атлантический океан,Карибское море
Каттегат,Скегеррак
Бангла-Бхарат,Тихоокеанский океан
Берингово море,Тихоокеанский океан
Южная Китайская залив,Море Сулевеси
Тихоокеанский океан,Море Сулевеси
Гulf-Аден,Индийский океан
Карибское море,Мексиканское залив
Море Сулевеси,Удалёный морской район
Атлантический океан,Ирландское море
