desert,country,province
Руб Аль-Чали,ОАЭ,Абудаби
Калаhari,Нам,Намибия
Кысылкум,УЗБ,Карак-Алпогистон
Сонора,США,Калифорния
Большой бассейн,США,Юта
Азавад,ММР,Мали
Гоби,МНГ,Монголия
Ферло,Н/Д,Луга
Пустыня Старт,Австралия,Северная территория
Тар,Индия,Гуджарат
Эрг-Чече́,ММР,Мали
Сонора,США,Аризона
Ливийский пустыня,ЛАР,Ливия
Калаhari,з,Западный
Такла-Макан,ТЖ,Синьцзян-Уйгурский автономный район
Чихуахуа,США,Техас
Великая Сэнди Десерт,Австралия,Западная Австралия
Гоби,ТЖ,"Неправильно составленный запрос. Пожалуйста, уточните, что именно Вы хотите перевести."
Руб Аль-Чали,ОАЭ,Аль-Фуджайра
Ферло,Н/Д,Сент-Луис
Уст-Урт,Казахстан,Актобе
Ливийский пустыня,"Это что-то вроде ""sud"" по-русски?",Дарфур
Нуллаборрская равнина,Австралия,Южная Австралия
Ливийский пустыня,ET,El-Вади эль-Джадид
Эрг-Чече́,ДЗ,Алжир
Эрг Мактир,РИМ,Мавритания
Руб Аль-Чали,ОМ,Оман
Даште-Лут,ИР,Эсфахан
Гоби,ТЖ,Нинся Хуйдзуй
Сонора,Мексика,Сонора
Руб Аль-Чали,Да,Йемен
Эрг Игиди,РИМ,Мавритания
Тар,Индия,Хара́на
Развод,"Я не совсем понимаю ваш запрос. Вы хотите перевести ""RN"" с английского на русский язык? Если да, то ""RN"" переводится как ""RN"".",Нигер
Тар,ПК,Пакистан
Эрг Игиди,ММР,Мали
Симпсон-де-дезерт,Австралия,Северная территория
Тенере,Ч,Чад
Чихуахуа,США,Новый Мексико
"Пожалуйста, предоставьте текст для перевода. Я готов помочь с переводом на русский язык.",ТЖ,Тибет
Эрг Уаране,РИМ,Мавритания
Уст-Урт,УЗБ,Карак-Алпогистон
Дашт-е-Кавир,ИР,Хорасан
Каракум,УЗБ,Карак-Алпогистон
Руб Аль-Чали,СА,Саудовская Аравия
Гибсон-Затока,Австралия,Западная Австралия
Баха-Калифорния-Десерт,Мексика,Баха-Калифорния
Кысылкум,УЗБ,Самарканд
Гранд Эрг Ист,ДЗ,Алжир
Великий солённый озеро в пустыне,США,Юта
