name,area,depth,altitude,type,river,longitude,latitude
Сторуман,173.0,139.0,419.0,,Умей-эльв,16.88,65.22
Великий Сладкий озеро,28568.0,614.0,156.0,,Река Маккензи,-113.9,61.7
Чикамога (озеро),147.0,,,,Теннесси,-85.0,35.4
Озеро Чапала,1685.0,12.0,1520.0,,Рио Лерма,-103.05,20.22
Салон де Уни,10582.0,0.0,3650.0,соль,,-67.5,-20.1
Чев Бahir,800.0,7.5,520.0,соль,,36.85,4.7
Озеро Маниту,104.0,,,,,-82.0,45.76
Озеро Гарда,370.0,346.0,65.0,,Мичо,10.65,45.6
Балатон,594.0,12.5,104.0,,,17.6,46.8
Озеро Мид,640.0,180.0,372.0,искусственный,Колорадо,-114.75,36.05
Макарикари Соленая Балка,12000.0,0.0,,соль,,21.0,-25.5
Озеро Манагуа,1035.0,20.0,39.0,,Рио Сан-Хуан,-86.4,12.35
Лаачер Маар,3.3,53.0,275.0,кальдера,,7.3,50.4
Озеро Нипигон,4848.0,165.0,260.0,,,-88.5,49.83
Laguna Мар-Кихита,5770.0,19.0,71.0,соль,,-62.67,-30.5
Пупо,1340.0,4.0,3686.0,соль,,-67.1,-18.55
Озеро Гурон,59600.0,229.0,176.0,,Детройтская река,-82.44,44.795
Озеро Чамplain,1130.0,121.0,30.0,,Ривьер-Ришелье,-73.35,44.56
озеро Киву,2650.0,450.0,1462.0,,Руизи,29.2,-1.8
Иссык-Куль,6236.0,668.0,1609.0,соль,,77.2,42.4
Озеро Форт-Пек,981.0,67.0,,искусственный,Миссури,-106.4,48.0
Озеро Хьюм,202.0,,,,Мюррей-Дэрлинг,147.0,-36.1
Озеро Эйаси,1050.0,,1030.0,соль,,35.0,-3.6
Саймаа,4370.0,85.0,76.0,,Вуокса,28.0,61.3
Озеро Болсена,114.0,151.0,335.0,кальдера,,11.9,42.6
Озеро Бангвелю,10000.0,4.0,1140.0,,Луапула,29.7,-11.2
Озеро Босумтви,49.0,81.0,107.0,воздействие,,-1.4,6.5
Озеро Гезера,165.0,46.0,-212.0,,Иордания,35.6,32.81
Озеро Онтарио,18960.0,244.0,75.0,,Река Святого Лаврентия,-77.96,43.695
Барраж де Мбакау,,,,искусственный,Санага,12.75,6.4
Озеро Тобо,1103.0,505.0,905.0,кальдера,Ашана,98.8,2.6
Озеро Леман,581.0,310.0,372.0,,Рон,6.5,46.5
Озеро Кабора-Бассу,2800.0,,326.0,искусственный,Замбеци,32.7,-15.6
Озеро Маркуси,13000.0,50.0,0.0,,,-71.55,9.72
Озеро Эри,25745.0,64.0,174.0,,Река Ниагара,-81.27,42.16
Фёравальдстаттер-зее,113.7,214.0,434.0,,Рюсс,8.4,47.0
Этошский солончак,6133.0,0.0,1000.0,соль,,16.0,-18.8
Озеро Чаны,2500.0,106.0,10.0,,,77.5,54.9
Озеро Киога,1720.0,5.7,914.0,,Виктория Нил,33.0,1.5
