country1,country2,length
А,Да,784.0
Б,Да,167.0
Ч,Да,334.0
ЧЗ,Да,646.0
Да,ДК,68.0
И,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",60.0
Б,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",620.0
Ч,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",573.0
Да,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",451.0
Здравствуйте! Как я могу вам помочь?,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",623.0
Б,"Ok, I'm ready to translate from English to Russian. Please provide the text you would like me to translate.",450.0
Да,"Ok, I'm ready to translate from English to Russian. Please provide the text you would like me to translate.",577.0
БЫ,ПЛ,605.0
ЧЗ,ПЛ,658.0
Да,ПЛ,456.0
Да,ПЛ,91.0
БХТ,ТЖ,470.0
ММР,Н/Д,419.0
Я,СИР,76.0
"Извините, но я не понимаю ваш запрос. Можете ли вы повторить его или уточнить, что именно вам нужно?",Мексика,250.0
Н/Д,Ваг,740.0
КАМ,ВАН,1690.0
ВЭА,ЗРЕ,765.0
Яр,СА,728.0
Б,В,2200.0
КИ,Г,668.0
ET,Я,255.0
КГЗ,ТЖ,858.0
БЕН,"Я не совсем понимаю ваш запрос. Вы хотите перевести ""RN"" с английского на русский язык? Если да, то ""RN"" переводится как ""RN"".",266.0
Б,ПЖ,1290.0
"Извините, но я не понимаю ваш запрос. Можете ли вы повторить вопрос или предоставить дополнительную информацию?",ГР,494.0
Б,Код,1643.0
EAI,ВЭА,933.0
КАМ,"Добро пожаловать в «Корал», передовое языковое решение с искусственным интеллектом, предлагающее быструю и точную переводскую услугу. На сегодняшний день я могу переводить между многими языками, включая английский и русский. Как я могу вам помочь сегодня? Пожалуйста, предоставьте текст для перевода.",298.0
RB,РСА,1840.0
АЛ,МНЕ,172.0
АВТ,РКБ,467.0
"Извините, но я не понимаю ваш запрос. Можете ли вы повторить его или уточнить, что именно вам нужно?",GСА,266.0
