river,country,province
Далаэлв,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Гавлеборг
Виктория Нил,ВЭА,Уганда
Жёкулсёфьорд,Что?,Исландия
Река Саскачеван,КГП,Альберта
Западная Двина,ЛВ,Латвия
Бахр эль-Джабаль/Альберт-Нил,"Это что-то вроде ""sud"" по-русски?",Бар-эль-Газал
Сар,Да,Рейнланд-Пфальц
Олт,"Okay, I will only provide translations from now on. Please provide me with the text you would like me to translate.",Харгита
Мας,"Ok, I'm ready to translate from English to Russian. Please provide the text you would like me to translate.",Лимбург
Тейсс,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Шаболч Сатмар
Гвадиан,Здравствуйте! Как я могу вам помочь?,Андалусия
Паранá,РП,Миссии
Замбеци,МOC,Замбезия
Марн,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Французская Гвиана
Тичино,Ч,Ти
Брахмапутра,Индия,Ассам
Токантинс,Б,Токантинс
Пaatшоки,SF,Лаппия
Санага,КАМ,Центр
Гвадиан,П,Эвора
Дунай,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Будапешт (город)
Рио Лерма,Мексика,"Мексика, штат"
Лимпопо,РСА,Гутенг
Лена,"""R"" переводится с английского как ""R"".",Иркутская область
Уелл,ЗРЕ,Экватор
Рейн,Ч,БЛ
Бене,ВАН,Нигерия
Ваал,РСА,Мпумаланга
Маникуган,КГП,Кبک
Шабель,ЭТХ,Эфиопия
Волга,"""R"" переводится с английского как ""R"".",Нижняя Новгородская область
Паранá,Б,Минас-Жераис
Оранжевый,РСА,Свободное государство
Рио-Гранде,США,Техас
Амазонка,Б,Пара
Тажо,П,Порталегре
Здравствуйте,ТЖ,Юньнань
Бahr эль-Гасал,"Это что-то вроде ""sud"" по-русски?",Аали и Нил
