qualifyid,raceid,driverid,constructorid,number,position,q1,q2,q3
7,18,3,3,7,7,1:26.295,1:26.059,1:28.687
9,18,10,7,12,9,1:26.919,1:26.164,1:29.593
47,20,1,1,22,3,1:32.750,1:31.922,1:33.292
51,20,15,7,11,7,1:32.493,1:32.159,1:33.994
53,20,18,11,16,9,1:32.793,1:32.362,1:35.057
56,20,22,11,17,12,1:32.944,1:32.508,
63,20,20,5,15,19,1:34.127,,
83,21,14,9,9,17,1:21.810,,
97,22,2,2,3,9,1:27.107,1:27.607,1:28.882
125,23,12,4,6,17,1:16.933,,
132,24,4,4,5,4,1:17.415,1:17.488,1:18.746
151,25,1,1,22,3,1:15.634,1:15.293,1:16.693
168,25,16,10,20,20,1:17.053,,
193,27,4,4,5,5,1:15.917,1:14.943,1:16.385
199,27,10,7,12,11,1:15.560,1:15.508,
207,27,16,10,20,19,1:16.657,,
211,28,13,6,2,3,1:19.578,1:19.068,1:21.191
229,29,13,6,2,1,1:38.176,1:37.859,1:38.989
233,29,5,1,23,5,1:38.656,1:38.120,1:39.937
282,31,8,6,1,14,1:35.965,1:37.522,
319,33,14,9,9,11,1:18.303,1:18.187,
323,33,3,3,7,15,1:18.740,1:18.672,
328,33,21,10,21,20,1:19.910,,
365,35,18,11,16,17,1:12.810,,
399,37,23,7,11,9,1:35.736,1:35.595,1:37.078
400,37,17,9,15,10,1:35.727,1:35.579,1:37.345
431,38,26,5,19,19,1:34.333,,
468,40,24,5,18,12,1:16.720,1:16.703,
498,41,16,12,20,20,1:18.536,,
513,42,18,11,7,13,1:13.306,1:12.998,
518,42,11,8,22,18,1:13.477,,
567,45,8,6,6,1,1:31.522,1:31.237,1:31.450
590,46,1,1,2,2,1:19.570,1:19.301,1:19.781
598,46,17,9,15,10,1:20.794,1:20.439,1:21.256
606,46,22,11,8,18,1:21.877,,
614,47,4,1,1,4,1:27.328,1:26.841,1:27.574
639,48,5,4,4,7,1:23.505,1:23.134,1:24.102
661,49,17,9,15,7,1:47.084,1:46.426,1:47.524
671,49,22,11,8,17,1:47.954,,
672,49,11,8,22,18,1:47.980,,
704,51,23,7,11,6,1:37.135,1:36.709,1:38.013
707,51,9,2,10,9,1:36.309,1:36.116,1:38.472
721,52,13,6,5,1,1:12.303,1:12.374,1:11.931
761,53,33,13,18,19,1:35.900,,
780,54,13,6,6,16,1:35.091,,
818,56,17,3,9,10,1:24.992,1:23.718,1:24.795
828,56,27,13,19,20,1:27.088,,
845,57,2,2,16,15,1:31.457,1:31.422,
856,58,13,6,6,4,1:16.359,1:15.245,1:15.442
862,58,2,2,16,10,1:16.322,1:15.468,1:17.144
865,58,3,3,10,13,1:17.213,1:15.804,
873,58,36,8,23,21,1:20.763,,
897,60,4,4,1,1,1:21.018,1:20.271,1:20.253
899,60,30,6,5,3,1:22.096,1:20.659,1:20.574
902,60,22,11,11,6,1:22.965,1:20.929,1:20.943
920,61,21,4,2,2,1:15.917,1:15.295,1:15.178
934,61,14,9,14,16,1:16.514,1:16.301,
951,62,31,1,4,11,1:12.477,1:12.150,
995,64,17,3,9,11,1:15.719,1:15.094,
1017,65,2,2,16,11,1:21.437,1:20.623,
1033,66,23,7,7,5,1:27.668,1:27.062,1:27.569
1061,67,15,7,8,11,1:22.093,1:21.924,
1062,67,3,3,10,12,1:22.581,1:22.203,
1114,69,11,8,22,20,1:33.666,,
1158,77,27,18,21,20,1:36.239,,
1176,78,33,17,18,18,1:19.034,,
1183,79,30,6,1,5,1:11.369,,
1187,79,17,3,7,9,1:11.527,,
1196,79,27,18,21,18,1:13.632,,
1201,80,8,1,9,3,1:14.559,,
1211,80,17,3,7,13,1:15.885,,
