driverstandingsid,raceid,driverid,points,position,positiontext,wins
84,22,22,0.0,17,17,0
146,25,14,6.0,12,12,0
180,27,2,41.0,5,5,0
196,27,11,0.0,20,20,0
239,29,19,0.0,22,22,0
285,31,13,77.0,2,2,5
375,35,16,0.0,20,20,0
1211,72,21,10.0,2,2,1
1292,76,4,49.0,1,1,3
1436,82,23,26.0,8,8,0
1498,85,21,41.0,6,6,1
3135,161,37,0.0,18,18,0
3162,162,56,0.0,14,14,0
3386,172,63,6.0,11,11,0
3419,174,21,18.0,6,6,0
3423,174,2,0.0,20,20,0
3788,73,22,8.0,6,6,0
4361,195,30,24.0,3,3,1
4479,200,75,0.0,17,17,0
4607,206,25,17.0,8,8,0
4614,206,22,4.0,12,12,0
5085,226,22,3.0,7,7,0
5089,226,85,0.0,19,19,0
5250,234,44,11.0,8,8,1
5261,234,50,1.0,16,16,0
5270,235,57,19.0,5,5,0
5298,236,64,1.0,15,15,0
5345,238,79,0.0,17,17,0
6918,293,92,0.0,24,24,0
6968,295,109,0.0,20,20,0
6985,296,65,2.0,14,14,0
7032,297,99,0.0,27,27,0
7074,299,128,0.0,27,27,0
8255,1,16,0.0,9,9,0
9376,275,87,6.0,4,4,0
9428,277,105,0.0,22,22,0
9453,278,119,5.0,10,10,0
9525,281,112,2.0,14,14,0
9595,284,102,53.0,2,2,3
9602,284,30,42.0,4,4,0
9685,287,30,52.0,4,4,1
9724,288,119,20.0,5,5,0
9738,288,126,0.0,31,31,0
10193,240,14,6.0,2,2,0
10273,244,64,0.0,22,22,0
10286,244,84,0.0,20,20,0
10345,247,30,46.0,1,1,4
10347,247,77,17.0,6,6,0
10522,252,92,0.0,28,28,0
10535,253,71,55.0,2,2,3
10653,256,90,0.0,32,32,0
10693,209,44,6.0,7,7,0
10819,214,76,0.0,17,17,0
10856,216,15,3.0,15,15,0
10884,217,35,53.0,2,2,5
10894,217,76,0.0,20,20,0
11011,222,49,41.0,3,3,1
11133,179,70,0.0,17,17,0
11143,180,57,34.0,1,1,3
11199,182,41,0.0,22,22,0
11347,189,14,48.0,4,4,2
11351,189,69,0.0,22,22,0
11480,146,49,6.0,8,8,0
11551,149,54,0.0,20,20,0
11622,152,44,5.0,12,12,0
11692,155,49,6.0,12,12,0
11728,156,15,12.0,9,9,0
11766,124,8,4.0,3,3,0
11910,132,30,76.0,1,1,6
11972,134,22,32.0,3,3,1
11976,135,30,106.0,1,1,9
12123,109,15,8.0,7,7,0
12133,109,43,0.0,15,15,0
12159,111,35,3.0,11,11,0
12185,112,21,10.0,8,8,1
12199,113,18,8.0,10,10,0
12205,113,21,10.0,8,8,1
12248,115,42,0.0,18,18,0
12365,121,52,1.0,18,18,0
12397,122,47,0.0,23,23,0
12415,123,44,6.0,15,15,0
12428,90,15,2.0,7,7,0
12462,92,21,0.0,14,14,0
12531,95,8,1.0,15,15,0
12559,97,14,7.0,10,10,0
12648,101,32,0.0,20,20,0
12680,102,8,18.0,8,8,0
12873,56,17,6.0,9,9,0
12986,61,3,4.0,14,14,0
13050,64,4,100.0,1,1,6
13182,69,32,2.0,18,18,0
13187,69,26,0.0,20,20,0
13204,70,8,65.0,5,5,0
13625,36,17,0.0,13,13,0
13685,39,18,0.0,18,18,0
13714,40,14,4.0,9,9,0
13743,42,3,5.0,11,11,0
13750,42,24,0.0,23,23,0
13800,44,25,8.0,9,9,0
13855,47,2,47.0,5,5,0
13864,47,17,8.0,11,11,0
13866,47,18,1.0,16,16,0
13942,50,26,0.0,21,21,0
15874,321,118,0.0,24,24,0
15918,322,92,0.0,35,35,0
15936,323,88,0.0,28,28,0
16051,326,127,0.0,29,29,0
16086,327,105,0.0,21,21,0
16156,329,55,13.0,6,6,0
16212,330,148,0.0,19,19,0
16372,334,122,6.0,10,10,0
16396,335,103,5.0,13,13,0
17062,305,137,4.0,3,3,0
17172,308,92,0.0,19,19,0
17371,313,141,1.0,19,19,0
17445,315,141,1.0,21,21,0
17553,318,81,0.0,25,25,0
17575,319,78,0.0,28,28,0
17652,2,22,10.0,2,2,0
17773,5,15,14.5,5,5,0
17925,8,8,10.0,10,10,0
17991,10,153,0.0,21,21,0
18192,356,164,0.0,34,34,0
18243,358,129,0.0,17,17,0
18382,361,160,0.0,35,35,0
18392,362,117,38.0,1,1,2
18518,364,103,0.0,29,29,0
18644,367,99,1.0,24,24,0
19011,373,137,8.0,4,4,0
19037,373,146,0.0,31,31,0
19072,375,77,18.0,2,2,0
19110,376,140,0.0,16,16,0
19379,384,145,6.0,11,11,0
19385,384,141,0.0,26,26,0
19403,385,110,3.0,15,15,0
19425,385,94,1.0,17,17,0
19452,386,165,0.0,32,32,0
19504,388,95,1.0,6,6,0
19653,393,99,0.0,27,27,0
19825,400,77,18.0,6,6,0
19847,400,160,0.0,21,21,0
19962,404,176,0.0,19,19,0
19968,404,95,0.0,25,25,0
20005,406,105,0.0,19,19,0
20026,407,166,0.0,14,14,0
20037,407,156,0.0,20,20,0
20041,407,160,0.0,21,21,0
20092,409,110,0.0,24,24,0
20282,415,173,0.0,23,23,0
20284,415,170,2.0,15,15,0
20327,416,177,22.0,5,5,0
20350,417,157,1.0,18,18,0
20383,418,140,19.0,6,6,0
20397,418,180,0.0,28,28,0
20490,422,172,1.0,11,11,0
20560,424,177,3.0,9,9,0
20568,424,176,0.0,24,24,0
20648,425,183,0.0,29,29,0
20688,426,163,3.0,14,14,0
20710,426,185,4.0,11,11,0
20826,430,95,7.0,12,12,0
20856,431,183,0.0,32,32,0
20973,434,122,0.0,33,33,0
21181,441,110,3.0,13,13,0
21185,441,137,0.0,20,20,0
21189,441,183,0.0,22,22,0
21276,444,137,18.0,6,6,2
21314,445,172,5.0,12,12,0
21353,446,190,0.0,20,20,0
21396,448,156,0.0,24,24,0
21522,450,140,3.0,17,17,0
21643,454,168,0.0,30,30,0
21767,459,182,10.0,8,8,0
21845,461,181,0.0,24,24,0
22035,465,140,0.0,25,25,0
22265,472,207,0.0,33,33,0
22322,474,172,1.0,21,21,0
22362,475,203,6.0,12,12,0
22488,478,208,0.0,37,37,0
22563,480,195,0.0,30,30,0
22765,484,199,15.0,2,2,1
22790,484,215,0.0,29,29,0
22840,486,172,1.0,15,15,0
22858,486,219,0.0,27,27,0
22899,487,160,0.0,28,28,0
22920,488,187,0.0,18,18,0
22924,488,214,0.0,34,34,0
22971,489,118,0.0,36,36,0
23028,491,136,0.0,27,27,0
23049,491,160,0.0,29,29,0
23133,493,192,0.0,22,22,0
23142,493,136,0.0,27,27,0
23183,494,95,5.0,14,14,0
23249,496,176,4.0,15,15,0
43206,833,619,0.0,6,6,0
43210,833,778,0.0,11,11,0
43234,834,660,0.0,12,12,0
43335,836,579,9.0,3,3,1
43537,838,666,0.0,61,61,0
43639,825,498,0.0,20,20,0
43645,826,640,2.0,10,10,0
43656,826,765,0.0,33,33,0
43798,828,733,0.0,57,57,0
43972,831,763,3.0,12,12,0
44150,817,717,0.0,18,18,0
44204,818,733,0.0,51,51,0
44336,820,704,0.0,31,31,0
44546,823,726,0.0,36,36,0
44616,823,758,0.0,70,70,0
44835,810,593,0.0,62,62,0
44842,810,612,0.0,38,38,0
44937,812,626,0.0,52,52,0
45004,813,633,13.0,4,4,0
45099,814,649,0.0,69,69,0
45107,814,509,0.0,24,24,0
45131,814,702,0.0,46,46,0
45167,814,710,0.0,53,53,0
45225,815,528,0.0,97,97,0
45267,815,455,0.0,62,62,0
46239,795,556,0.0,33,33,0
46257,795,558,0.0,63,63,0
46321,796,532,0.0,61,61,0
46327,796,449,0.0,67,67,0
46431,798,646,0.0,48,48,0
46587,786,595,0.0,34,34,0
46786,789,594,0.0,60,60,0
46899,790,532,0.0,67,67,0
46974,791,541,4.0,13,13,0
47076,778,614,0.0,46,46,0
47086,778,596,0.0,58,58,0
47129,779,520,0.0,31,31,0
47140,779,538,0.0,51,51,0
47204,780,538,0.0,54,54,0
