orderid,productid,unitprice,quantity,discount
11031,1,18.0,45,0.0
11055,57,19.5,20,0.0
10883,24,4.5,8,0.0
10682,75,7.75,30,0.0
10312,28,36.4,4,0.0
11061,60,34.0,15,0.0
10681,19,9.2,30,0.0
10810,70,15.0,5,0.0
10756,18,62.5,21,0.0
10336,4,17.6,18,0.0
10550,17,39.0,8,0.0
10906,61,28.5,15,0.0
10872,65,21.05,21,0.0
10968,12,38.0,30,0.0
10472,51,42.4,18,0.0
10579,75,7.75,21,0.0
10446,24,3.6,20,0.0
10577,77,13.0,18,0.0
11031,13,6.0,80,0.0
10505,62,49.3,3,0.0
10903,65,21.05,21,0.0
10271,33,2.0,24,0.0
10886,10,31.0,70,0.0
10502,67,14.0,30,0.0
10340,41,7.7,12,0.0
10333,21,8.0,10,0.0
10557,75,7.75,20,0.0
11077,46,12.0,3,0.0
11074,16,17.45,14,0.0
10399,68,10.0,60,0.0
10553,11,21.0,15,0.0
10427,14,18.6,35,0.0
10381,74,8.0,14,0.0
11010,24,4.5,10,0.0
10868,35,18.0,30,0.0
10638,45,9.5,20,0.0
10697,19,9.2,7,0.0
10700,71,21.5,60,0.0
10845,35,18.0,25,0.0
10603,22,21.0,48,0.0
10792,54,7.45,3,0.0
10546,62,49.3,40,0.0
10710,47,9.5,5,0.0
10262,56,30.4,2,0.0
10359,60,27.2,80,0.0
10967,49,20.0,40,0.0
10703,2,19.0,5,0.0
10882,54,7.45,32,0.0
10294,43,36.8,15,0.0
11017,3,10.0,25,0.0
10466,46,9.6,5,0.0
10757,62,49.3,30,0.0
10540,68,12.5,35,0.0
10504,53,32.8,10,0.0
10337,26,24.9,24,0.0
10648,22,21.0,15,0.0
10894,13,6.0,28,0.0
10626,71,21.5,20,0.0
10477,1,14.4,15,0.0
11020,10,31.0,24,0.0
10693,73,15.0,15,0.0
10951,41,9.65,6,0.0
10954,60,34.0,24,0.0
11017,59,55.0,110,0.0
10260,57,15.6,50,0.0
10849,3,10.0,49,0.0
10814,41,9.65,20,0.0
10714,2,19.0,30,0.0
10967,19,9.2,12,0.0
10616,38,263.5,15,0.0
10287,34,11.2,20,0.0
10530,61,28.5,20,0.0
10882,49,20.0,20,0.0
10840,25,14.0,6,0.0
10506,70,15.0,14,0.0
10289,64,26.6,9,0.0
10717,54,7.45,15,0.0
10925,36,19.0,25,0.0
10787,2,19.0,15,0.0
10927,20,81.0,5,0.0
10726,4,22.0,25,0.0
10440,61,22.8,90,0.0
10403,16,13.9,21,0.0
10665,76,18.0,10,0.0
10527,36,19.0,30,0.0
10414,19,7.3,18,0.0
10893,30,25.89,35,0.0
10685,41,9.65,4,0.0
10734,76,18.0,20,0.0
10650,30,25.89,30,0.0
10552,75,7.75,30,0.0
10301,40,14.7,10,0.0
10930,58,13.25,30,0.0
10733,14,23.25,16,0.0
