name,id,award,year,lgid,note
Art Ross,rossar01,Patrick,1983,NHL,posthumous
Bill Torrey,torrebi01h,Patrick,1982,NHL,
Bobby Hull,hullbo01,Patrick,1968,NHL,
Cammi Granato,,Patrick,2006,NHL,
Eddie Shore,shoreed01,Patrick,1969,NHL,
Gordie Howe,howego01,Patrick,1966,NHL,
Harry Sinden,sindeha01c,Patrick,1998,NHL,
Jack Adams,adamsja01,Patrick,1965,NHL,
Joe Mullen,mullejo01,Patrick,1994,NHL,
Mario Lemieux,lemiema01,Patrick,1999,NHL,
Stan Mikita,mikitst01,Patrick,1975,NHL,
Steve Yzerman,yzermst01,Patrick,2005,NHL,
Tommy Ivan,ivanto01c,Patrick,1974,NHL,
Walter Bush,bushwa01h,Patrick,1972,NHL,
Lou Vairo,,Patrick,1999,NHL,
Milt Schmidt,schmimi01,Patrick,1995,NHL,
Emile Francis,francem01,Patrick,1981,NHL,
John A. 'Snooks' Kelly,,Patrick,1971,NHL,
Fred Shero,sherofr01,Patrick,1979,NHL,
Murray Armstrong,armstmu01,Patrick,1976,NHL,
Mike Emrick,,Patrick,2003,NHL,
Art Berglund,,Patrick,1991,NHL,
Bill Cleary,,Patrick,1996,NHL,
Phil Esposito,esposph01,Patrick,1977,NHL,
Ray Miron,,Patrick,2003,NHL,
Bob Naegele,,Patrick,2007,NHL,
Craig Patrick,patricr01,Patrick,1999,NHL,
Lou Nanne,nannelo01,Patrick,1988,NHL,
John Mariucci,mariujo01,Patrick,1976,NHL,
Pat LaFontaine,lafonpa01,Patrick,1996,NHL,
Jim Hendy,hendyji01h,Patrick,1969,NHL,posthumous
Jack Parker,,Patrick,2009,NHL,
Dave Andrews,,Patrick,2009,NHL,
John B. Sollenberger,,Patrick,1970,NHL,posthumous
Scotty Bowman,bowmasc01c,Patrick,2000,NHL,
William Jennings,jenniwi01h,Patrick,1970,NHL,
Jeff Sauer,,Patrick,2010,NHL,
Mark Johnson,johnsma02,Patrick,2010,NHL,
Larry Pleau,pleaula01,Patrick,2001,NHL,
Ken Morrow,morroke01,Patrick,1995,NHL,
Murray Murdoch,murdomu01,Patrick,1973,NHL,
Charles Adams,adamsch01h,Patrick,1966,NHL,posthumous
John Kilpatrick,kilpajo01h,Patrick,1967,NHL,posthumous
Thomas Lockhart,lockhth01h,Patrick,1967,NHL,
