year,lgid,tmid,g,w,l,t,gf,ga,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1968,NHL,BOS,10,6,4,0,40,20,226,,11,,1,7,,5
1978,WHA,QUN,4,0,4,0,12,30,,,,,,,,
2008,NHL,MTL,4,0,4,0,6,17,103,2,0,8,0,4,16,0
1950,NHL,DET,6,2,4,0,12,13,26,,,,,,,
1984,NHL,EDM,18,15,3,0,98,57,476,2,15,78,4,16,90,6
1987,NHL,CHI,5,1,4,0,17,21,188,0,8,29,,10,38,1
1979,NHL,TOR,3,0,3,0,8,17,101,0,4,15,0,7,23,0
1935,NHL,CHI,2,1,1,0,5,7,8,,,,,,,
1926,NHL,CHI,2,0,1,1,5,10,30,,,,,,,
1976,WHA,WIJ,20,11,9,0,80,73,,,,,,,,
1989,NHL,CHI,20,10,10,0,69,65,532,6,18,109,1,22,109,5
1929,NHL,CHI,2,0,1,1,2,3,50,,,,,,,
1982,NHL,CAL,9,4,5,0,30,49,317,2,9,45,5,8,43,2
1980,NHL,LAK,4,1,3,0,12,23,162,4,5,16,0,3,16,1
1938,NHL,BOS,12,8,4,0,26,18,98,,,,,,,
2009,NHL,LAK,6,2,4,0,18,25,70,2,10,26,0,6,24,0
2002,NHL,NYI,5,1,4,0,7,13,108,0,3,31,0,4,30,0
2002,NHL,DET,4,0,4,0,6,10,36,2,2,14,0,0,14,0
1987,NHL,HAR,6,2,4,0,20,23,81,0,5,26,,6,26,0
2008,NHL,AND,13,7,6,0,35,32,220,6,13,50,0,11,55,0
2007,NHL,SJS,13,6,7,0,30,32,100,0,8,56,0,11,44,2
1952,NHL,CHI,7,3,4,0,14,18,59,,,,,,,
1922,PCHA,VC1,2,1,1,0,3,5,,,,,,,,
2007,NHL,DAL,18,10,8,0,45,41,218,0,18,90,4,13,76,0
2008,NHL,WAS,14,7,7,0,41,38,162,0,11,52,0,13,65,2
2005,NHL,COL,9,4,5,0,22,31,166,2,5,52,1,7,50,2
1932,NHL,TOR,9,4,5,0,14,18,99,,,,,,,
1971,NHL,STL,11,4,7,0,27,47,232,,8,,1,14,,0
1977,NHL,LAK,2,0,2,0,3,11,39,0,0,10,0,2,9,0
1961,NHL,TOR,12,8,4,0,40,30,178,,,,,,,
1970,NHL,NYR,13,7,6,0,30,36,250,,5,,0,7,,1
2007,NHL,AND,6,2,4,0,13,20,118,2,5,24,0,10,38,0
1986,NHL,EDM,21,16,5,0,87,57,477,4,17,91,1,14,84,5
1999,NHL,DET,9,5,4,0,23,19,132,0,10,43,0,5,49,1
1970,NHL,MTL,20,12,8,0,75,63,379,,16,,2,17,,1
1929,NHL,MTM,4,1,3,0,5,11,56,,,,,,,
2005,NHL,OTT,10,5,5,0,36,29,164,2,14,56,3,7,55,1
1974,NHL,MTL,11,6,5,0,49,30,154,0,13,46,2,5,41,1
1974,WHA,TOT,6,2,4,0,27,29,,,,,,,,
1955,NHL,TOR,5,1,4,0,10,14,65,,,,,,,
1930,NHL,MTL,10,6,4,0,24,21,105,,,,,,,
1998,NHL,BOS,12,6,6,0,30,27,126,2,9,59,1,8,47,0
1925,WCHL,VIC,4,2,0,2,9,6,,,,,,,,
1983,NHL,QUE,9,5,4,0,26,25,344,2,4,35,1,3,43,2
1973,NHL,CHI,11,6,5,0,30,35,196,,9,,0,9,,0
1981,NHL,QUE,16,7,9,0,48,60,414,8,15,66,4,15,74,2
1913,NHA,MOC,2,1,1,0,2,6,,,,,,,,
1969,NHL,CHI,8,4,4,0,26,28,87,,8,,2,8,,0
