playerid,year,stint,tmid,s,g,gdg
svitoal01,2006,1,CBS,1,0,0
coleer01,2005,1,CAR,3,1,1
perryco01,2006,1,AND,6,1,1
wisnija01,2011,1,CBS,1,2,0
zubovse01,2008,1,DAL,2,0,0
perroda01,2011,1,STL,1,7,1
vrbatra01,2008,1,TBL,1,0,0
parisza01,2006,1,NJD,14,7,2
adamske01,2006,1,PHO,1,0,0
willija01,2005,1,DET,7,5,2
hamilje01,2006,1,CHI,10,5,0
johnsja02,2011,1,LAK,0,4,0
seminal01,2007,1,WAS,7,3,2
nylanmi01,2006,1,NYR,13,5,1
timonki01,2008,1,PHI,2,0,0
karlser01,2011,1,OTT,0,1,0
hodgsco01,2011,1,VAN,3,7,2
zidlima01,2006,1,NAS,1,0,0
fransco01,2010,1,NAS,3,1,1
craigry01,2006,1,TBL,1,0,0
kobasch01,2006,1,CAL,1,0,0
parrima01,2006,1,MIN,2,0,0
lombama01,2008,2,PHO,1,0,0
oreilca01,2009,1,NAS,4,2,1
osullpa01,2009,1,EDM,11,4,1
vorobpa01,2005,1,CHI,3,2,0
steckda01,2007,1,WAS,1,0,0
savarma01,2005,1,ATL,3,1,0
dagosma01,2011,1,STL,0,1,0
staffdr01,2008,1,BUF,11,4,0
coglian01,2010,1,EDM,2,0,0
heatlda01,2009,1,SJS,6,1,0
mcdonan01,2008,1,STL,6,2,0
bollada01,2011,1,CHI,1,5,1
stamkst01,2009,1,TBL,9,3,1
chimeja01,2005,1,CBS,1,1,1
rolstbr01,2006,1,MIN,12,5,1
iginlja01,2008,1,CAL,5,0,0
spurgja01,2011,1,MIN,0,1,0
laperia01,2007,1,COL,1,0,0
forsbpe01,2006,1,PHI,5,1,1
hamilje01,2008,1,TOR,2,2,1
hendrma01,2011,1,WAS,5,6,3
ribeimi01,2008,1,DAL,11,6,2
afanadm01,2006,1,TBL,2,1,1
blakeja01,2006,1,NYI,6,1,1
afinoma01,2007,1,BUF,3,1,1
perrier01,2006,1,TBL,4,0,0
cullema01,2008,1,CAR,5,0,0
boyesbr01,2011,1,BUF,5,12,2
antroni01,2010,1,ATL,4,1,0
clearda01,2007,1,DET,1,0,0
royde01,2006,1,BUF,1,0,0
sedinhe01,2008,1,VAN,1,0,0
edleral01,2008,1,VAN,2,0,0
vermean01,2010,1,CBS,5,2,1
iginlja01,2009,1,CAL,4,0,0
wrighty01,2005,1,CBS,1,0,0
tavarjo01,2011,1,NYI,2,7,0
rydermi01,2009,1,BOS,10,2,1
bergepa01,2011,1,BOS,5,8,2
erikslo01,2009,1,DAL,9,3,2
nasluma02,2007,1,VAN,5,1,0
modinfr01,2006,1,CBS,3,0,0
rolstbr01,2005,1,MIN,7,3,3
leinovi01,2010,1,PHI,4,2,1
bozakty01,2011,1,TOR,1,3,0
clarkda03,2009,1,NJD,1,1,1
corvojo01,2005,1,LAK,3,1,1
